,electricity-fueltype-nyiso-natural_gas,electricity-fueltype-nyiso-nuclear,electricity-fueltype-nyiso-other_renewables,electricity-fueltype-nyiso-dual_fuel,electricity-fueltype-nyiso-other_fossil_fuels,electricity-fueltype-nyiso-wind,electricity-fueltype-nyiso-hydro
0,3353.0,4397.0,257.0,4119.0,368.0,551.0,3351.0
1,3397.0,4398.0,254.0,4110.0,344.0,550.0,3339.0
2,3443.0,4396.0,254.0,4080.0,303.0,558.0,3418.0
3,3440.0,4397.0,257.0,4067.0,296.0,563.0,3401.0
4,3410.0,4398.0,261.0,4085.0,297.0,534.0,3416.0
5,3401.0,4398.0,256.0,4118.0,296.0,527.0,3401.0
6,3426.0,4399.0,251.0,4118.0,296.0,543.0,3368.0
7,3478.0,4397.0,251.0,4146.0,297.0,530.0,3360.0
8,3494.0,4398.0,249.0,4192.0,296.0,509.0,3372.0
9,3496.0,4399.0,244.0,4212.0,273.0,531.0,3292.0
10,3486.0,4398.0,250.0,4217.0,174.0,558.0,3277.0
11,3480.0,4398.0,251.0,4177.0,171.0,534.0,3319.0
12,3450.0,4398.0,247.0,4135.0,174.0,518.0,3362.0
13,3450.0,4398.0,247.0,4135.0,174.0,518.0,3362.0
14,3365.0,4397.0,245.0,3976.0,169.0,512.0,3334.0
15,3404.0,4398.0,249.0,3960.0,142.0,495.0,3358.0
16,3465.0,4398.0,248.0,3955.0,121.0,485.0,3329.0
17,3486.0,4397.0,246.0,3929.0,95.0,489.0,3310.0
18,3438.0,4397.0,246.0,3914.0,95.0,488.0,3335.0
19,3432.0,4398.0,247.0,3927.0,81.0,490.0,3351.0
20,3458.0,4398.0,255.0,3959.0,7.0,496.0,3324.0
21,3409.0,4397.0,256.0,3987.0,41.0,495.0,3314.0
22,3365.0,4398.0,255.0,4004.0,64.0,499.0,3296.0
23,3346.0,4398.0,258.0,3989.0,49.0,504.0,3250.0
24,3321.0,4397.0,257.0,3985.0,51.0,520.0,3188.0
25,3258.0,4398.0,259.0,4009.0,126.0,530.0,3145.0
26,3231.0,4396.0,255.0,4007.0,139.0,549.0,3051.0
27,3198.0,4398.0,253.0,4037.0,105.0,564.0,2981.0
28,3108.0,4399.0,256.0,4086.0,103.0,567.0,3010.0
29,3123.0,4399.0,256.0,4093.0,102.0,551.0,3033.0
30,3154.0,4399.0,258.0,4033.0,105.0,544.0,2969.0
31,3091.0,4398.0,263.0,4036.0,105.0,555.0,2980.0
32,3044.0,4398.0,264.0,4020.0,105.0,562.0,2947.0
33,3067.0,4398.0,264.0,3954.0,103.0,567.0,2945.0
34,3072.0,4399.0,261.0,3916.0,67.0,570.0,2925.0
35,3056.0,4400.0,259.0,3912.0,62.0,565.0,2886.0
36,3031.0,4399.0,261.0,3808.0,62.0,556.0,2825.0
37,2968.0,4397.0,259.0,3664.0,62.0,541.0,2847.0
38,2912.0,4399.0,258.0,3566.0,43.0,517.0,2877.0
39,2901.0,4399.0,258.0,3508.0,2.0,506.0,2935.0
40,2862.0,4399.0,254.0,3440.0,2.0,491.0,3023.0
41,2827.0,4398.0,255.0,3359.0,2.0,477.0,3016.0
42,2815.0,4400.0,254.0,3342.0,2.0,495.0,3003.0
43,2779.0,4399.0,255.0,3435.0,2.0,514.0,2999.0
44,2816.0,4401.0,257.0,3473.0,2.0,517.0,2908.0
45,2841.0,4399.0,255.0,3488.0,2.0,506.0,2821.0
46,2739.0,4399.0,257.0,3504.0,2.0,505.0,2829.0
47,2674.0,4399.0,259.0,3510.0,2.0,512.0,2707.0
48,2622.0,4401.0,259.0,3517.0,2.0,521.0,2637.0
49,2520.0,4400.0,260.0,3477.0,2.0,523.0,2480.0
50,2432.0,4398.0,262.0,3386.0,2.0,517.0,2334.0
51,2362.0,4400.0,256.0,3340.0,2.0,517.0,2233.0
52,2287.0,4398.0,257.0,3350.0,2.0,520.0,2199.0
53,2280.0,4399.0,259.0,3296.0,2.0,530.0,2199.0
54,2267.0,4399.0,260.0,3302.0,2.0,528.0,2173.0
55,2204.0,4398.0,259.0,3339.0,2.0,532.0,2071.0
56,2178.0,4397.0,258.0,3350.0,2.0,521.0,2067.0
57,2147.0,4398.0,257.0,3395.0,2.0,502.0,1954.0
58,2095.0,4398.0,257.0,3479.0,2.0,497.0,2008.0
