,electricity-fueltype-nyiso-other_fossil_fuels,electricity-fueltype-nyiso-natural_gas,electricity-fueltype-nyiso-nuclear,electricity-fueltype-nyiso-wind,electricity-fueltype-nyiso-hydro,electricity-fueltype-nyiso-other_renewables,electricity-fueltype-nyiso-dual_fuel
0,3.0,4278.0,3260.0,85.0,3353.0,226.0,4319.0
1,3.0,4346.0,3257.0,83.0,3316.0,224.0,4167.0
2,3.0,4347.0,3260.0,78.0,3262.0,229.0,4118.0
3,3.0,4328.0,3258.0,81.0,3258.0,231.0,4104.0
4,3.0,4246.0,3256.0,86.0,3273.0,229.0,4172.0
5,3.0,4235.0,3257.0,86.0,3258.0,230.0,4144.0
6,3.0,4245.0,3256.0,85.0,3300.0,233.0,4146.0
7,3.0,4243.0,3257.0,83.0,3303.0,230.0,4136.0
8,3.0,4240.0,3257.0,80.0,3276.0,232.0,4127.0
9,3.0,4226.0,3256.0,75.0,3270.0,237.0,4128.0
10,3.0,4215.0,3257.0,67.0,3273.0,242.0,4134.0
11,3.0,4227.0,3256.0,69.0,3260.0,239.0,4143.0
12,3.0,4268.0,3257.0,77.0,3257.0,233.0,4154.0
13,3.0,4352.0,3259.0,79.0,3259.0,231.0,4127.0
14,3.0,4402.0,3256.0,70.0,3231.0,238.0,4117.0
15,3.0,4402.0,3256.0,70.0,3231.0,238.0,4117.0
16,3.0,4402.0,3256.0,70.0,3231.0,238.0,4117.0
17,3.0,4422.0,3259.0,84.0,3176.0,242.0,4315.0
18,3.0,4448.0,3256.0,84.0,3239.0,249.0,4347.0
19,3.0,4423.0,3259.0,84.0,3240.0,250.0,4327.0
20,3.0,4414.0,3256.0,82.0,3251.0,249.0,4373.0
21,3.0,4448.0,3256.0,83.0,3237.0,250.0,4394.0
22,3.0,4456.0,3256.0,86.0,3218.0,250.0,4387.0
23,3.0,4450.0,3257.0,87.0,3236.0,250.0,4430.0
24,3.0,4445.0,3258.0,85.0,3273.0,247.0,4502.0
25,3.0,4453.0,3258.0,84.0,3222.0,251.0,4676.0
26,3.0,4465.0,3257.0,84.0,3231.0,252.0,4722.0
27,3.0,4444.0,3257.0,81.0,3255.0,254.0,4696.0
28,3.0,4459.0,3257.0,74.0,3264.0,256.0,4679.0
29,3.0,4454.0,3255.0,70.0,3218.0,259.0,4722.0
30,3.0,4464.0,3257.0,67.0,3214.0,256.0,4757.0
31,3.0,4480.0,3258.0,57.0,3236.0,252.0,4768.0
32,3.0,4489.0,3258.0,55.0,3251.0,258.0,4810.0
33,3.0,4508.0,3256.0,52.0,3234.0,266.0,4842.0
34,3.0,4534.0,3255.0,52.0,3230.0,267.0,4804.0
35,3.0,4544.0,3261.0,51.0,3262.0,266.0,4844.0
36,3.0,4533.0,3255.0,50.0,3261.0,261.0,4837.0
37,3.0,4613.0,3255.0,46.0,3398.0,260.0,4806.0
38,3.0,4664.0,3256.0,42.0,3402.0,261.0,4902.0
39,3.0,4669.0,3256.0,42.0,3376.0,263.0,4984.0
40,3.0,4647.0,3258.0,43.0,3341.0,260.0,5035.0
41,3.0,4645.0,3254.0,45.0,3372.0,262.0,5040.0
42,3.0,4666.0,3258.0,45.0,3410.0,264.0,4989.0
43,3.0,4717.0,3258.0,44.0,3412.0,267.0,4986.0
44,3.0,4744.0,3258.0,46.0,3400.0,273.0,4996.0
45,3.0,4748.0,3256.0,41.0,3365.0,268.0,5055.0
46,3.0,4768.0,3257.0,44.0,3340.0,263.0,5108.0
47,3.0,4801.0,3257.0,42.0,3308.0,263.0,5098.0
48,3.0,4824.0,3254.0,39.0,3343.0,261.0,5095.0
49,3.0,4863.0,3258.0,42.0,3303.0,265.0,5125.0
50,3.0,4834.0,3257.0,39.0,3377.0,260.0,5115.0
51,3.0,4845.0,3256.0,38.0,3436.0,259.0,5097.0
52,3.0,4892.0,3255.0,40.0,3416.0,256.0,5135.0
