,electricity-fueltype-nyiso-dual_fuel,electricity-fueltype-nyiso-wind,electricity-fueltype-nyiso-other_fossil_fuels,electricity-fueltype-nyiso-natural_gas,electricity-fueltype-nyiso-other_renewables,electricity-fueltype-nyiso-nuclear,electricity-fueltype-nyiso-hydro
0,3884.0,1659.0,91.0,4182.0,217.0,3146.0,3671.0
1,3862.0,1679.0,91.0,4159.0,223.0,3145.0,3608.0
2,3876.0,1707.0,91.0,4129.0,222.0,3145.0,3620.0
3,3960.0,1726.0,91.0,4077.0,226.0,3147.0,3587.0
4,3932.0,1705.0,91.0,4070.0,226.0,3147.0,3671.0
5,3956.0,1714.0,91.0,4042.0,231.0,3145.0,3730.0
6,3935.0,1729.0,91.0,4056.0,226.0,3147.0,3716.0
7,3890.0,1743.0,91.0,4053.0,225.0,3146.0,3708.0
8,3844.0,1744.0,91.0,4065.0,222.0,3146.0,3682.0
9,3835.0,1709.0,91.0,4022.0,222.0,3145.0,3722.0
10,3795.0,1690.0,91.0,4034.0,224.0,3146.0,3698.0
11,3762.0,1674.0,91.0,4094.0,229.0,3146.0,3653.0
12,3809.0,1639.0,91.0,4089.0,231.0,3145.0,3553.0
13,3756.0,1543.0,92.0,4058.0,226.0,3145.0,3492.0
14,3802.0,1552.0,92.0,4007.0,222.0,3146.0,3452.0
15,3922.0,1593.0,92.0,3943.0,224.0,3145.0,3349.0
16,3984.0,1627.0,92.0,3951.0,229.0,3145.0,3129.0
17,3951.0,1635.0,92.0,3993.0,232.0,3144.0,3148.0
18,3913.0,1663.0,91.0,4016.0,235.0,3146.0,3237.0
19,3961.0,1677.0,91.0,3954.0,232.0,3144.0,3216.0
20,3942.0,1682.0,92.0,3868.0,233.0,3145.0,3240.0
21,3894.0,1711.0,92.0,3825.0,236.0,3145.0,3303.0
22,3816.0,1729.0,92.0,3848.0,236.0,3146.0,3302.0
23,3827.0,1745.0,92.0,3789.0,239.0,3144.0,3345.0
24,3856.0,1740.0,92.0,3707.0,234.0,3144.0,3334.0
25,3944.0,1663.0,3.0,3431.0,228.0,3146.0,3180.0
26,3928.0,1672.0,3.0,3380.0,225.0,3145.0,3196.0
27,3915.0,1728.0,3.0,3329.0,230.0,3144.0,3207.0
28,3917.0,1740.0,3.0,3346.0,224.0,3143.0,3238.0
29,3862.0,1744.0,3.0,3272.0,219.0,3144.0,3231.0
30,3847.0,1747.0,3.0,3260.0,219.0,3144.0,3219.0
31,3777.0,1762.0,3.0,3232.0,229.0,3143.0,3190.0
32,3751.0,1787.0,3.0,3217.0,227.0,3144.0,3166.0
33,3732.0,1809.0,3.0,3206.0,231.0,3144.0,3066.0
34,3724.0,1829.0,3.0,3225.0,230.0,3143.0,3012.0
35,3691.0,1840.0,3.0,3216.0,224.0,3144.0,3057.0
36,3646.0,1851.0,3.0,3255.0,232.0,3143.0,3046.0
37,3514.0,1834.0,3.0,3296.0,233.0,3143.0,3140.0
38,3466.0,1834.0,3.0,3287.0,235.0,3142.0,3162.0
39,3317.0,1834.0,3.0,3316.0,231.0,3143.0,3179.0
40,3155.0,1825.0,3.0,3360.0,231.0,3143.0,3247.0
41,3151.0,1824.0,3.0,3368.0,239.0,3144.0,3243.0
42,3151.0,1824.0,3.0,3368.0,239.0,3144.0,3243.0
43,3146.0,1840.0,3.0,3347.0,236.0,3143.0,3205.0
44,3116.0,1831.0,3.0,3339.0,242.0,3144.0,3227.0
45,3095.0,1829.0,3.0,3324.0,241.0,3143.0,3228.0
46,3096.0,1844.0,3.0,3297.0,244.0,3143.0,3253.0
47,3082.0,1843.0,3.0,3285.0,247.0,3143.0,3250.0
48,2995.0,1850.0,3.0,3293.0,247.0,3142.0,3261.0
49,3184.0,1844.0,3.0,3258.0,248.0,3143.0,3318.0
50,3262.0,1821.0,3.0,3283.0,247.0,3143.0,3320.0
51,3373.0,1830.0,3.0,3292.0,248.0,3143.0,3306.0
52,3470.0,1837.0,3.0,3240.0,246.0,3143.0,3261.0
53,3360.0,1828.0,3.0,3234.0,242.0,3142.0,3306.0
54,3366.0,1820.0,3.0,3352.0,248.0,3142.0,3303.0
55,3366.0,1820.0,3.0,3352.0,248.0,3142.0,3303.0
56,3366.0,1820.0,3.0,3352.0,248.0,3142.0,3303.0
57,3440.0,1814.0,3.0,3405.0,242.0,3142.0,3218.0
58,3408.0,1806.0,3.0,3388.0,238.0,3142.0,3277.0
