,electricity-fueltype-nyiso-hydro,electricity-fueltype-nyiso-dual_fuel,electricity-fueltype-nyiso-natural_gas,electricity-fueltype-nyiso-nuclear,electricity-fueltype-nyiso-wind,electricity-fueltype-nyiso-other_renewables,electricity-fueltype-nyiso-other_fossil_fuels
0,3165.0,2962.0,4051.0,2726.0,262.0,259.0,3.0
1,3178.0,2949.0,4010.0,2726.0,260.0,253.0,3.0
2,3193.0,2920.0,4007.0,2723.0,266.0,257.0,3.0
3,3218.0,2900.0,3997.0,2724.0,262.0,257.0,3.0
4,3208.0,2946.0,3998.0,2726.0,252.0,257.0,10.0
5,3186.0,2949.0,3997.0,2725.0,251.0,258.0,19.0
6,3129.0,2941.0,4005.0,2723.0,258.0,259.0,19.0
7,3150.0,2974.0,4015.0,2725.0,261.0,263.0,20.0
8,3132.0,2945.0,4014.0,2724.0,268.0,262.0,20.0
9,3125.0,2958.0,4007.0,2725.0,266.0,261.0,20.0
10,3127.0,2967.0,3992.0,2724.0,263.0,263.0,20.0
11,3120.0,2948.0,3979.0,2723.0,254.0,265.0,19.0
12,3175.0,2971.0,3962.0,2723.0,240.0,262.0,18.0
13,3222.0,2974.0,3966.0,2723.0,234.0,268.0,17.0
14,3259.0,2978.0,3965.0,2726.0,229.0,263.0,17.0
15,3306.0,2980.0,3969.0,2722.0,220.0,259.0,14.0
16,3371.0,3004.0,3978.0,2723.0,206.0,259.0,16.0
17,3387.0,3007.0,3987.0,2724.0,207.0,265.0,20.0
18,3379.0,3013.0,4000.0,2723.0,198.0,263.0,17.0
19,3381.0,3020.0,4005.0,2721.0,187.0,261.0,19.0
20,3388.0,3015.0,4010.0,2723.0,173.0,261.0,20.0
21,3411.0,3021.0,4032.0,2723.0,166.0,255.0,19.0
22,3379.0,3026.0,4046.0,2723.0,161.0,254.0,20.0
23,3400.0,2996.0,3992.0,2724.0,152.0,263.0,19.0
24,3494.0,2947.0,3931.0,2722.0,149.0,264.0,20.0
25,3521.0,2927.0,3981.0,2726.0,143.0,264.0,20.0
26,3512.0,2910.0,3976.0,2724.0,144.0,263.0,20.0
27,3532.0,2921.0,3979.0,2723.0,144.0,266.0,19.0
28,3515.0,2956.0,4001.0,2724.0,133.0,267.0,29.0
29,3468.0,2956.0,4017.0,2724.0,118.0,275.0,38.0
30,3453.0,2951.0,4029.0,2724.0,114.0,273.0,38.0
31,3497.0,2992.0,4038.0,2721.0,106.0,269.0,38.0
32,3467.0,3031.0,4049.0,2720.0,99.0,275.0,38.0
33,3510.0,3056.0,4032.0,2720.0,95.0,275.0,38.0
34,3487.0,3083.0,4040.0,2721.0,93.0,275.0,38.0
35,3451.0,3060.0,4041.0,2721.0,87.0,275.0,38.0
36,3435.0,3031.0,4010.0,2721.0,84.0,273.0,38.0
37,3453.0,3051.0,4007.0,2721.0,79.0,274.0,38.0
38,3361.0,3098.0,4076.0,2721.0,79.0,267.0,38.0
39,3306.0,3120.0,4118.0,2721.0,75.0,270.0,38.0
40,3351.0,3123.0,4130.0,2720.0,73.0,269.0,37.0
41,3393.0,3120.0,4118.0,2721.0,75.0,271.0,38.0
42,3382.0,3119.0,4121.0,2720.0,77.0,263.0,34.0
43,3386.0,3120.0,4145.0,2720.0,84.0,267.0,21.0
