,electricity-lbmp-nyiso-west,electricity-lbmp-nyiso-north,electricity-lbmp-nyiso-capitl,electricity-lbmp-nyiso-h_q,electricity-lbmp-nyiso-genese,electricity-lbmp-nyiso-dunwod,electricity-lbmp-nyiso-nyc,electricity-lbmp-nyiso-mhk_valley,electricity-lbmp-nyiso-pjm,electricity-lbmp-nyiso-centrl,electricity-lbmp-nyiso-o_h,electricity-lbmp-nyiso-longil,electricity-lbmp-nyiso-npx,electricity-lbmp-nyiso-millwd,electricity-lbmp-nyiso-hud_valley
0,43.5,44.21,52.38,43.94,44.8,69.25,68.15,46.41,35.46,45.34,42.06,71.3,55.28,107.01,38.47
1,39.62,39.19,57.39,39.35,40.63,68.79,67.67,42.31,33.17,41.21,38.32,70.68,56.74,106.61,37.93
2,43.21,43.97,52.8,43.7,44.6,72.49,71.16,46.2,33.48,45.09,41.83,74.61,56.32,116.63,36.59
3,44.08,45.0,54.23,44.72,45.54,75.47,74.01,47.23,33.48,46.04,42.71,77.69,58.01,123.1,36.77
4,44.27,45.0,54.23,44.72,45.63,75.43,74.01,47.23,33.57,46.09,42.85,77.69,58.01,123.1,36.77
5,39.7,38.85,60.42,39.15,40.58,73.06,71.71,42.29,32.03,41.25,38.32,75.16,59.37,117.05,37.26
6,37.83,34.4,81.54,35.66,38.19,77.7,76.52,40.54,36.4,39.36,36.51,79.57,70.84,115.59,46.45
7,37.9,32.57,95.16,34.52,37.89,73.16,72.83,40.8,45.51,39.35,36.49,74.59,76.58,90.08,58.81
8,37.91,26.95,142.29,31.09,36.87,85.28,85.53,41.21,59.58,39.22,36.43,86.32,103.71,85.28,83.18
9,37.97,28.7,126.5,20.52,37.23,78.71,79.0,41.14,56.65,39.3,36.45,79.8,94.02,78.68,76.86
10,38.0,28.91,126.29,20.75,37.31,78.75,79.0,41.31,56.67,39.51,36.35,79.77,93.97,78.68,76.9
11,40.4,23.77,195.7,18.44,38.22,109.58,109.85,44.42,72.17,41.8,38.36,110.61,137.76,109.65,106.66
12,38.06,26.39,149.36,30.85,36.85,88.5,88.76,41.59,61.21,39.48,36.31,89.52,108.22,88.52,86.32
