,electricity-lbmp-nyiso-pjm,electricity-lbmp-nyiso-nyc,electricity-lbmp-nyiso-hud_valley,electricity-lbmp-nyiso-millwd,electricity-lbmp-nyiso-npx,electricity-lbmp-nyiso-o_h,electricity-lbmp-nyiso-longil,electricity-lbmp-nyiso-centrl,electricity-lbmp-nyiso-north,electricity-lbmp-nyiso-mhk_valley,electricity-lbmp-nyiso-capitl,electricity-lbmp-nyiso-west,electricity-lbmp-nyiso-genese,electricity-lbmp-nyiso-h_q,electricity-lbmp-nyiso-dunwod
0,42.52,44.52,43.48,43.92,42.52,39.4,47.84,42.83,-8.32,36.03,43.32,40.53,40.53,28.92,44.2
1,42.11,44.13,43.06,43.46,42.07,38.98,47.44,42.92,-8.39,36.14,42.82,40.64,40.64,38.39,43.77
2,42.16,44.23,43.19,43.59,42.16,38.9,48.13,42.49,38.38,42.46,42.91,40.17,40.21,38.47,43.9
3,42.2,44.26,43.19,43.62,42.2,38.94,46.65,42.57,38.5,42.57,42.95,40.1,40.21,38.5,43.9
4,42.27,44.13,43.15,43.58,42.08,39.15,47.92,42.61,38.54,42.61,42.75,40.13,40.25,28.71,43.86
5,45.63,47.64,46.53,47.0,45.33,42.43,51.79,42.58,-8.18,35.78,46.06,40.33,40.33,41.45,47.34
6,45.53,47.44,46.33,46.8,45.17,42.4,47.27,46.05,41.45,45.92,45.94,43.75,43.63,41.42,47.1
7,45.6,47.39,46.36,46.79,45.2,42.43,49.26,46.08,41.42,45.85,46.02,43.73,43.6,41.49,47.09
8,59.3,292.39,43.85,44.3,42.72,39.98,57.61,46.29,41.49,45.92,43.49,43.75,43.71,39.17,44.61
9,49.45,102.7,46.73,47.2,45.52,42.47,53.83,43.42,39.17,43.29,46.34,41.19,41.19,41.7,47.5
10,49.58,101.86,46.96,47.44,45.75,42.47,53.8,46.33,41.66,46.14,46.57,43.76,43.8,41.91,47.74
11,48.89,93.61,46.96,47.44,45.8,42.47,53.56,46.6,41.87,46.35,46.57,43.81,43.9,41.91,47.74
12,48.11,80.58,47.1,47.54,45.89,42.43,53.41,46.6,41.91,46.35,46.63,43.77,43.9,42.04,47.89
13,50.84,80.03,50.07,50.53,48.74,45.29,55.82,46.61,42.04,46.45,49.52,43.73,43.91,44.65,50.9
14,50.72,73.14,50.4,50.86,49.06,127.31,55.66,49.62,44.65,49.37,49.84,46.67,46.76,44.85,51.18
15,50.36,81.05,49.53,50.03,48.26,126.52,55.45,49.98,44.81,49.67,48.94,46.89,47.02,44.08,50.35
