,electricity-lbmp-nyiso-capitl,electricity-lbmp-nyiso-north,electricity-lbmp-nyiso-h_q,electricity-lbmp-nyiso-dunwod,electricity-lbmp-nyiso-mhk_valley,electricity-lbmp-nyiso-genese,electricity-lbmp-nyiso-nyc,electricity-lbmp-nyiso-centrl,electricity-lbmp-nyiso-pjm,electricity-lbmp-nyiso-npx,electricity-lbmp-nyiso-hud_valley,electricity-lbmp-nyiso-o_h,electricity-lbmp-nyiso-longil,electricity-lbmp-nyiso-west,electricity-lbmp-nyiso-millwd
0,166.27,158.07,181.8,165.97,162.55,153.64,197.19,154.51,126.95,192.8,164.87,60.6,198.48,68.93,165.81
1,224.28,212.62,153.57,222.81,218.65,207.12,166.43,207.62,140.18,162.86,221.58,59.39,167.04,75.51,222.6
2,224.5,212.41,206.57,222.81,218.65,207.34,223.24,207.41,140.11,219.27,221.37,61.45,224.5,75.31,222.6
3,182.19,172.55,206.57,181.18,177.62,168.07,223.24,168.66,112.77,219.27,180.0,61.44,224.69,70.55,181.0
4,162.48,154.16,167.64,162.48,158.85,150.43,181.51,150.84,124.78,178.12,161.43,59.84,182.7,68.42,162.33
5,226.19,214.79,149.92,227.46,221.54,209.87,163.1,210.15,167.74,153.05,225.54,59.13,164.0,76.07,227.02
6,228.6,216.03,209.09,229.86,223.48,210.62,228.5,211.58,168.96,216.06,227.96,61.76,229.56,75.93,229.44
7,227.19,213.68,210.52,228.03,221.28,209.83,231.14,209.9,160.68,218.65,226.15,61.77,232.62,75.62,227.83
8,174.16,164.29,208.43,174.97,169.63,154.09,229.52,161.22,128.66,224.87,173.35,61.53,232.48,91.46,174.81
9,195.89,184.62,159.93,196.8,190.61,180.2,175.94,180.8,140.29,172.67,194.99,60.41,178.54,72.1,196.61
10,172.42,162.65,179.71,173.39,167.94,158.53,197.7,159.13,118.06,194.06,171.94,60.34,200.44,69.27,173.22
11,169.85,160.08,158.33,170.79,165.12,155.65,174.35,156.61,116.5,169.86,169.21,59.44,176.6,68.94,170.64
12,174.32,164.13,155.82,175.14,169.63,160.49,171.59,160.9,119.34,167.33,173.52,59.33,173.95,69.58,174.97
13,172.4,162.48,159.93,173.03,167.6,158.36,175.78,158.96,92.96,171.57,171.61,59.54,178.38,69.28,173.03
14,168.19,158.35,158.16,168.81,163.51,154.6,173.84,155.08,89.96,169.84,167.42,59.44,176.23,68.82,168.67
15,174.33,163.8,154.3,174.97,169.15,160.15,169.43,160.25,93.92,165.69,173.5,59.3,171.93,69.34,174.97
16,174.33,163.8,159.77,174.97,169.15,159.99,175.61,160.4,79.93,171.73,173.5,59.53,178.36,69.31,174.8
17,171.67,161.16,159.77,172.45,166.57,157.53,175.77,157.96,78.44,171.25,171.03,59.35,178.21,69.04,172.3
18,158.53,147.68,157.34,159.41,153.4,140.18,173.26,145.64,73.08,168.8,157.95,59.26,175.8,79.32,159.25
19,193.48,42.33,144.16,152.17,64.53,54.49,160.28,59.92,106.32,156.0,149.84,67.53,162.63,58.34,152.9
20,192.79,42.38,41.44,151.62,63.86,54.53,152.49,59.67,106.01,174.6,149.26,55.69,152.89,58.15,152.37
21,199.32,38.08,41.54,155.01,60.83,51.37,151.99,56.71,106.91,173.98,152.51,55.53,152.77,56.16,155.79
22,148.21,136.46,37.28,149.58,143.02,133.31,155.35,136.46,121.66,178.78,147.93,53.71,156.09,129.67,149.44
23,149.17,137.36,133.87,150.55,143.54,133.5,150.68,136.67,122.02,146.57,148.9,125.25,153.12,129.42,150.27
24,168.59,97.73,134.61,152.0,110.55,100.3,151.51,104.71,107.27,147.52,150.02,125.12,153.83,91.94,152.25
25,194.61,44.34,95.78,153.65,65.91,56.37,152.82,61.62,85.31,157.72,151.23,87.33,154.39,60.04,154.36
26,171.07,97.54,43.41,153.59,110.7,100.63,153.94,105.01,99.71,170.93,151.59,57.42,154.45,92.25,153.75
27,163.15,116.85,95.59,154.09,127.12,116.66,154.21,120.77,107.6,159.71,152.34,87.58,155.87,109.94,154.17
28,155.28,132.03,114.74,153.46,139.66,129.06,154.93,132.89,102.59,156.2,151.72,105.39,157.27,123.99,153.25
29,153.78,141.34,129.52,155.06,147.85,137.51,154.38,140.92,107.75,152.12,153.5,119.56,156.76,133.87,154.93
30,153.63,140.92,138.65,155.05,147.85,138.36,157.3,141.06,108.02,152.23,153.35,129.3,158.59,135.29,154.78
31,153.22,139.99,138.23,154.91,147.31,137.44,201.34,140.55,99.36,152.08,153.22,130.87,158.72,133.95,154.64
32,153.65,140.23,0.0,155.34,147.72,138.38,201.33,141.36,100.31,151.82,153.5,129.55,159.13,135.59,155.06
33,153.8,140.25,0.0,155.63,147.73,137.7,201.48,140.95,99.63,152.09,153.65,130.75,159.71,134.34,155.06
34,155.71,141.75,0.0,157.23,149.47,139.47,190.43,142.61,106.92,152.24,155.38,129.79,158.58,136.07,156.82
35,154.22,140.64,0.0,155.76,148.13,138.36,191.82,141.48,105.87,154.26,153.93,131.61,160.23,135.28,155.35
36,160.87,124.87,0.0,155.69,134.61,124.92,190.53,128.24,100.29,152.8,153.72,130.86,159.02,122.94,155.44
37,153.93,140.37,0.0,155.63,147.86,138.24,190.41,141.22,91.17,155.91,153.78,118.86,158.59,135.44,155.2
38,153.51,140.27,137.83,155.2,147.6,138.15,190.41,141.11,90.92,152.52,153.38,130.9,159.01,135.47,154.79
39,153.22,139.87,137.58,154.91,146.89,137.6,190.18,140.42,90.51,152.1,153.09,130.96,158.59,134.4,154.64
40,153.39,139.92,137.47,155.05,146.96,137.66,197.14,140.49,83.87,151.96,153.22,129.86,159.42,134.74,154.77
41,152.93,126.43,137.38,150.59,134.71,125.44,190.18,128.41,76.28,152.11,148.61,130.34,159.56,122.86,150.41
42,145.07,132.56,124.27,146.82,139.35,130.28,189.64,133.09,76.16,149.6,144.95,118.75,154.41,127.65,146.41
43,147.2,134.62,130.16,148.82,141.52,132.71,182.91,135.56,69.36,143.88,146.93,123.35,149.6,130.58,148.41
44,153.47,140.35,0.0,155.44,147.69,138.5,184.64,141.19,75.36,145.85,153.47,126.08,151.66,135.99,154.88
45,153.78,140.5,0.0,155.61,147.85,138.8,190.42,141.34,75.52,152.21,153.63,131.44,158.69,136.26,155.05
46,153.45,140.07,0.0,155.29,147.4,138.09,190.56,140.49,64.72,152.5,153.31,131.87,159.01,135.13,154.87
47,148.91,135.79,0.0,150.83,142.9,133.74,190.27,136.34,60.49,152.19,148.91,130.91,158.67,130.87,150.42
48,147.98,135.2,0.0,149.89,142.14,133.02,186.55,135.61,59.74,147.82,147.98,126.63,153.98,130.17,149.48
49,147.2,134.37,0.0,148.97,141.26,132.32,185.74,135.04,58.74,146.9,147.07,126.09,153.01,129.92,148.43
50,147.07,134.37,0.0,148.82,141.4,132.47,184.81,135.17,58.74,145.99,147.07,125.57,152.07,130.2,148.43
51,153.65,140.37,0.0,155.63,147.58,138.24,184.81,141.08,64.89,145.99,153.65,125.84,151.93,135.58,155.06
52,153.65,140.37,0.0,155.63,147.58,138.24,209.49,140.93,54.48,152.52,153.65,131.18,158.72,135.56,155.2
53,153.64,140.37,0.0,155.62,147.57,137.97,202.29,140.93,54.18,152.52,153.64,131.19,158.72,135.14,155.19
54,144.39,65.78,0.0,124.87,78.44,70.95,201.59,74.59,10.29,152.51,122.98,130.76,158.72,71.95,125.0
55,166.53,72.21,0.0,142.83,87.06,78.61,125.3,82.85,39.01,132.42,140.65,69.42,126.24,80.02,143.01
56,160.73,85.33,0.0,142.79,98.3,89.47,143.31,93.45,43.3,152.11,140.68,77.16,144.41,89.66,142.89
57,154.79,47.37,0.0,126.29,63.29,55.58,143.34,59.79,20.64,149.3,124.23,86.6,144.89,58.4,126.69
