,electricity-lbmp-nyiso-north,electricity-lbmp-nyiso-nyc,electricity-lbmp-nyiso-npx,electricity-lbmp-nyiso-dunwod,electricity-lbmp-nyiso-pjm,electricity-lbmp-nyiso-hud_valley,electricity-lbmp-nyiso-millwd,electricity-lbmp-nyiso-genese,electricity-lbmp-nyiso-centrl,electricity-lbmp-nyiso-west,electricity-lbmp-nyiso-o_h,electricity-lbmp-nyiso-mhk_valley,electricity-lbmp-nyiso-h_q,electricity-lbmp-nyiso-capitl,electricity-lbmp-nyiso-longil
0,28.01,57.43,42.99,57.02,43.98,49.13,54.65,27.78,28.41,27.15,26.26,29.34,26.63,38.01,110.09
1,37.72,57.51,48.54,57.03,48.15,51.99,55.47,36.22,37.86,27.15,34.35,39.51,37.3,45.11,114.98
2,27.13,57.44,43.78,57.04,45.13,48.92,54.6,27.68,28.01,35.63,26.28,28.59,26.91,37.48,114.77
3,19.38,58.96,41.13,58.66,43.3,47.82,55.44,19.75,19.99,27.13,18.67,20.44,19.24,32.35,58.64
4,18.7,58.93,39.9,58.66,43.11,47.62,55.36,19.18,19.35,19.24,18.19,19.77,18.59,31.83,58.71
5,19.93,58.88,40.43,58.62,43.51,48.22,55.44,20.34,20.6,18.76,19.2,20.99,19.81,32.71,58.8
6,18.71,58.98,39.88,58.63,43.14,47.88,55.36,19.16,19.33,19.83,18.17,19.7,18.57,31.81,58.67
7,18.36,59.04,40.66,58.69,43.15,47.85,55.37,19.03,19.09,18.78,18.17,19.39,18.28,31.64,58.77
8,19.24,58.99,41.07,58.63,43.38,48.07,55.41,19.81,20.03,18.75,18.79,20.36,19.16,32.31,58.76
9,18.45,61.09,41.8,60.72,44.43,49.33,57.24,19.11,19.24,19.4,18.19,19.51,18.36,32.33,60.75
10,19.24,60.68,41.92,60.29,44.46,49.25,56.91,19.94,20.06,18.77,19.0,20.34,19.14,32.74,60.39
11,19.3,60.54,41.87,60.16,44.41,49.17,56.79,19.97,20.15,19.61,19.0,20.4,19.2,32.75,60.41
12,18.41,61.09,41.76,60.72,44.44,49.31,57.23,19.07,19.2,19.63,18.17,19.49,18.32,32.27,60.9
13,18.45,56.81,38.59,54.91,40.83,45.11,51.9,19.07,19.22,18.77,18.19,19.53,18.36,30.5,105.58
14,13.17,61.03,39.35,60.69,42.57,47.77,56.77,13.72,13.76,18.77,13.15,13.96,13.11,28.42,104.73
15,14.1,61.04,39.75,60.69,42.95,48.05,56.85,14.71,14.75,13.58,14.13,14.95,14.03,29.09,106.96
16,-9.49,112.86,57.22,112.45,66.52,78.69,102.3,-9.92,-9.92,14.61,-9.57,-10.05,-9.43,27.47,113.02
17,13.97,61.75,40.05,61.4,43.39,48.31,57.39,14.63,14.64,-9.89,14.13,14.81,13.9,29.17,107.84
18,13.94,60.63,39.42,60.27,42.68,47.5,56.35,14.61,14.64,14.6,14.1,14.81,13.89,28.84,113.63
19,-9.81,114.33,57.88,113.93,67.31,79.14,103.36,-10.31,-10.27,14.59,-9.99,-10.41,-9.76,27.66,114.43
20,-6.64,117.86,61.25,117.42,70.63,82.57,106.83,-7.03,-6.97,-10.32,-6.85,-7.05,-6.61,31.08,120.48
21,9.95,62.2,38.5,61.87,42.17,47.48,57.47,10.42,10.42,-7.07,10.06,10.56,9.91,26.41,107.82
22,4.41,72.4,41.51,72.07,46.49,53.18,66.32,4.64,4.62,10.39,4.48,4.68,4.4,25.4,106.1
23,-9.92,98.74,49.26,98.39,57.59,67.9,89.14,-10.49,-10.41,4.62,-10.17,-10.53,-9.9,22.72,98.9
24,9.89,62.32,38.55,61.99,42.21,47.55,57.58,10.39,10.32,-10.5,10.05,10.48,9.86,26.42,62.2
25,9.72,68.01,41.59,67.68,45.73,51.59,62.76,10.32,10.21,10.36,10.04,10.35,9.7,28.05,67.93
26,9.72,68.83,42.05,68.5,46.24,52.19,63.51,10.32,10.22,10.36,10.04,10.35,9.71,28.32,68.74
27,9.57,66.02,40.44,65.69,44.49,50.14,60.93,10.28,10.13,10.36,10.06,10.24,9.58,27.35,65.93
28,9.51,59.22,36.71,58.91,40.28,45.26,54.73,10.27,10.14,10.37,10.06,10.24,9.55,25.24,102.06
29,9.47,59.98,37.1,59.69,40.76,45.76,55.62,10.25,10.13,10.37,10.05,10.22,9.52,25.65,105.71
30,9.54,59.18,36.71,58.89,40.27,45.21,54.9,10.28,10.18,10.38,10.04,10.27,9.58,25.45,113.2
31,9.45,60.6,37.45,60.3,41.14,46.19,56.19,10.23,10.1,10.38,10.05,10.18,9.5,25.83,113.53
32,9.38,61.0,37.64,60.7,41.38,46.46,56.55,10.21,10.04,10.38,10.05,10.12,9.43,25.91,114.43
33,9.4,61.16,37.73,60.85,41.46,46.58,56.69,10.21,10.04,10.37,10.05,10.13,9.44,25.98,105.73
34,12.88,59.32,38.35,59.02,41.61,46.3,55.3,13.87,13.72,10.37,13.56,13.85,12.93,28.02,113.63
35,9.44,95.32,56.38,94.88,62.68,71.06,87.95,10.23,10.11,14.01,10.05,10.19,9.49,36.58,113.53
36,-4.65,114.03,60.02,113.62,68.93,80.29,103.97,-5.07,-4.98,10.38,-5.0,-5.02,-4.67,31.78,114.1
37,9.29,135.91,78.44,135.33,87.83,100.1,125.09,10.17,9.99,-5.16,10.03,10.05,9.36,49.04,135.85
38,-9.22,122.64,71.23,122.1,79.61,90.61,112.94,10.21,10.06,10.36,10.04,8.02,4.74,45.75,122.57
39,-9.21,62.05,38.22,61.75,42.04,47.22,57.52,10.22,10.07,10.39,10.02,8.05,4.77,27.04,105.73
40,-9.21,113.57,66.25,113.07,73.96,84.09,104.64,10.16,9.98,10.37,10.01,7.97,4.7,42.88,113.54
41,-9.19,115.34,67.19,114.82,75.05,85.47,106.09,10.15,9.94,10.36,10.02,8.06,4.68,42.95,115.31
42,-9.19,115.34,67.19,114.82,75.05,85.47,106.09,10.15,9.94,10.36,10.02,8.06,4.68,42.95,115.31
43,9.27,67.01,40.88,66.7,45.08,50.83,61.96,10.18,9.96,10.36,10.02,10.08,9.36,27.5,114.43
44,9.27,67.01,40.88,66.7,45.08,50.83,61.96,10.18,9.96,10.36,10.02,10.08,9.36,27.5,114.43
45,9.27,67.01,40.88,66.7,45.08,50.83,61.96,10.18,9.96,10.36,10.02,10.08,9.36,27.5,114.43
46,9.27,67.01,40.88,66.7,45.08,50.83,61.96,10.18,9.96,10.36,10.02,10.08,9.36,27.5,114.43
47,9.27,67.01,40.88,66.7,45.08,50.83,61.96,10.18,9.96,10.36,10.02,10.08,9.36,27.5,114.43
48,9.27,67.01,40.88,66.7,45.08,50.83,61.96,10.18,9.96,10.36,10.02,10.08,9.36,27.5,114.43
49,9.27,67.01,40.88,66.7,45.08,50.83,61.96,10.18,9.96,10.36,10.02,10.08,9.36,27.5,114.43
50,9.27,67.01,40.88,66.7,45.08,50.83,61.96,10.18,9.96,10.36,10.02,10.08,9.36,27.5,114.43
51,9.27,67.01,40.88,66.7,45.08,50.83,61.96,10.18,9.96,10.36,10.02,10.08,9.36,27.5,114.43
52,9.27,67.01,40.88,66.7,45.08,50.83,61.96,10.18,9.96,10.36,10.02,10.08,9.36,27.5,114.43
