,electricity-lbmp-nyiso-pjm,electricity-lbmp-nyiso-hud_valley,electricity-lbmp-nyiso-genese,electricity-lbmp-nyiso-centrl,electricity-lbmp-nyiso-capitl,electricity-lbmp-nyiso-north,electricity-lbmp-nyiso-npx,electricity-lbmp-nyiso-millwd,electricity-lbmp-nyiso-o_h,electricity-lbmp-nyiso-mhk_valley,electricity-lbmp-nyiso-longil,electricity-lbmp-nyiso-nyc,electricity-lbmp-nyiso-h_q,electricity-lbmp-nyiso-dunwod,electricity-lbmp-nyiso-west
0,45.83,47.79,45.82,44.44,45.25,42.27,40.59,48.21,43.44,45.04,73.92,48.63,42.01,48.46,44.82
1,48.56,50.37,49.03,47.59,49.3,45.28,48.75,50.6,46.48,48.24,103.59,51.07,44.95,50.84,48.01
2,45.68,47.63,45.59,44.26,45.04,42.14,40.44,48.09,43.22,44.86,112.13,48.55,41.84,48.34,44.6
3,45.76,47.67,45.63,44.33,45.07,42.14,40.46,48.1,43.26,44.94,73.86,48.6,41.88,48.38,44.64
4,46.27,48.45,45.63,44.34,44.28,42.18,35.72,49.07,43.22,44.94,85.04,49.56,41.92,49.38,44.59
5,45.74,47.71,45.59,44.29,44.99,42.14,40.21,48.14,43.26,44.94,112.65,48.6,41.88,48.43,44.6
6,45.31,47.39,44.76,43.49,43.42,41.34,35.3,48.03,42.48,44.09,49.03,48.46,41.08,48.29,43.83
7,49.66,52.01,48.95,47.47,47.11,45.12,36.93,52.73,46.55,48.12,77.04,53.21,44.84,53.02,48.03
8,48.13,50.33,47.51,46.07,45.74,43.83,36.42,51.0,45.22,46.66,77.6,51.41,43.48,51.28,46.66
9,48.15,50.31,47.46,46.07,45.72,43.97,36.25,50.98,45.18,46.66,77.69,51.45,43.52,51.27,46.61
10,48.15,50.31,47.46,46.07,45.72,44.01,36.25,50.98,45.18,46.66,77.69,51.45,43.52,51.27,46.66
11,45.41,47.42,44.81,43.5,43.31,41.38,35.06,48.02,42.7,44.05,75.76,48.49,41.05,48.28,44.09
12,44.48,46.43,43.88,42.64,42.51,40.4,34.67,47.01,41.81,43.18,75.08,47.51,40.2,47.26,43.14
13,44.32,46.39,43.68,42.48,42.43,40.33,34.7,47.01,41.57,43.06,75.08,47.51,40.12,47.26,42.89
14,42.24,44.3,41.65,40.51,40.69,38.58,33.83,44.83,39.64,41.1,46.04,45.34,38.34,45.07,40.83
15,42.2,44.18,41.62,40.47,40.62,38.51,33.82,44.74,39.65,41.03,45.92,45.25,38.27,44.98,40.87
16,42.21,44.18,41.61,40.47,40.6,38.5,33.95,44.7,39.64,41.02,45.92,45.25,38.26,44.98,40.86
17,42.32,44.22,41.68,40.57,40.67,38.56,33.97,44.74,39.78,41.09,45.92,45.29,38.32,45.02,41.01
18,42.32,44.14,41.7,40.59,40.66,38.54,33.82,44.7,39.8,41.07,45.77,45.22,38.3,44.94,41.03
19,46.21,48.38,45.23,44.16,44.07,42.05,35.66,49.09,43.08,44.8,50.18,49.7,41.75,49.36,44.42
20,41.44,43.57,40.56,39.7,40.1,37.95,33.75,44.14,38.5,40.4,45.15,44.73,37.72,44.42,39.62
21,41.4,43.44,40.38,39.65,39.98,37.79,33.49,44.02,38.33,40.3,45.15,44.66,37.56,44.3,39.53
22,41.82,44.02,40.68,39.93,40.36,38.1,33.55,44.62,38.57,40.64,45.64,45.28,37.87,44.9,39.74
23,47.02,72.09,-10.57,-10.33,-105.85,-9.87,-560.71,94.99,-10.06,-10.52,97.78,97.9,-9.79,97.86,-10.37
24,41.64,44.0,40.38,39.76,40.24,37.86,33.18,44.62,38.21,40.5,45.52,45.13,37.7,44.86,39.37
25,49.23,51.81,47.55,46.82,46.73,44.4,36.32,52.63,45.04,47.55,53.75,53.2,44.22,52.92,46.5
26,49.23,51.81,47.55,46.82,46.73,44.4,36.32,52.63,45.04,47.55,53.75,53.2,44.22,52.92,46.5
27,41.19,43.57,39.84,39.23,39.91,37.49,33.16,44.21,37.65,40.08,45.15,45.2,37.38,44.48,38.77
28,41.09,43.44,39.78,39.17,39.84,37.4,33.26,44.03,37.59,40.01,45.14,44.65,37.28,44.3,38.74
29,40.77,43.02,39.49,38.88,39.5,37.09,33.1,43.64,37.32,39.65,44.75,44.26,36.98,43.91,38.5
30,40.8,43.1,39.48,38.87,39.56,37.12,33.12,43.68,37.35,39.68,44.78,44.3,37.01,43.94,38.49
31,48.38,51.17,46.66,45.9,46.08,43.88,36.16,51.97,44.19,46.89,53.34,52.66,43.69,52.3,45.54
32,46.26,48.91,44.64,43.95,44.23,42.01,35.26,49.69,42.23,44.9,51.0,50.4,41.84,50.01,43.56
33,46.29,48.89,44.7,43.96,44.22,42.07,35.15,49.69,42.33,44.91,51.0,50.4,41.85,50.01,43.62
34,48.41,51.15,46.72,45.91,46.06,43.88,36.05,52.01,44.29,46.81,53.34,52.75,43.7,52.35,45.59
35,47.09,49.65,45.49,44.74,44.83,42.69,35.45,50.47,43.17,45.58,51.76,51.14,42.51,50.79,44.48
36,44.81,47.27,43.36,42.65,42.93,40.73,34.54,48.02,41.15,43.45,49.25,48.7,40.56,48.33,42.36
