,electricity-load-nyiso-dunwod,electricity-load-nyiso-genese,electricity-load-nyiso-north,electricity-load-nyiso-west,electricity-load-nyiso-capitl,electricity-load-nyiso-nyc,electricity-load-nyiso-overall,electricity-load-nyiso-centrl,electricity-load-nyiso-hud_valley,electricity-load-nyiso-longil,electricity-load-nyiso-millwd,electricity-load-nyiso-mhk_valley
0,809.0952,1112.2742,562.4392,1669.1211,1291.6528,6994.4043,19338.795100000003,1752.8629,1109.6581,2846.2036,330.9511,836.4354
1,811.4868,1113.5024,547.5326,1659.824,1317.1039,7029.7124,19312.575899999996,1732.0364,1103.9054,2862.3367,328.2495,838.2997
2,814.6163,1113.5552,569.966,1621.3514,1307.6643,7025.007,19381.8927,1748.8136,1120.0891,2864.082,331.861,837.1307
3,826.1786,1130.0864,553.5866,1631.6069,1319.4514,7033.6416,19424.5578,1749.2937,1118.1805,2860.5334,335.2708,838.3159
4,817.796,1122.8225,559.2694,1620.8281,1311.8096,7030.9453,19461.686500000003,1745.3237,1115.7234,2882.9902,336.054,841.8184
5,820.9443,1128.519,558.9387,1628.291,1307.623,7081.215,19499.6783,1749.4926,1080.3368,2879.6182,354.8646,845.9175
6,839.0549,1124.9292,562.194,1625.7427,1315.3689,7096.64,19468.371400000004,1739.5531,1093.8767,2874.373,342.2559,848.0197
7,827.5913,1133.2233,556.1287,1633.1461,1311.2927,7129.5703,19508.9637,1744.0337,1088.304,2895.5605,359.9928,839.2111
8,832.7842,1128.2339,571.5017,1632.9797,1313.5391,7107.0635,19554.1341,1746.7314,1105.8019,2905.9246,349.8854,839.6397
9,838.7245,1135.4619,566.902,1634.1504,1309.859,7115.453,19619.432199999996,1751.2638,1118.438,2894.5466,347.9916,839.6342
10,837.1395,1141.2611,566.5339,1669.1893,1319.167,7120.0015,19651.252399999994,1758.5042,1100.3892,2910.7961,359.9846,837.0681
11,840.7671,1139.5266,560.4379,1659.7921,1312.1063,7149.0063,19708.7752,1751.0144,1128.7021,2924.2969,362.7238,854.9195
12,848.6134,1139.5266,560.4379,1662.3269,1312.1063,7156.989,19708.7752,1751.0144,1128.7021,2924.2969,362.7238,854.9195
13,848.6134,1144.5061,561.2494,1662.3269,1302.7979,7164.1074,19790.8388,1768.5387,1147.8168,2956.8699,351.5244,850.5818
14,849.8862,1142.7631,567.5768,1686.7026,1323.6791,7164.1074,19825.555099999998,1777.3861,1145.1869,2977.9421,355.0,835.8725
15,850.7683,1159.1749,576.6438,1646.6632,1330.9938,7170.365,19945.2238,1766.1157,1122.2102,3033.7656,346.0442,837.6081
16,845.7221,1143.0995,576.6065,1666.5654,1325.2412,7202.717,19983.783700000004,1773.1274,1156.3143,3043.1174,369.9963,836.7698
17,842.8551,1159.0198,566.7783,1660.6902,1344.5388,7260.38,20030.5996,1763.8763,1139.9885,3077.0754,364.3185,831.3982
18,854.2646,1144.6382,573.6003,1648.6215,1340.0592,7255.966,20101.2406,1777.4122,1123.412,3087.5378,373.1015,842.8015
19,867.705,1150.1771,574.4474,1680.6709,1292.3544,7280.7197,20067.1379,1765.5663,1147.2739,3103.0012,352.0284,837.3082
20,853.5701,1157.2429,582.2748,1672.4019,1286.8116,7290.302,20128.7119,1774.0026,1123.7565,3124.727,368.0493,844.9888
21,868.0299,1142.8446,576.8046,1661.0815,1281.6562,7319.009,20134.4711,1774.4066,1126.602,3132.1418,377.6057,839.7528
22,865.1277,1158.4905,578.8917,1677.4856,1333.5748,7337.747,20206.588400000004,1789.8978,1146.4379,3122.5999,354.4953,844.0172
23,861.9315,1170.5256,569.7901,1658.9258,1338.309,7340.0435,20211.4626,1776.4386,1121.015,3128.5425,371.503,841.6707
24,869.6575,1159.8552,578.7747,1674.451,1333.4633,7357.326,20279.799100000004,1781.3605,1147.4979,3127.7002,369.6499,848.3366
25,871.1813,1159.9253,594.7695,1675.5415,1338.8153,7349.5596,20199.064799999996,1774.3486,1139.6516,3116.3088,375.6003,818.7527
26,872.326,1161.8406,583.2495,1667.8304,1335.7756,7386.438,20251.774400000002,1789.5566,1136.4427,3105.3604,379.0249,835.4722
27,862.5355,1157.6252,564.3007,1682.6849,1347.0247,7340.7363,20357.2,1787.2501,1187.531,3093.8577,356.7378,850.1376
28,868.91,1159.6489,567.4104,1697.1777,1340.3926,7379.8315,20337.4414,1790.4694,1181.5895,3090.6978,358.9146,848.4921
29,861.5209,1176.3396,566.7843,1696.7622,1349.6111,7446.6475,20352.961399999997,1797.3641,1149.1425,3085.819,374.6336,844.2411
30,861.6016,1176.8054,582.1864,1695.1545,1347.8785,7441.543,20384.9063,1802.8218,1155.2266,3087.7073,364.5476,841.0045
31,866.9646,1178.6858,572.2056,1703.6396,1355.5426,7452.27,20371.9604,1799.0405,1165.4852,3095.5664,373.6462,847.4054
32,876.0768,1188.3727,570.0637,1697.2299,1361.6682,7456.124,20454.3176,1804.2655,1159.4429,3119.9172,377.3805,848.8927
33,870.5563,1192.493,570.8475,1711.7969,1356.2322,7411.076,20437.9588,1815.3114,1139.5671,3115.9468,378.4315,854.3562
34,878.1777,1186.3643,583.7087,1719.3844,1351.7783,7441.961,20471.757700000002,1826.6439,1160.9536,3118.0652,363.6828,858.2924
35,883.4428,1187.8259,581.5809,1722.3843,1363.0203,7417.211,20588.331199999997,1857.2084,1170.8282,3127.9944,365.1695,868.9885
36,883.8747,1192.4067,569.4869,1731.7188,1371.2947,7416.4414,20579.602100000004,1857.8619,1166.5519,3163.1375,387.2578,864.3906
37,870.1672,1207.4578,576.5734,1714.0859,1364.3722,7450.1216,20656.300900000002,1834.6721,1155.3647,3183.5073,373.6154,869.8651
38,893.8297,1200.4729,579.821,1743.9612,1379.08,7422.961,20639.434699999998,1843.1986,1174.1469,3182.1182,363.2567,858.0621
39,880.4962,1206.5969,575.406,1730.8817,1382.8198,7453.082,20700.8785,1865.0033,1166.1064,3190.9946,373.6505,875.7526
40,891.1204,1204.215,573.8004,1755.389,1389.3783,7447.9004,20719.0535,1842.8245,1197.5924,3201.4275,387.1555,877.8498
41,885.9148,1209.2944,568.6325,1751.1843,1385.6421,7418.039,20710.1031,1831.189,1198.3501,3184.4128,375.7361,875.0987
42,891.8839,1192.1157,583.9624,1762.7725,1382.0225,7407.711,20754.332599999998,1854.5197,1201.7135,3204.1318,361.3955,893.9633
43,890.4562,1201.9292,575.6089,1789.5208,1392.6938,7427.091,20770.3098,1874.808,1208.3221,3215.2393,372.2648,889.4519
44,903.3156,1212.3364,581.0427,1769.2538,1384.0267,7400.5312,20770.2868,1864.9154,1209.2197,3211.4927,382.6686,886.1636
45,899.4664,1212.4226,582.4249,1762.415,1400.1807,7367.4224,20786.213699999997,1889.4596,1223.6399,3226.4692,376.4583,881.535
46,897.7208,1214.6033,580.1354,1755.6787,1387.0088,7376.5396,20793.3599,1882.8536,1218.7318,3195.9458,374.555,871.4316
47,911.5237,1206.4348,584.5479,1764.0609,1404.1449,7340.224,20805.3256,1882.5176,1215.8645,3209.9556,374.7452,866.4602
48,909.5983,1200.8333,577.9721,1777.6943,1399.1652,7392.51,20888.860999999997,1917.069,1258.1578,3230.317,363.5698,879.4236
49,906.1874,1206.2859,579.5496,1786.0988,1413.3704,7373.3623,20815.812399999995,1844.6697,1217.8572,3233.3047,394.9137,887.5067
50,903.6443,1206.2859,579.5496,1777.1946,1413.3704,7370.067,20815.812399999995,1844.6697,1217.8572,3233.3047,394.9137,887.5067
51,903.6443,1214.8652,580.9683,1777.1946,1415.4456,7357.5156,20851.7727,1838.6088,1250.8552,3213.0938,391.4179,877.6812
52,887.0089,1208.6731,586.049,1779.4188,1414.9475,7357.5156,20852.867399999996,1836.9774,1239.629,3230.7266,382.5209,878.4623
53,897.8875,1209.3777,581.6395,1791.3651,1429.728,7402.409,20867.659100000004,1832.8291,1242.3167,3233.7708,385.333,872.9863
54,916.4453,1215.5488,584.9164,1783.8352,1439.8167,7385.629,20926.483799999998,1863.2001,1267.9022,3263.4443,380.8254,867.3512
55,893.4335,1210.2292,581.6326,1783.9905,1445.3192,7379.3975,20968.492000000002,1862.602,1286.6025,3284.1558,371.8815,874.8729
