,electricity-load-nyiso-dunwod,electricity-load-nyiso-hud_valley,electricity-load-nyiso-west,electricity-load-nyiso-millwd,electricity-load-nyiso-centrl,electricity-load-nyiso-nyc,electricity-load-nyiso-north,electricity-load-nyiso-overall,electricity-load-nyiso-genese,electricity-load-nyiso-longil,electricity-load-nyiso-mhk_valley,electricity-load-nyiso-capitl
0,684.9653,1272.8862,1796.4004,403.1831,2298.3687,5648.233,811.0778,19390.072499999995,1294.5925,2369.041,1155.8553,1655.4692
1,684.9653,1272.8862,1796.4004,403.1831,2298.3687,5648.233,811.0778,19390.072499999995,1294.5925,2369.041,1155.8553,1655.4692
2,670.0305,1300.7603,1793.7107,406.2845,2326.5852,5695.0737,797.4493,19499.9865,1304.7693,2381.9453,1153.6277,1669.75
3,670.0305,1300.7603,1793.7107,406.2845,2326.5852,5695.0737,797.4493,19499.9865,1304.7693,2381.9453,1153.6277,1669.75
4,687.168,1305.6663,1789.2024,406.8219,2325.9663,5753.1587,821.4395,19646.2937,1315.9802,2398.6018,1163.304,1678.9846
5,689.1681,1309.98,1804.2717,406.5079,2280.2751,5769.674,802.8613,19651.186400000002,1312.6727,2418.23,1172.9573,1684.5883
6,703.7239,1329.9146,1787.9711,410.6875,2306.1267,5764.243,799.0115,19703.202,1325.3656,2416.8762,1171.3153,1687.9666
7,703.7239,1329.9146,1787.9711,410.6875,2306.1267,5764.243,799.0115,19703.202,1325.3656,2416.8762,1171.3153,1687.9666
8,714.3763,1321.1017,1813.714,412.3926,2341.4507,5809.889,811.8858,19864.9767,1326.4578,2445.6846,1168.7542,1699.27
9,707.4128,1341.1829,1842.9393,400.519,2342.0217,5876.1846,814.2017,20013.0302,1345.6437,2458.1104,1180.0632,1704.7509
10,701.2039,1333.7477,1812.1196,421.1697,2320.3936,5906.756,802.6188,20010.403700000003,1335.7467,2478.8835,1195.2294,1702.5348
