,electricity-load-nyiso-west,electricity-load-nyiso-centrl,electricity-load-nyiso-hud_valley,electricity-load-nyiso-mhk_valley,electricity-load-nyiso-north,electricity-load-nyiso-longil,electricity-load-nyiso-overall,electricity-load-nyiso-capitl,electricity-load-nyiso-dunwod,electricity-load-nyiso-millwd,electricity-load-nyiso-nyc,electricity-load-nyiso-genese
0,1542.0227,1561.3933,877.1016,729.4871,575.6675,1972.5203,15373.899899999999,1124.7466,568.1268,316.8596,5065.927,1040.0474
1,1549.6201,1591.9131,877.3321,716.2846,567.1646,1986.196,15417.4705,1139.7361,569.1889,321.5845,5055.8,1042.6505
2,1537.6338,1596.8136,900.9028,721.6867,555.8555,1975.6704,15431.091499999999,1134.625,561.6068,324.4016,5079.2207,1042.6746
3,1542.5447,1611.5802,906.6843,714.4757,570.9816,1973.089,15474.0765,1129.0956,566.9791,327.7438,5087.338,1043.5645
4,1547.6166,1591.6262,908.2747,702.941,594.5247,1971.4924,15483.954899999999,1112.2551,573.3867,322.0102,5111.7354,1048.0919
5,1552.6797,1594.0907,903.707,694.5422,578.1619,1977.4441,15489.9248,1119.4104,570.3859,343.8003,5104.6064,1051.0962
6,1533.731,1610.3542,875.7213,711.3251,571.8735,1967.7083,15488.670199999999,1121.9446,576.3738,331.5255,5138.5986,1049.5143
7,1548.9663,1599.9774,917.6899,716.4366,571.1159,1957.0071,15471.274300000001,1120.5505,561.5272,332.3025,5094.942,1050.7589
8,1555.1064,1590.5992,905.1141,708.9159,569.6909,1980.2874,15478.5902,1109.6067,564.6995,320.5933,5129.118,1044.8588
9,1547.307,1561.1951,897.1904,698.7647,576.2821,1972.9412,15473.394,1125.4377,568.3676,321.4348,5155.526,1048.9474
10,1544.1914,1548.3369,874.6722,708.8449,560.2106,1950.7588,15413.726400000001,1122.1987,569.378,325.4991,5157.6523,1051.9835
11,1540.1658,1570.1544,873.1623,696.1866,579.2001,1966.1621,15446.8263,1106.9008,566.2457,331.0617,5160.981,1056.6058
12,1536.397,1580.7588,868.1304,709.9724,573.301,1970.5073,15499.693600000002,1117.8702,576.6295,326.4001,5184.3877,1055.3392
13,1560.519,1590.0917,904.1128,692.2133,577.7894,1970.7441,15556.8051,1111.268,586.6515,312.0266,5193.1035,1058.2852
14,1541.1489,1539.7217,873.1584,702.1024,577.7567,1973.0272,15499.058299999999,1117.8115,584.3394,337.8416,5185.989,1066.1615
15,1559.125,1568.2489,854.4061,690.8132,580.6737,1988.0188,15525.714899999999,1113.3076,559.5811,333.3884,5211.3643,1066.7878
16,1556.2781,1603.7991,869.8492,684.7432,572.7987,1984.9697,15562.049799999997,1126.1547,579.1483,330.7739,5186.994,1066.5409
17,1565.2007,1589.3914,857.4949,685.7861,579.2978,2018.8701,15598.2639,1125.2585,572.8972,334.5871,5204.0615,1065.4186
18,1546.3987,1561.3373,862.0286,701.4001,573.8019,2021.3635,15597.7896,1129.2385,576.0646,327.4545,5233.2163,1065.4856
19,1550.6072,1568.5746,869.7653,694.6097,579.3586,2028.4048,15579.547099999998,1113.5549,581.8491,321.9444,5206.342,1064.5365
20,1549.9541,1541.79,854.8816,688.9063,569.7101,2034.071,15555.7631,1127.3044,555.4702,341.0442,5229.894,1062.7372
21,1556.8811,1539.7833,876.3575,698.4214,575.588,2029.6643,15601.1607,1129.3684,587.8525,330.8412,5212.3027,1064.1003
22,1554.1307,1562.6458,860.5873,693.9242,563.4435,2055.0347,15612.906200000001,1137.1606,581.178,340.613,5203.5654,1060.623
23,1554.0496,1520.9725,863.1185,713.3651,567.6417,2073.1125,15591.0306,1124.7993,564.9437,331.282,5218.471,1059.2747
24,1572.4095,1554.7085,881.3391,693.0649,574.1815,2063.3516,15677.400000000001,1135.9484,566.9987,337.8149,5232.193,1065.3899
25,1559.0273,1514.9081,873.408,701.8352,570.0328,2074.3628,15590.3163,1125.3789,564.9605,330.6546,5213.0947,1062.6534
26,1552.9762,1519.9364,859.8956,690.8189,568.9764,2085.985,15611.925500000001,1127.521,563.7432,339.6925,5237.986,1064.3943
27,1564.2246,1530.7358,868.598,688.872,560.7593,2094.1516,15643.4805,1129.9385,566.7769,325.0555,5256.365,1058.0033
28,1573.0972,1572.765,892.8204,694.424,564.8696,2070.775,15680.814,1110.4548,571.803,321.3807,5255.3887,1053.0356
29,1581.3203,1561.2354,854.8617,695.2238,567.1811,2083.5312,15656.9767,1108.9734,578.5446,325.1934,5248.598,1052.3138
30,1555.8518,1552.6691,865.7121,694.7884,574.7882,2085.941,15637.366000000002,1106.8988,574.4617,317.5098,5257.296,1051.4491
31,1557.9382,1496.4501,871.6619,705.0598,578.0524,2088.9932,15634.178800000002,1116.9736,571.1968,328.7003,5271.6133,1047.5392
32,1569.1266,1533.726,903.0145,709.1753,554.6941,2075.4583,15646.6574,1101.424,547.5275,344.9032,5263.727,1043.8809
33,1546.9652,1515.0211,889.3651,688.4128,566.7749,2102.535,15603.9292,1090.8804,578.8854,320.0113,5259.5376,1045.5404
34,1555.9653,1516.9486,869.8298,695.6464,570.7855,2095.1257,15611.5949,1102.5348,568.0044,331.382,5261.205,1044.1674
35,1542.0303,1555.0559,887.3632,675.7448,577.4869,2088.6973,15597.7306,1094.7373,573.7518,325.731,5234.8804,1042.2517
36,1572.7611,1522.2894,885.0543,683.7437,573.0986,2079.5044,15576.9352,1081.1993,577.5352,332.9741,5233.26,1035.5151
37,1541.3687,1543.4998,900.6491,699.7767,557.3711,2075.1924,15589.8426,1103.199,573.9191,321.751,5233.414,1039.7017
38,1543.7869,1546.6421,894.2629,688.8525,569.2422,2095.0493,15630.371599999999,1104.2382,586.0377,335.938,5223.229,1043.0928
