,electricity-load-nyiso-centrl,electricity-load-nyiso-north,electricity-load-nyiso-nyc,electricity-load-nyiso-west,electricity-load-nyiso-dunwod,electricity-load-nyiso-genese,electricity-load-nyiso-hud_valley,electricity-load-nyiso-longil,electricity-load-nyiso-mhk_valley,electricity-load-nyiso-overall,electricity-load-nyiso-millwd,electricity-load-nyiso-capitl
0,2391.4458,639.0181,9077.322,2394.0208,1132.5908,1728.5317,1669.8711,3847.878,1192.8727,26637.1843,519.7051,2043.9282
1,2393.4172,657.3716,9083.811,2410.9587,1145.1993,1729.6742,1696.5785,3881.399,1191.0496,26765.264799999997,530.9182,2044.8875
2,2399.9102,657.3663,9116.453,2434.3435,1150.5652,1746.7668,1710.6765,3932.0098,1181.8767,26923.928,541.3099,2052.6501
3,2410.663,650.3442,9136.532,2435.3323,1143.8175,1753.8792,1748.9471,3962.7239,1187.6501,27056.294800000003,545.4935,2080.912
4,2433.5667,639.8787,9164.871,2426.6555,1156.5043,1757.2122,1763.5634,3983.6882,1187.458,27132.260500000004,541.8215,2077.041
5,2435.088,650.9632,9186.035,2437.9631,1161.1415,1779.9905,1763.7634,4004.7349,1193.6089,27225.533199999998,544.2354,2068.0093
6,2450.7786,648.052,9226.326,2443.3408,1152.4954,1792.631,1764.615,4032.0173,1199.912,27335.544,554.0136,2071.3623
7,2441.8828,655.6879,9243.387,2467.2969,1148.3635,1797.9197,1755.5994,4058.5981,1205.9404,27432.465099999998,560.2254,2097.564
8,2481.749,654.5858,9281.804,2479.3293,1158.3279,1800.5913,1806.5367,4091.829,1213.2661,27624.683200000003,557.3267,2099.3374
9,2474.0923,660.1036,9260.133,2501.758,1167.2527,1814.7766,1785.3303,4110.5435,1210.7903,27657.4217,562.4144,2110.227
10,2472.717,653.1387,9274.301,2499.7368,1180.3136,1815.9207,1808.1072,4134.5938,1211.8585,27735.453699999995,573.8499,2110.9165
11,2483.9307,651.1141,9291.207,2484.159,1177.4641,1824.1401,1827.4907,4163.6953,1223.7255,27804.0719,564.4315,2112.7139
12,2480.0107,662.0374,9338.426,2508.5696,1198.233,1840.1975,1798.762,4198.3643,1225.2565,27935.374099999997,571.0437,2114.4734
13,2500.0483,653.0901,9354.874,2519.0442,1186.8945,1839.491,1827.6484,4215.49,1227.5122,28033.8602,588.0085,2121.759
14,2499.8828,649.4302,9387.755,2500.7622,1209.5582,1844.187,1870.9559,4275.7827,1227.788,28167.475899999998,583.3588,2118.0151
15,2521.6602,645.8527,9412.674,2526.8347,1207.2157,1876.0945,1845.1003,4278.0117,1248.2552,28271.8522,587.3798,2122.7734
16,2532.2876,656.6144,9435.737,2531.2227,1206.8418,1866.7305,1877.0863,4302.8984,1240.518,28369.203999999998,585.011,2134.2563
17,2542.7576,651.4001,9437.678,2535.5352,1225.9073,1877.6194,1869.1544,4328.0586,1243.7024,28459.900499999996,602.1764,2145.9111
18,2537.4072,657.0094,9478.729,2545.3816,1214.6914,1890.4275,1878.9679,4343.503,1256.2883,28562.964599999996,597.4011,2163.1582
19,2555.5886,650.2018,9529.385,2547.9827,1236.5374,1889.9061,1896.246,4364.322,1250.356,28662.6004,601.7874,2140.2874
20,2576.6606,657.582,9512.985,2548.421,1236.6451,1885.8431,1905.2539,4392.226,1254.4858,28737.563599999998,607.7931,2159.668
21,2588.5073,658.9358,9568.021,2564.6792,1253.0841,1894.2731,1912.1332,4400.632,1241.8752,28839.2002,606.1516,2150.9077
22,2596.2964,661.2238,9554.215,2561.0842,1248.9501,1883.9697,1901.3121,4428.3193,1252.3876,28852.8754,609.4126,2155.7046
23,2574.1062,662.0687,9628.337,2560.5957,1259.2487,1885.1399,1938.32,4453.9844,1256.3711,28986.197200000002,605.4366,2162.5889
24,2584.0051,661.8,9631.98,2535.3477,1264.9574,1912.3638,1944.4512,4471.403,1258.4424,29058.275099999995,601.9845,2191.54
25,2595.9326,665.1746,9649.203,2552.2837,1260.5032,1894.8066,1955.3401,4486.5146,1258.554,29115.405199999997,609.095,2187.9978
26,2584.4038,660.7654,9686.505,2578.507,1265.337,1921.6926,1963.3141,4522.188,1273.374,29257.2039,612.907,2188.21
27,2625.9927,665.9576,9680.822,2584.952,1267.8064,1915.4078,1952.0615,4527.216,1280.2673,29319.340900000003,616.2126,2202.645
28,2620.3354,661.6729,9729.943,2588.7424,1267.7777,1913.0591,1986.7385,4561.576,1281.1655,29414.547899999998,613.8396,2189.6978
29,2625.4248,668.5234,9761.548,2587.763,1274.956,1914.1453,1988.9481,4589.493,1274.9033,29513.2754,625.8542,2201.7163
30,2641.5903,660.6011,9753.416,2605.761,1274.4385,1924.2347,2033.9067,4595.3765,1275.7142,29592.686799999996,620.0291,2207.6187
31,2649.4832,668.9279,9800.232,2621.8777,1278.5457,1939.6842,2022.0603,4590.6367,1295.7966,29681.6121,622.3738,2191.994
32,2645.7065,670.2952,9833.834,2617.8616,1282.7155,1939.4219,2004.6027,4622.3574,1287.6572,29740.4538,624.2726,2211.7292
