,emojitracker-twitter-pouting_cat_face,emojitracker-twitter-cat_face,emojitracker-twitter-smiling_cat_face_with_heart-shaped_eyes,emojitracker-twitter-cat_face_with_tears_of_joy,emojitracker-twitter-grinning_cat_face_with_smiling_eyes,emojitracker-twitter-smiling_cat_face_with_open_mouth,emojitracker-twitter-cat_face_with_wry_smile,emojitracker-twitter-crying_cat_face,emojitracker-twitter-kissing_cat_face_with_closed_eyes
0,6.0,10.0,12.0,11.0,3.0,1.0,7.0,8.0,11.0
1,4.0,10.0,14.0,10.0,1.0,5.0,16.0,7.0,9.0
2,8.0,3.0,12.0,19.0,3.0,1.0,11.0,9.0,5.0
3,6.0,3.0,9.0,17.0,8.0,2.0,19.0,6.0,3.0
4,10.0,6.0,12.0,12.0,6.0,5.0,7.0,8.0,4.0
5,5.0,5.0,18.0,14.0,4.0,4.0,7.0,12.0,6.0
6,7.0,3.0,10.0,14.0,4.0,8.0,14.0,10.0,6.0
7,4.0,3.0,23.0,23.0,6.0,3.0,9.0,4.0,6.0
8,9.0,6.0,15.0,20.0,5.0,4.0,9.0,4.0,5.0
9,4.0,9.0,9.0,12.0,7.0,2.0,17.0,6.0,9.0
10,5.0,6.0,12.0,18.0,3.0,3.0,13.0,5.0,3.0
11,5.0,5.0,20.0,13.0,6.0,5.0,12.0,6.0,6.0
12,6.0,6.0,18.0,10.0,5.0,3.0,14.0,9.0,8.0
13,4.0,6.0,10.0,10.0,6.0,4.0,12.0,5.0,8.0
14,10.0,7.0,17.0,15.0,2.0,5.0,12.0,10.0,8.0
15,0.0,4.0,11.0,11.0,9.0,4.0,12.0,6.0,5.0
16,5.0,9.0,22.0,13.0,10.0,2.0,13.0,11.0,5.0
17,4.0,8.0,4.0,13.0,4.0,2.0,13.0,8.0,8.0
18,7.0,6.0,8.0,15.0,4.0,3.0,15.0,9.0,5.0
19,11.0,5.0,21.0,5.0,6.0,3.0,14.0,11.0,13.0
20,5.0,15.0,14.0,12.0,4.0,5.0,15.0,8.0,5.0
21,4.0,7.0,10.0,16.0,3.0,5.0,13.0,10.0,13.0
22,5.0,6.0,10.0,11.0,4.0,4.0,16.0,5.0,11.0
23,4.0,8.0,10.0,16.0,5.0,4.0,11.0,7.0,6.0
24,8.0,9.0,18.0,13.0,0.0,3.0,6.0,8.0,6.0
25,6.0,4.0,24.0,13.0,2.0,4.0,9.0,7.0,6.0
26,5.0,5.0,14.0,16.0,8.0,2.0,10.0,11.0,11.0
27,5.0,6.0,19.0,16.0,5.0,1.0,11.0,9.0,6.0
28,5.0,4.0,12.0,20.0,6.0,3.0,18.0,5.0,13.0
29,10.0,2.0,16.0,7.0,5.0,1.0,12.0,13.0,7.0
30,5.0,4.0,8.0,24.0,2.0,3.0,12.0,9.0,3.0
31,8.0,4.0,10.0,12.0,5.0,4.0,14.0,9.0,4.0
32,7.0,5.0,13.0,12.0,2.0,5.0,8.0,6.0,4.0
33,8.0,8.0,14.0,14.0,4.0,6.0,17.0,7.0,5.0
34,4.0,4.0,15.0,20.0,2.0,3.0,11.0,9.0,7.0
35,4.0,6.0,16.0,16.0,6.0,2.0,11.0,4.0,8.0
36,4.0,8.0,15.0,14.0,5.0,5.0,19.0,7.0,9.0
37,4.0,8.0,9.0,17.0,5.0,3.0,18.0,8.0,6.0
38,7.0,5.0,17.0,17.0,7.0,4.0,12.0,5.0,9.0
39,8.0,5.0,19.0,15.0,2.0,5.0,9.0,6.0,10.0
40,7.0,6.0,16.0,15.0,6.0,3.0,13.0,5.0,11.0
41,9.0,3.0,14.0,14.0,3.0,2.0,12.0,10.0,6.0
42,7.0,3.0,18.0,18.0,3.0,2.0,8.0,8.0,6.0
43,3.0,4.0,18.0,9.0,4.0,1.0,11.0,10.0,6.0
44,12.0,5.0,20.0,21.0,6.0,4.0,14.0,14.0,9.0
45,12.0,5.0,13.0,17.0,2.0,4.0,6.0,8.0,7.0
46,12.0,5.0,21.0,17.0,6.0,3.0,9.0,11.0,8.0
47,12.0,3.0,20.0,11.0,2.0,3.0,18.0,14.0,16.0
48,4.0,6.0,27.0,15.0,9.0,3.0,11.0,11.0,8.0
49,9.0,6.0,19.0,7.0,6.0,4.0,13.0,8.0,5.0
50,4.0,6.0,11.0,15.0,4.0,3.0,11.0,13.0,9.0
51,6.0,2.0,15.0,10.0,6.0,1.0,19.0,11.0,20.0
52,5.0,4.0,16.0,12.0,4.0,5.0,8.0,9.0,6.0
53,2.0,3.0,13.0,19.0,8.0,1.0,15.0,7.0,4.0
54,6.0,6.0,18.0,16.0,2.0,2.0,7.0,14.0,8.0
55,5.0,5.0,21.0,6.0,4.0,4.0,13.0,10.0,6.0
56,6.0,5.0,24.0,19.0,6.0,2.0,13.0,13.0,4.0
57,5.0,2.0,17.0,11.0,6.0,1.0,14.0,7.0,9.0
58,3.0,8.0,10.0,17.0,8.0,3.0,17.0,12.0,2.0
59,5.0,5.0,11.0,23.0,2.0,4.0,7.0,8.0,6.0
60,6.0,7.0,24.0,17.0,2.0,5.0,14.0,7.0,6.0
61,11.0,3.0,18.0,17.0,6.0,8.0,11.0,11.0,10.0
62,3.0,4.0,19.0,16.0,2.0,2.0,11.0,10.0,5.0
63,7.0,7.0,18.0,21.0,8.0,6.0,10.0,11.0,7.0
64,6.0,8.0,13.0,16.0,5.0,5.0,13.0,6.0,7.0
65,3.0,7.0,14.0,20.0,4.0,6.0,18.0,13.0,9.0
66,6.0,5.0,14.0,9.0,4.0,2.0,19.0,9.0,5.0
67,7.0,7.0,15.0,17.0,5.0,3.0,15.0,12.0,8.0
68,7.0,4.0,8.0,14.0,4.0,1.0,13.0,7.0,11.0
69,11.0,7.0,12.0,17.0,4.0,2.0,15.0,17.0,7.0
70,13.0,5.0,21.0,16.0,4.0,0.0,19.0,14.0,7.0
71,8.0,3.0,17.0,16.0,4.0,6.0,17.0,9.0,6.0
72,7.0,5.0,18.0,18.0,2.0,4.0,12.0,9.0,7.0
73,8.0,7.0,15.0,16.0,3.0,6.0,15.0,7.0,7.0
74,7.0,4.0,10.0,14.0,5.0,2.0,17.0,6.0,3.0
75,9.0,3.0,10.0,19.0,3.0,4.0,13.0,16.0,9.0
76,9.0,6.0,17.0,16.0,7.0,3.0,8.0,15.0,0.0
77,8.0,6.0,22.0,15.0,4.0,2.0,17.0,9.0,7.0
