,emojitracker-twitter-disappointed_but_relieved_face,emojitracker-twitter-disappointed_face
0,13.0,55.0
1,19.0,47.0
2,18.0,56.0
3,22.0,55.0
4,26.0,58.0
5,22.0,61.0
6,16.0,52.0
7,25.0,42.0
8,16.0,56.0
9,18.0,44.0
10,15.0,54.0
11,20.0,59.0
12,17.0,52.0
13,22.0,40.0
14,25.0,49.0
15,19.0,47.0
16,22.0,49.0
17,16.0,56.0
18,19.0,48.0
19,21.0,51.0
20,22.0,50.0
21,20.0,67.0
22,21.0,45.0
23,16.0,48.0
24,19.0,58.0
25,17.0,47.0
26,22.0,63.0
27,23.0,52.0
28,22.0,56.0
29,35.0,67.0
30,25.0,46.0
31,23.0,60.0
32,15.0,41.0
33,21.0,62.0
34,14.0,53.0
35,23.0,51.0
36,22.0,53.0
37,16.0,39.0
38,16.0,62.0
39,17.0,48.0
40,20.0,51.0
41,21.0,60.0
42,16.0,61.0
43,17.0,50.0
44,16.0,54.0
45,15.0,53.0
46,23.0,39.0
47,21.0,56.0
48,22.0,42.0
49,13.0,41.0
50,19.0,44.0
51,17.0,49.0
52,25.0,63.0
53,17.0,47.0
54,25.0,53.0
55,24.0,58.0
56,16.0,43.0
57,13.0,48.0
58,19.0,48.0
59,24.0,53.0
60,23.0,42.0
61,17.0,55.0
62,22.0,43.0
63,20.0,44.0
64,19.0,56.0
65,22.0,51.0
66,20.0,50.0
67,28.0,54.0
68,24.0,56.0
69,20.0,47.0
70,23.0,57.0
71,23.0,54.0
72,16.0,40.0
73,17.0,46.0
74,20.0,47.0
75,22.0,58.0
76,22.0,54.0
77,13.0,48.0
78,24.0,49.0
79,26.0,56.0
80,19.0,57.0
81,19.0,65.0
82,25.0,38.0
83,22.0,54.0
84,25.0,39.0
85,26.0,46.0
86,19.0,45.0
87,20.0,59.0
88,23.0,46.0
89,20.0,52.0
90,24.0,63.0
91,21.0,47.0
92,23.0,47.0
93,20.0,44.0
94,12.0,57.0
95,26.0,49.0
96,17.0,61.0
97,17.0,44.0
98,14.0,45.0
99,13.0,61.0
100,17.0,53.0
101,16.0,47.0
102,19.0,48.0
103,21.0,48.0
104,20.0,52.0
105,22.0,53.0
106,18.0,52.0
107,18.0,45.0
108,17.0,57.0
109,21.0,52.0
110,14.0,41.0
111,17.0,50.0
112,22.0,48.0
113,21.0,55.0
114,16.0,52.0
115,23.0,47.0
116,18.0,49.0
117,17.0,55.0
118,21.0,54.0
119,24.0,46.0
120,18.0,53.0
121,27.0,48.0
122,21.0,64.0
123,17.0,53.0
124,30.0,56.0
125,19.0,55.0
126,16.0,48.0
127,18.0,46.0
128,14.0,58.0
129,18.0,55.0
130,16.0,70.0
131,20.0,55.0
132,15.0,56.0
133,15.0,48.0
134,18.0,41.0
135,15.0,49.0
136,10.0,47.0
137,20.0,51.0
138,22.0,47.0
139,18.0,62.0
140,16.0,48.0
141,19.0,51.0
142,16.0,50.0
143,23.0,62.0
144,10.0,41.0
145,21.0,36.0
146,18.0,55.0
147,17.0,47.0
148,13.0,49.0
149,27.0,54.0
150,10.0,54.0
151,20.0,49.0
152,17.0,63.0
153,29.0,61.0
154,18.0,41.0
155,21.0,51.0
156,17.0,46.0
157,18.0,41.0
158,25.0,53.0
159,15.0,39.0
160,15.0,51.0
161,15.0,42.0
162,12.0,50.0
163,23.0,56.0
164,16.0,55.0
165,17.0,51.0
166,19.0,48.0
167,28.0,45.0
168,17.0,47.0
169,11.0,62.0
170,19.0,51.0
171,18.0,50.0
172,14.0,62.0
173,19.0,48.0
174,16.0,51.0
175,18.0,44.0
176,21.0,50.0
177,21.0,45.0
178,15.0,52.0
179,18.0,53.0
180,24.0,44.0
181,29.0,58.0
182,14.0,54.0
183,22.0,49.0
184,20.0,48.0
185,21.0,56.0
186,22.0,45.0
187,21.0,46.0
188,18.0,47.0
189,20.0,48.0
190,29.0,50.0
191,24.0,51.0
192,15.0,53.0
193,17.0,57.0
194,18.0,45.0
195,15.0,51.0
196,21.0,51.0
197,14.0,50.0
198,13.0,33.0
199,18.0,48.0
200,22.0,41.0
201,14.0,47.0
202,23.0,47.0
203,19.0,71.0
204,21.0,46.0
205,17.0,47.0
206,11.0,44.0
207,18.0,50.0
208,21.0,58.0
209,16.0,54.0
210,13.0,47.0
211,15.0,43.0
212,18.0,41.0
213,25.0,46.0
214,24.0,54.0
215,21.0,47.0
216,16.0,60.0
217,25.0,43.0
218,25.0,56.0
219,22.0,45.0
220,21.0,38.0
221,18.0,38.0
222,17.0,44.0
223,16.0,49.0
224,19.0,58.0
225,16.0,49.0
226,22.0,43.0
227,25.0,49.0
228,17.0,49.0
229,23.0,48.0
230,19.0,61.0
231,22.0,60.0
