,emojitracker-twitter-disappointed_face,emojitracker-twitter-disappointed_but_relieved_face
0,40.0,18.0
1,26.0,17.0
2,29.0,23.0
3,27.0,26.0
4,34.0,10.0
5,24.0,9.0
6,25.0,18.0
7,19.0,17.0
8,13.0,11.0
9,28.0,17.0
10,18.0,15.0
11,20.0,14.0
12,24.0,12.0
13,19.0,10.0
14,25.0,14.0
15,25.0,5.0
16,23.0,7.0
17,22.0,16.0
18,24.0,11.0
19,35.0,10.0
20,30.0,14.0
21,22.0,9.0
22,24.0,16.0
23,27.0,12.0
24,27.0,9.0
25,21.0,12.0
26,30.0,8.0
27,25.0,24.0
28,29.0,10.0
29,14.0,15.0
30,23.0,12.0
31,26.0,9.0
32,20.0,17.0
33,24.0,18.0
34,18.0,16.0
35,32.0,11.0
36,27.0,14.0
37,21.0,10.0
38,26.0,19.0
39,27.0,22.0
40,24.0,14.0
41,32.0,22.0
42,27.0,17.0
43,21.0,17.0
44,27.0,10.0
45,29.0,17.0
46,21.0,18.0
47,31.0,12.0
48,27.0,19.0
49,25.0,16.0
50,33.0,8.0
51,27.0,13.0
52,26.0,6.0
53,22.0,16.0
54,29.0,35.0
55,28.0,18.0
56,27.0,16.0
57,24.0,19.0
58,23.0,16.0
59,36.0,14.0
60,26.0,18.0
61,30.0,13.0
62,26.0,13.0
63,30.0,16.0
64,22.0,10.0
65,24.0,15.0
66,26.0,16.0
67,22.0,14.0
68,29.0,20.0
69,32.0,14.0
70,36.0,13.0
71,29.0,16.0
72,39.0,21.0
73,32.0,18.0
74,27.0,13.0
75,25.0,15.0
76,25.0,6.0
77,33.0,17.0
78,31.0,20.0
79,26.0,13.0
80,17.0,6.0
81,34.0,27.0
82,30.0,12.0
83,29.0,15.0
84,25.0,27.0
85,35.0,15.0
86,31.0,19.0
87,17.0,16.0
88,31.0,15.0
89,31.0,22.0
90,36.0,11.0
91,20.0,16.0
92,18.0,11.0
93,24.0,18.0
94,36.0,18.0
95,27.0,17.0
96,20.0,15.0
97,24.0,28.0
98,40.0,18.0
99,29.0,22.0
100,24.0,11.0
101,22.0,16.0
102,34.0,15.0
103,23.0,13.0
104,38.0,19.0
105,30.0,11.0
106,36.0,15.0
107,23.0,12.0
108,31.0,14.0
109,30.0,19.0
110,38.0,13.0
111,35.0,12.0
112,26.0,28.0
113,28.0,15.0
114,20.0,10.0
115,33.0,16.0
116,29.0,8.0
117,27.0,18.0
118,28.0,24.0
119,28.0,20.0
120,29.0,23.0
121,29.0,17.0
122,40.0,18.0
123,33.0,16.0
124,28.0,22.0
125,17.0,25.0
126,30.0,23.0
127,19.0,14.0
128,34.0,9.0
129,26.0,24.0
130,40.0,15.0
131,33.0,12.0
132,32.0,15.0
133,32.0,11.0
134,40.0,23.0
135,35.0,10.0
136,26.0,19.0
137,43.0,14.0
138,46.0,24.0
139,38.0,16.0
140,28.0,14.0
141,20.0,21.0
142,29.0,15.0
143,34.0,14.0
144,27.0,25.0
145,32.0,19.0
146,33.0,15.0
147,32.0,16.0
148,37.0,19.0
149,34.0,16.0
150,26.0,18.0
151,42.0,15.0
152,37.0,28.0
153,31.0,12.0
154,33.0,27.0
155,37.0,12.0
156,20.0,16.0
157,36.0,20.0
158,30.0,20.0
159,25.0,22.0
160,31.0,17.0
161,30.0,16.0
162,40.0,18.0
163,38.0,16.0
164,44.0,12.0
165,27.0,18.0
166,32.0,15.0
167,35.0,16.0
168,29.0,21.0
169,30.0,19.0
170,24.0,22.0
171,47.0,13.0
172,34.0,16.0
173,31.0,12.0
174,35.0,20.0
175,39.0,12.0
176,44.0,16.0
177,41.0,19.0
178,39.0,19.0
179,24.0,18.0
180,43.0,16.0
181,21.0,15.0
182,37.0,21.0
183,42.0,19.0
184,31.0,17.0
185,39.0,19.0
186,32.0,22.0
187,34.0,21.0
188,35.0,20.0
189,40.0,24.0
190,33.0,22.0
191,30.0,14.0
192,47.0,20.0
193,35.0,20.0
194,35.0,17.0
195,36.0,24.0
196,31.0,25.0
197,42.0,17.0
198,34.0,23.0
199,31.0,31.0
200,36.0,24.0
201,39.0,30.0
202,37.0,27.0
203,50.0,26.0
204,38.0,22.0
205,29.0,16.0
206,40.0,25.0
207,42.0,21.0
208,40.0,13.0
209,38.0,16.0
210,45.0,24.0
211,36.0,20.0
212,42.0,31.0
213,32.0,29.0
214,34.0,20.0
215,27.0,35.0
216,39.0,29.0
217,46.0,21.0
218,32.0,21.0
219,32.0,22.0
220,31.0,26.0
221,31.0,26.0
222,34.0,20.0
223,46.0,19.0
224,39.0,24.0
225,47.0,21.0
226,34.0,23.0
227,50.0,19.0
228,36.0,20.0
229,46.0,29.0
230,36.0,24.0
231,49.0,25.0
232,46.0,32.0
233,41.0,19.0
234,44.0,25.0
235,39.0,27.0
236,52.0,33.0
237,44.0,20.0
238,39.0,28.0
239,46.0,30.0
240,37.0,24.0
241,48.0,17.0
242,47.0,23.0
243,39.0,25.0
244,49.0,23.0
245,33.0,22.0
246,40.0,24.0
247,34.0,22.0
248,47.0,18.0
249,35.0,19.0
250,41.0,25.0
251,43.0,17.0
252,45.0,22.0
253,41.0,20.0
254,36.0,18.0
255,41.0,24.0
256,34.0,18.0
257,51.0,33.0
258,42.0,30.0
259,42.0,29.0
260,47.0,22.0
261,41.0,27.0
262,55.0,25.0
263,39.0,23.0
264,45.0,26.0
265,40.0,28.0
266,45.0,22.0
267,33.0,23.0
268,44.0,20.0
269,51.0,31.0
270,39.0,16.0
271,42.0,25.0
272,43.0,20.0
273,39.0,27.0
274,55.0,23.0
275,63.0,16.0
276,48.0,24.0
277,45.0,17.0
278,53.0,17.0
279,39.0,32.0
280,42.0,34.0
281,41.0,30.0
282,45.0,29.0
283,46.0,31.0
284,47.0,29.0
285,45.0,23.0
286,35.0,26.0
287,37.0,24.0
288,38.0,26.0
289,36.0,24.0
290,52.0,23.0
291,42.0,29.0
292,36.0,24.0
293,41.0,25.0
294,38.0,23.0
295,43.0,22.0
296,54.0,21.0
297,48.0,15.0
298,44.0,19.0
299,39.0,28.0
300,42.0,33.0
301,39.0,24.0
302,37.0,21.0
303,38.0,33.0
304,53.0,31.0
305,48.0,23.0
306,46.0,28.0
307,46.0,24.0
308,58.0,30.0
309,50.0,27.0
310,39.0,22.0
311,38.0,25.0
312,51.0,23.0
313,55.0,24.0
314,52.0,27.0
315,41.0,27.0
316,41.0,22.0
317,46.0,29.0
318,43.0,39.0
319,50.0,31.0
320,51.0,32.0
321,43.0,27.0
322,36.0,28.0
323,49.0,27.0
324,44.0,29.0
325,54.0,32.0
326,53.0,35.0
327,44.0,28.0
328,46.0,29.0
329,56.0,25.0
330,50.0,29.0
331,49.0,33.0
332,67.0,22.0
333,46.0,29.0
334,45.0,18.0
335,52.0,28.0
336,52.0,19.0
337,51.0,30.0
338,46.0,25.0
339,37.0,19.0
340,47.0,32.0
341,47.0,28.0
342,47.0,31.0
343,66.0,34.0
344,35.0,23.0
345,40.0,37.0
346,63.0,17.0
347,38.0,32.0
348,46.0,35.0
349,51.0,28.0
350,47.0,22.0
351,51.0,24.0
352,53.0,28.0
353,55.0,24.0
354,45.0,27.0
355,38.0,31.0
356,48.0,24.0
357,41.0,19.0
358,32.0,25.0
359,61.0,22.0
360,67.0,32.0
361,53.0,23.0
362,58.0,29.0
363,52.0,25.0
364,54.0,26.0
365,58.0,28.0
366,34.0,26.0
367,45.0,23.0
368,82.0,31.0
369,63.0,26.0
370,61.0,31.0
371,67.0,28.0
372,54.0,31.0
373,41.0,23.0
374,53.0,26.0
375,52.0,33.0
376,54.0,26.0
377,49.0,21.0
378,42.0,22.0
379,52.0,30.0
380,50.0,18.0
381,42.0,31.0
382,52.0,21.0
383,41.0,17.0
384,60.0,30.0
385,48.0,30.0
386,50.0,32.0
387,49.0,24.0
388,46.0,30.0
389,60.0,34.0
390,60.0,27.0
391,47.0,19.0
392,52.0,20.0
393,50.0,26.0
394,48.0,26.0
395,52.0,28.0
396,45.0,23.0
397,42.0,27.0
398,62.0,24.0
399,48.0,21.0
400,53.0,22.0
401,43.0,25.0
402,64.0,29.0
403,62.0,29.0
404,66.0,19.0
405,63.0,26.0
406,54.0,24.0
407,57.0,33.0
408,64.0,37.0
409,63.0,28.0
410,53.0,33.0
411,68.0,32.0
412,61.0,31.0
413,47.0,23.0
414,57.0,24.0
415,62.0,30.0
416,58.0,41.0
417,66.0,27.0
418,53.0,28.0
419,63.0,34.0
420,52.0,33.0
421,50.0,32.0
422,52.0,32.0
423,52.0,35.0
424,58.0,24.0
425,61.0,40.0
426,52.0,32.0
427,64.0,26.0
428,62.0,19.0
429,41.0,26.0
430,62.0,29.0
431,60.0,39.0
432,56.0,23.0
433,56.0,31.0
434,65.0,30.0
435,61.0,26.0
436,49.0,23.0
437,55.0,27.0
438,53.0,24.0
439,66.0,28.0
440,57.0,31.0
441,67.0,31.0
442,67.0,37.0
443,60.0,37.0
444,61.0,28.0
445,53.0,28.0
446,60.0,33.0
447,51.0,29.0
448,42.0,32.0
449,60.0,21.0
450,68.0,35.0
451,59.0,29.0
452,37.0,31.0
453,56.0,26.0
454,38.0,40.0
455,54.0,24.0
456,79.0,18.0
457,50.0,31.0
458,48.0,24.0
459,58.0,26.0
460,52.0,19.0
461,47.0,21.0
462,56.0,21.0
463,56.0,36.0
464,49.0,15.0
465,65.0,32.0
466,52.0,23.0
467,50.0,26.0
468,37.0,23.0
469,61.0,34.0
470,57.0,23.0
471,49.0,36.0
472,56.0,24.0
473,41.0,21.0
