,emojitracker-twitter-kissing_cat_face_with_closed_eyes,emojitracker-twitter-cat_face_with_tears_of_joy,emojitracker-twitter-smiling_cat_face_with_open_mouth,emojitracker-twitter-cat_face_with_wry_smile,emojitracker-twitter-grinning_cat_face_with_smiling_eyes,emojitracker-twitter-pouting_cat_face,emojitracker-twitter-crying_cat_face,emojitracker-twitter-cat_face,emojitracker-twitter-smiling_cat_face_with_heart-shaped_eyes
0,5.0,17.0,2.0,5.0,4.0,6.0,14.0,9.0,11.0
1,7.0,11.0,3.0,5.0,2.0,3.0,13.0,6.0,13.0
2,8.0,11.0,2.0,7.0,3.0,9.0,7.0,6.0,16.0
3,6.0,13.0,4.0,5.0,8.0,4.0,7.0,12.0,8.0
4,10.0,13.0,1.0,5.0,6.0,4.0,16.0,5.0,19.0
5,4.0,15.0,2.0,7.0,5.0,5.0,8.0,9.0,18.0
6,4.0,8.0,2.0,9.0,1.0,3.0,11.0,13.0,13.0
7,5.0,10.0,4.0,16.0,5.0,7.0,9.0,11.0,21.0
8,3.0,10.0,7.0,11.0,4.0,5.0,4.0,4.0,11.0
9,9.0,23.0,5.0,9.0,6.0,7.0,5.0,12.0,30.0
10,6.0,12.0,2.0,6.0,5.0,2.0,9.0,10.0,13.0
11,2.0,17.0,1.0,9.0,3.0,5.0,10.0,9.0,12.0
12,4.0,15.0,3.0,9.0,5.0,14.0,8.0,4.0,11.0
13,2.0,12.0,2.0,8.0,4.0,3.0,5.0,7.0,11.0
14,4.0,16.0,5.0,8.0,2.0,7.0,7.0,8.0,10.0
15,5.0,13.0,5.0,6.0,3.0,6.0,6.0,5.0,13.0
16,4.0,11.0,3.0,8.0,4.0,4.0,6.0,10.0,12.0
17,9.0,18.0,2.0,11.0,3.0,6.0,11.0,7.0,5.0
18,3.0,20.0,2.0,8.0,3.0,8.0,8.0,9.0,19.0
19,4.0,13.0,1.0,11.0,2.0,3.0,10.0,6.0,13.0
20,8.0,12.0,3.0,11.0,2.0,7.0,5.0,8.0,10.0
21,4.0,13.0,1.0,5.0,4.0,5.0,4.0,8.0,12.0
22,4.0,4.0,4.0,8.0,7.0,2.0,5.0,13.0,15.0
23,7.0,12.0,3.0,6.0,7.0,6.0,11.0,5.0,10.0
24,4.0,11.0,3.0,12.0,7.0,6.0,7.0,9.0,14.0
25,6.0,15.0,4.0,13.0,8.0,7.0,5.0,3.0,12.0
26,3.0,13.0,1.0,7.0,11.0,4.0,3.0,10.0,14.0
27,4.0,8.0,2.0,7.0,6.0,6.0,8.0,2.0,13.0
28,3.0,13.0,5.0,4.0,9.0,6.0,4.0,8.0,13.0
29,6.0,8.0,4.0,10.0,4.0,2.0,13.0,9.0,11.0
30,5.0,10.0,3.0,6.0,4.0,10.0,10.0,6.0,12.0
31,7.0,17.0,3.0,12.0,5.0,4.0,6.0,8.0,17.0
32,5.0,16.0,5.0,9.0,2.0,5.0,6.0,7.0,7.0
33,11.0,6.0,4.0,12.0,0.0,11.0,7.0,4.0,13.0
34,6.0,8.0,2.0,9.0,3.0,2.0,10.0,12.0,14.0
35,8.0,13.0,1.0,4.0,5.0,4.0,9.0,6.0,6.0
36,5.0,13.0,6.0,11.0,7.0,8.0,6.0,11.0,11.0
37,5.0,8.0,3.0,6.0,5.0,6.0,9.0,4.0,8.0
38,2.0,5.0,2.0,8.0,6.0,3.0,3.0,5.0,15.0
39,7.0,13.0,3.0,8.0,2.0,9.0,6.0,5.0,8.0
