,emojitracker-twitter-kissing_face_with_closed_eyes,emojitracker-twitter-kissing_face_with_smiling_eyes
0,12.0,8.0
1,17.0,6.0
2,14.0,3.0
3,12.0,9.0
4,10.0,5.0
5,17.0,4.0
6,15.0,5.0
7,8.0,7.0
8,14.0,6.0
9,9.0,4.0
10,15.0,3.0
11,13.0,10.0
12,19.0,9.0
13,17.0,8.0
14,16.0,5.0
15,8.0,12.0
16,10.0,9.0
17,19.0,11.0
18,11.0,9.0
19,11.0,10.0
20,8.0,5.0
21,9.0,1.0
22,11.0,6.0
23,14.0,8.0
24,15.0,8.0
25,13.0,3.0
26,15.0,4.0
27,17.0,11.0
28,18.0,7.0
29,16.0,5.0
30,18.0,6.0
31,11.0,5.0
32,10.0,3.0
33,21.0,3.0
34,10.0,4.0
35,6.0,2.0
36,17.0,4.0
37,12.0,8.0
38,18.0,6.0
39,12.0,6.0
40,14.0,8.0
41,20.0,7.0
42,13.0,7.0
43,9.0,5.0
44,11.0,5.0
45,13.0,10.0
46,13.0,11.0
47,9.0,6.0
48,10.0,9.0
49,20.0,11.0
50,19.0,7.0
51,24.0,5.0
52,19.0,9.0
53,23.0,7.0
54,26.0,8.0
55,24.0,4.0
56,25.0,3.0
57,25.0,5.0
58,24.0,12.0
59,30.0,7.0
60,28.0,8.0
61,20.0,6.0
62,16.0,5.0
63,21.0,9.0
64,11.0,5.0
65,13.0,7.0
66,25.0,10.0
67,23.0,7.0
68,12.0,9.0
69,7.0,9.0
70,17.0,5.0
71,15.0,7.0
72,12.0,4.0
73,26.0,4.0
74,9.0,6.0
75,18.0,4.0
76,15.0,13.0
77,11.0,7.0
78,18.0,7.0
79,14.0,9.0
80,18.0,8.0
81,23.0,8.0
82,24.0,16.0
83,22.0,8.0
84,9.0,6.0
85,17.0,7.0
86,17.0,10.0
87,22.0,8.0
88,15.0,15.0
89,18.0,10.0
90,19.0,10.0
91,24.0,5.0
92,13.0,11.0
93,14.0,9.0
94,25.0,11.0
95,16.0,7.0
96,28.0,8.0
97,21.0,8.0
98,21.0,9.0
99,14.0,5.0
100,13.0,11.0
101,17.0,9.0
102,8.0,4.0
103,18.0,7.0
104,18.0,3.0
105,13.0,12.0
106,15.0,10.0
107,17.0,6.0
108,16.0,9.0
109,20.0,11.0
110,22.0,2.0
111,20.0,6.0
112,18.0,9.0
113,25.0,9.0
114,16.0,9.0
115,16.0,6.0
116,16.0,11.0
117,19.0,4.0
118,14.0,11.0
119,18.0,10.0
120,25.0,11.0
121,16.0,9.0
122,19.0,4.0
123,20.0,6.0
124,21.0,9.0
125,15.0,6.0
126,9.0,12.0
127,24.0,5.0
128,14.0,16.0
129,21.0,8.0
130,32.0,3.0
131,22.0,8.0
132,25.0,8.0
133,25.0,5.0
134,22.0,8.0
135,28.0,10.0
136,18.0,10.0
137,19.0,8.0
138,20.0,12.0
139,16.0,11.0
140,14.0,7.0
141,20.0,6.0
142,24.0,11.0
143,15.0,10.0
144,16.0,5.0
145,20.0,14.0
146,19.0,14.0
147,28.0,11.0
148,18.0,13.0
149,17.0,8.0
150,14.0,16.0
151,23.0,13.0
152,13.0,7.0
153,15.0,14.0
154,12.0,13.0
155,16.0,9.0
156,21.0,12.0
157,22.0,7.0
158,31.0,5.0
159,13.0,13.0
160,21.0,9.0
161,13.0,5.0
162,13.0,11.0
163,16.0,7.0
164,22.0,14.0
165,22.0,7.0
166,24.0,12.0
167,23.0,8.0
168,19.0,8.0
169,14.0,13.0
170,26.0,8.0
171,28.0,10.0
172,36.0,17.0
173,26.0,9.0
174,29.0,12.0
175,21.0,13.0
176,30.0,11.0
177,20.0,13.0
178,28.0,16.0
179,27.0,11.0
180,33.0,13.0
181,25.0,14.0
182,28.0,14.0
183,24.0,9.0
184,36.0,11.0
185,40.0,9.0
186,21.0,10.0
187,29.0,11.0
188,28.0,10.0
189,33.0,11.0
190,21.0,10.0
191,28.0,12.0
192,20.0,14.0
193,21.0,13.0
194,18.0,13.0
195,25.0,14.0
196,32.0,17.0
197,33.0,11.0
198,19.0,6.0
199,22.0,11.0
200,22.0,4.0
201,24.0,11.0
202,14.0,13.0
203,28.0,12.0
204,30.0,8.0
205,17.0,17.0
206,18.0,9.0
207,20.0,11.0
208,22.0,18.0
209,36.0,8.0
210,23.0,12.0
211,17.0,9.0
212,16.0,18.0
213,19.0,13.0
214,23.0,13.0
215,26.0,5.0
216,27.0,17.0
217,20.0,9.0
218,23.0,9.0
219,25.0,9.0
220,24.0,9.0
221,18.0,12.0
222,23.0,10.0
223,18.0,5.0
224,25.0,9.0
225,16.0,15.0
226,23.0,16.0
227,31.0,13.0
228,31.0,11.0
229,28.0,6.0
230,27.0,14.0
231,24.0,13.0
232,28.0,11.0
233,31.0,11.0
234,20.0,10.0
235,21.0,8.0
236,14.0,7.0
237,14.0,12.0
238,19.0,10.0
239,23.0,9.0
240,19.0,22.0
241,19.0,11.0
242,29.0,8.0
243,24.0,12.0
244,13.0,13.0
245,19.0,15.0
246,24.0,14.0
247,23.0,14.0
248,9.0,6.0
249,16.0,15.0
250,20.0,8.0
251,27.0,9.0
252,28.0,20.0
253,34.0,8.0
254,20.0,7.0
255,29.0,11.0
256,22.0,7.0
257,23.0,11.0
258,24.0,10.0
259,27.0,15.0
260,35.0,19.0
261,35.0,6.0
262,32.0,13.0
263,25.0,11.0
264,27.0,10.0
265,22.0,14.0
266,25.0,6.0
267,20.0,14.0
268,22.0,10.0
269,17.0,11.0
270,21.0,10.0
271,30.0,14.0
272,23.0,12.0
273,21.0,14.0
274,28.0,9.0
275,25.0,17.0
276,22.0,18.0
277,25.0,9.0
278,22.0,9.0
279,26.0,6.0
280,18.0,12.0
281,19.0,9.0
282,22.0,6.0
283,20.0,12.0
284,25.0,13.0
285,22.0,12.0
286,21.0,11.0
287,23.0,12.0
288,19.0,8.0
289,14.0,14.0
290,20.0,15.0
291,28.0,9.0
292,21.0,11.0
293,30.0,6.0
294,19.0,9.0
295,24.0,12.0
296,19.0,7.0
297,22.0,13.0
298,26.0,7.0
299,19.0,18.0
300,25.0,15.0
301,27.0,6.0
302,26.0,9.0
303,30.0,12.0
304,36.0,19.0
305,24.0,6.0
306,37.0,11.0
307,28.0,11.0
308,17.0,14.0
309,30.0,14.0
310,31.0,6.0
311,30.0,12.0
312,30.0,7.0
313,30.0,9.0
314,33.0,12.0
315,36.0,9.0
316,27.0,16.0
317,41.0,11.0
318,25.0,10.0
319,25.0,10.0
320,27.0,10.0
321,23.0,10.0
322,28.0,8.0
323,26.0,9.0
324,21.0,19.0
325,28.0,15.0
326,28.0,12.0
327,28.0,12.0
328,29.0,10.0
329,20.0,6.0
330,25.0,18.0
331,28.0,15.0
332,23.0,12.0
333,18.0,11.0
334,28.0,11.0
335,23.0,11.0
336,31.0,14.0
337,25.0,8.0
338,28.0,13.0
339,25.0,6.0
340,25.0,9.0
341,16.0,13.0
342,28.0,18.0
343,23.0,18.0
344,22.0,16.0
345,33.0,11.0
346,23.0,14.0
347,22.0,14.0
348,24.0,13.0
349,27.0,8.0
350,17.0,13.0
351,27.0,17.0
352,31.0,19.0
353,14.0,13.0
354,30.0,14.0
355,23.0,18.0
356,30.0,11.0
357,33.0,13.0
358,30.0,10.0
359,24.0,8.0
360,27.0,12.0
361,21.0,12.0
362,25.0,8.0
363,42.0,8.0
364,15.0,10.0
