,emojitracker-twitter-smiling_face_with_smiling_eyes,emojitracker-twitter-smiling_face_with_heart-shaped_eyes
0,195.0,151.0
1,105.0,213.0
2,120.0,224.0
3,132.0,206.0
4,147.0,234.0
5,127.0,177.0
6,111.0,176.0
7,129.0,172.0
8,107.0,183.0
9,126.0,174.0
10,117.0,226.0
11,130.0,202.0
12,115.0,198.0
13,129.0,186.0
14,118.0,186.0
15,122.0,175.0
16,136.0,180.0
17,118.0,182.0
18,143.0,197.0
19,123.0,137.0
20,122.0,197.0
21,139.0,188.0
22,108.0,171.0
23,105.0,187.0
24,124.0,170.0
25,127.0,185.0
26,122.0,185.0
27,129.0,182.0
28,131.0,189.0
29,129.0,224.0
30,136.0,193.0
31,101.0,194.0
32,112.0,184.0
33,124.0,200.0
34,116.0,195.0
35,134.0,209.0
36,118.0,183.0
37,118.0,197.0
38,115.0,191.0
39,138.0,194.0
40,130.0,198.0
41,127.0,207.0
42,156.0,176.0
43,154.0,191.0
44,120.0,187.0
45,109.0,200.0
46,123.0,188.0
47,117.0,193.0
48,127.0,181.0
49,127.0,221.0
50,112.0,202.0
51,133.0,203.0
52,136.0,223.0
53,137.0,200.0
54,133.0,192.0
55,125.0,208.0
56,112.0,204.0
57,124.0,207.0
58,128.0,210.0
59,133.0,269.0
60,149.0,225.0
61,144.0,218.0
62,139.0,238.0
63,167.0,211.0
64,126.0,205.0
65,139.0,205.0
66,151.0,216.0
67,147.0,197.0
68,146.0,204.0
69,132.0,195.0
70,155.0,182.0
71,153.0,203.0
72,129.0,221.0
73,155.0,218.0
74,138.0,183.0
75,152.0,197.0
76,139.0,182.0
77,126.0,211.0
78,153.0,228.0
79,137.0,226.0
80,146.0,201.0
81,144.0,201.0
82,123.0,202.0
83,153.0,198.0
84,153.0,204.0
85,148.0,202.0
86,137.0,190.0
87,132.0,197.0
88,135.0,193.0
89,139.0,258.0
90,127.0,192.0
91,151.0,254.0
92,141.0,202.0
93,130.0,181.0
94,133.0,237.0
95,129.0,203.0
96,124.0,166.0
97,105.0,177.0
98,136.0,197.0
99,135.0,189.0
100,143.0,207.0
101,112.0,221.0
102,140.0,195.0
103,142.0,168.0
104,148.0,209.0
105,128.0,199.0
106,147.0,182.0
107,154.0,172.0
108,150.0,204.0
109,149.0,237.0
110,124.0,214.0
111,148.0,195.0
112,140.0,207.0
113,152.0,227.0
114,137.0,222.0
115,151.0,188.0
116,148.0,224.0
117,147.0,208.0
118,131.0,202.0
119,153.0,259.0
120,125.0,249.0
121,144.0,268.0
122,139.0,229.0
123,117.0,272.0
124,143.0,229.0
125,151.0,228.0
126,149.0,247.0
127,141.0,206.0
128,154.0,225.0
129,132.0,241.0
130,138.0,214.0
131,137.0,225.0
132,132.0,225.0
133,125.0,207.0
134,135.0,209.0
135,131.0,261.0
136,148.0,232.0
137,146.0,232.0
138,150.0,219.0
139,140.0,241.0
140,134.0,243.0
141,150.0,225.0
142,139.0,268.0
143,152.0,239.0
144,138.0,259.0
145,147.0,238.0
146,145.0,212.0
147,130.0,227.0
148,143.0,231.0
149,140.0,235.0
150,115.0,230.0
151,126.0,220.0
152,130.0,247.0
153,132.0,243.0
154,149.0,268.0
155,150.0,241.0
156,139.0,240.0
157,140.0,209.0
158,148.0,234.0
159,143.0,242.0
160,146.0,230.0
161,130.0,236.0
162,155.0,227.0
163,149.0,225.0
164,137.0,232.0
165,145.0,233.0
166,158.0,239.0
167,152.0,225.0
168,143.0,224.0
169,139.0,230.0
170,163.0,227.0
171,119.0,210.0
172,170.0,228.0
173,170.0,204.0
174,144.0,222.0
175,150.0,216.0
176,148.0,230.0
177,138.0,229.0
178,155.0,229.0
179,178.0,308.0
180,152.0,245.0
181,177.0,269.0
182,134.0,258.0
183,143.0,230.0
184,161.0,268.0
185,149.0,260.0
186,167.0,251.0
187,176.0,257.0
188,134.0,260.0
189,150.0,255.0
190,127.0,232.0
191,141.0,230.0
192,160.0,258.0
193,143.0,262.0
194,155.0,283.0
195,160.0,237.0
196,160.0,256.0
197,159.0,240.0
198,170.0,255.0
199,135.0,243.0
200,136.0,271.0
201,130.0,242.0
202,161.0,247.0
203,164.0,275.0
204,160.0,275.0
205,158.0,245.0
206,159.0,285.0
207,163.0,225.0
208,142.0,268.0
209,152.0,296.0
210,155.0,232.0
211,149.0,233.0
212,145.0,318.0
213,160.0,241.0
214,170.0,275.0
215,167.0,254.0
216,161.0,278.0
217,157.0,252.0
218,165.0,251.0
219,157.0,245.0
220,151.0,291.0
221,174.0,251.0
222,174.0,262.0
223,166.0,236.0
224,177.0,242.0
225,145.0,243.0
226,150.0,263.0
227,151.0,233.0
228,154.0,252.0
229,148.0,215.0
230,154.0,238.0
231,155.0,254.0
232,145.0,247.0
233,154.0,262.0
234,158.0,250.0
235,170.0,250.0
236,160.0,272.0
237,152.0,249.0
238,144.0,254.0
239,185.0,352.0
240,169.0,300.0
241,166.0,287.0
242,181.0,294.0
243,177.0,287.0
244,178.0,300.0
245,167.0,262.0
246,181.0,285.0
247,152.0,241.0
248,186.0,277.0
249,162.0,288.0
250,173.0,283.0
251,168.0,261.0
252,161.0,264.0
253,140.0,289.0
254,145.0,277.0
255,175.0,266.0
256,151.0,262.0
257,155.0,253.0
258,162.0,271.0
259,188.0,283.0
260,156.0,287.0
261,161.0,280.0
262,177.0,277.0
263,159.0,287.0
264,160.0,265.0
265,166.0,288.0
266,179.0,273.0
267,179.0,245.0
268,165.0,299.0
269,157.0,315.0
270,170.0,267.0
271,150.0,266.0
272,177.0,312.0
273,151.0,269.0
274,143.0,241.0
275,176.0,275.0
276,181.0,265.0
277,182.0,279.0
278,163.0,251.0
279,176.0,274.0
280,154.0,290.0
281,168.0,254.0
282,185.0,267.0
283,191.0,264.0
284,192.0,284.0
285,156.0,242.0
286,182.0,290.0
287,162.0,264.0
288,156.0,270.0
289,165.0,263.0
290,163.0,267.0
291,137.0,261.0
292,157.0,254.0
293,160.0,291.0
294,170.0,262.0
295,157.0,246.0
296,162.0,265.0
297,172.0,293.0
298,188.0,259.0
299,177.0,318.0
300,174.0,294.0
301,162.0,294.0
302,156.0,295.0
303,179.0,269.0
304,157.0,267.0
305,160.0,300.0
306,166.0,280.0
307,182.0,286.0
308,171.0,271.0
309,163.0,296.0
310,150.0,293.0
311,182.0,290.0
312,170.0,311.0
313,173.0,270.0
314,159.0,298.0
315,158.0,271.0
316,176.0,321.0
317,139.0,221.0
318,153.0,285.0
319,164.0,280.0
320,166.0,272.0
321,148.0,320.0
322,169.0,278.0
323,175.0,275.0
324,165.0,300.0
325,170.0,279.0
326,156.0,295.0
327,161.0,294.0
