,emojitracker-twitter-smiling_face_with_heart-shaped_eyes,emojitracker-twitter-smiling_face_with_open_mouth_and_smiling_eyes,emojitracker-twitter-smiling_face_with_open_mouth_and_tightly-closed_eyes,emojitracker-twitter-smiling_face_with_smiling_eyes
0,168.0,35.0,52.0,135.0
1,167.0,33.0,50.0,164.0
2,172.0,46.0,39.0,139.0
3,162.0,54.0,49.0,150.0
4,163.0,38.0,46.0,153.0
5,155.0,40.0,42.0,116.0
6,150.0,37.0,49.0,136.0
7,162.0,35.0,54.0,150.0
8,183.0,38.0,52.0,142.0
9,167.0,37.0,39.0,152.0
10,164.0,31.0,45.0,117.0
11,143.0,40.0,55.0,148.0
12,144.0,26.0,41.0,125.0
13,172.0,37.0,40.0,136.0
14,179.0,42.0,47.0,134.0
15,148.0,32.0,42.0,135.0
16,163.0,24.0,46.0,133.0
17,150.0,31.0,60.0,146.0
18,191.0,38.0,39.0,148.0
19,168.0,53.0,50.0,156.0
20,160.0,29.0,37.0,132.0
21,176.0,35.0,44.0,120.0
22,167.0,41.0,40.0,107.0
23,175.0,32.0,50.0,138.0
24,163.0,43.0,62.0,146.0
25,168.0,33.0,58.0,141.0
26,163.0,32.0,56.0,136.0
27,182.0,42.0,67.0,161.0
28,151.0,35.0,51.0,145.0
29,159.0,21.0,48.0,147.0
30,188.0,38.0,46.0,153.0
31,174.0,30.0,59.0,160.0
32,178.0,32.0,50.0,162.0
33,169.0,45.0,53.0,155.0
34,193.0,43.0,52.0,134.0
35,176.0,43.0,68.0,147.0
36,167.0,45.0,52.0,135.0
37,164.0,37.0,55.0,119.0
38,183.0,43.0,50.0,138.0
39,176.0,34.0,49.0,158.0
40,189.0,30.0,45.0,140.0
41,180.0,53.0,47.0,146.0
42,182.0,48.0,44.0,141.0
43,160.0,45.0,42.0,145.0
44,181.0,41.0,43.0,131.0
45,168.0,25.0,43.0,149.0
46,207.0,39.0,64.0,140.0
47,167.0,45.0,51.0,134.0
48,209.0,39.0,46.0,130.0
49,203.0,36.0,35.0,138.0
50,219.0,37.0,65.0,151.0
51,207.0,33.0,65.0,135.0
52,203.0,52.0,47.0,140.0
53,206.0,45.0,52.0,143.0
54,205.0,38.0,59.0,120.0
55,177.0,40.0,59.0,129.0
56,192.0,41.0,52.0,146.0
57,164.0,44.0,58.0,130.0
58,226.0,45.0,43.0,136.0
59,180.0,39.0,51.0,152.0
60,198.0,53.0,51.0,146.0
61,195.0,38.0,58.0,146.0
62,195.0,34.0,51.0,159.0
63,185.0,36.0,51.0,130.0
64,192.0,43.0,64.0,134.0
65,196.0,35.0,43.0,130.0
66,212.0,38.0,48.0,126.0
67,200.0,38.0,57.0,123.0
68,207.0,40.0,57.0,160.0
69,189.0,42.0,50.0,154.0
70,214.0,41.0,48.0,149.0
71,201.0,42.0,42.0,153.0
72,234.0,40.0,50.0,170.0
73,201.0,40.0,46.0,166.0
74,197.0,41.0,74.0,121.0
75,216.0,42.0,48.0,132.0
76,210.0,30.0,49.0,160.0
77,212.0,30.0,59.0,138.0
78,230.0,36.0,54.0,156.0
79,185.0,40.0,59.0,162.0
80,153.0,24.0,41.0,151.0
81,210.0,49.0,55.0,117.0
82,197.0,28.0,70.0,171.0
83,220.0,52.0,49.0,165.0
84,233.0,33.0,57.0,156.0
85,210.0,53.0,65.0,136.0
86,193.0,32.0,54.0,161.0
87,212.0,49.0,50.0,160.0
88,204.0,50.0,60.0,139.0
89,190.0,38.0,47.0,148.0
90,219.0,39.0,58.0,146.0
91,204.0,31.0,64.0,152.0
92,187.0,50.0,51.0,152.0
93,165.0,43.0,58.0,161.0
94,195.0,44.0,49.0,136.0
95,186.0,39.0,66.0,155.0
96,196.0,36.0,47.0,151.0
97,188.0,25.0,54.0,147.0
98,181.0,55.0,52.0,151.0
99,184.0,50.0,56.0,156.0
100,187.0,41.0,51.0,134.0
101,209.0,33.0,53.0,132.0
102,204.0,44.0,47.0,163.0
103,203.0,49.0,57.0,149.0
104,215.0,46.0,76.0,139.0
105,206.0,42.0,70.0,168.0
106,198.0,38.0,58.0,164.0
107,197.0,34.0,52.0,155.0
108,256.0,42.0,65.0,128.0
109,260.0,38.0,52.0,163.0
110,246.0,44.0,56.0,157.0
111,240.0,43.0,41.0,158.0
112,227.0,45.0,48.0,147.0
113,254.0,39.0,68.0,167.0
114,212.0,40.0,58.0,142.0
115,213.0,53.0,62.0,146.0
116,255.0,53.0,59.0,163.0
117,227.0,44.0,63.0,177.0
118,231.0,50.0,57.0,159.0
119,221.0,44.0,60.0,149.0
120,218.0,42.0,56.0,163.0
121,201.0,40.0,65.0,168.0
122,208.0,41.0,58.0,148.0
123,228.0,43.0,72.0,146.0
124,211.0,38.0,52.0,186.0
125,182.0,44.0,50.0,151.0
126,236.0,44.0,53.0,148.0
127,225.0,40.0,55.0,146.0
128,240.0,36.0,53.0,170.0
129,240.0,44.0,58.0,150.0
130,232.0,41.0,58.0,156.0
131,219.0,51.0,50.0,161.0
132,244.0,36.0,47.0,161.0
133,221.0,36.0,60.0,157.0
134,205.0,59.0,47.0,162.0
135,213.0,48.0,50.0,150.0
136,201.0,46.0,53.0,142.0
137,211.0,26.0,61.0,169.0
138,217.0,44.0,66.0,170.0
139,207.0,41.0,71.0,182.0
140,205.0,50.0,69.0,157.0
141,242.0,52.0,51.0,173.0
142,214.0,54.0,64.0,175.0
143,198.0,45.0,71.0,175.0
144,216.0,48.0,61.0,148.0
145,246.0,59.0,49.0,176.0
146,224.0,52.0,73.0,154.0
147,202.0,41.0,70.0,155.0
148,246.0,42.0,62.0,151.0
149,253.0,52.0,63.0,142.0
150,207.0,45.0,53.0,156.0
151,230.0,47.0,72.0,160.0
152,229.0,53.0,63.0,180.0
153,251.0,49.0,58.0,159.0
154,251.0,41.0,55.0,168.0
155,255.0,48.0,77.0,166.0
156,244.0,49.0,54.0,166.0
157,251.0,50.0,69.0,157.0
158,261.0,47.0,58.0,155.0
159,214.0,45.0,61.0,162.0
160,238.0,37.0,56.0,159.0
161,220.0,55.0,55.0,192.0
162,260.0,41.0,48.0,151.0
163,231.0,45.0,67.0,138.0
164,270.0,41.0,60.0,158.0
165,256.0,42.0,59.0,188.0
166,217.0,54.0,74.0,170.0
167,259.0,46.0,47.0,172.0
168,310.0,49.0,74.0,167.0
169,233.0,43.0,78.0,171.0
170,228.0,51.0,65.0,172.0
171,238.0,49.0,52.0,179.0
172,254.0,38.0,56.0,192.0
173,243.0,45.0,73.0,161.0
