,helicopter_theta,helicopter_psi
0,-0.52449,2.4867
1,-0.5253,2.4818
2,-0.52409,2.4908
3,-0.5261100000000001,2.4721
4,-0.53056,2.4827
5,-0.53785,2.4875
6,-0.53056,2.4932
7,-0.5309699999999999,2.4883
8,-0.53299,2.4737
9,-0.53825,2.4681
10,-0.53745,2.4689
11,-0.54352,2.4737
12,-0.53906,2.4608
13,-0.54878,2.4721
14,-0.5471600000000001,2.4754
15,-0.55404,2.4576
16,-0.5504,2.4559
17,-0.55607,2.4632
18,-0.54999,2.4689
19,-0.55202,2.4503
20,-0.55971,2.4608
21,-0.5617300000000001,2.4511
22,-0.56052,2.4462
23,-0.5617300000000001,2.4495
24,-0.5617300000000001,2.4495
25,-0.5589,2.4414
26,-0.56457,2.4519
27,-0.56538,2.4438
28,-0.56214,2.4357
29,-0.56821,2.4397
30,-0.5665899999999999,2.4349
31,-0.5665899999999999,2.4341
32,-0.56821,2.4406
33,-0.56497,2.4325
34,-0.5686100000000001,2.4438
35,-0.5674,2.4333
36,-0.56821,2.426
37,-0.57104,2.4163
38,-0.57185,2.4211
39,-0.5686100000000001,2.4227
40,-0.5759,2.4025
41,-0.57792,2.4074
42,-0.57792,2.4074
43,-0.5767100000000001,2.4025
44,-0.57995,2.4146
45,-0.57347,2.4211
46,-0.58035,2.4146
47,-0.57428,2.4017
48,-0.57428,2.4041
49,-0.57428,2.4082
50,-0.5795399999999999,2.4001
51,-0.5746899999999999,2.4082
52,-0.58035,2.3976
53,-0.57712,2.3952
54,-0.57631,2.3774
55,-0.57792,2.3839
56,-0.5759,2.375
57,-0.5767100000000001,2.3717
58,-0.58035,2.3798
59,-0.5795399999999999,2.3758
60,-0.5795399999999999,2.3758
61,-0.57712,2.3831
62,-0.5767100000000001,2.3669
63,-0.58076,2.3701
64,-0.5767100000000001,2.3418
65,-0.58035,2.3572
66,-0.57509,2.345
67,-0.58076,2.3564
68,-0.57428,2.3531
69,-0.57428,2.345
70,-0.57752,2.3313
71,-0.57631,2.3272
72,-0.5755,2.3272
73,-0.58035,2.3353
74,-0.57833,2.3264
75,-0.5706399999999999,2.3134
76,-0.5746899999999999,2.3321
77,-0.57185,2.3353
78,-0.5686100000000001,2.3118
79,-0.57023,2.3037
80,-0.5698300000000001,2.3037
81,-0.56942,2.3021
82,-0.57428,2.3199
83,-0.56942,2.29
84,-0.57428,2.3102
85,-0.5686100000000001,2.3062
86,-0.5665899999999999,2.3102
87,-0.5665899999999999,2.3102
88,-0.56335,2.2819
89,-0.5665899999999999,2.29
90,-0.56133,2.2964
91,-0.5686100000000001,2.2973
92,-0.5674,2.2835
93,-0.56335,2.2794
94,-0.5617300000000001,2.2803
95,-0.5589,2.2867
96,-0.56092,2.2778
97,-0.5617300000000001,2.2705
98,-0.56092,2.2657
99,-0.56052,2.2633
100,-0.55809,2.2762
101,-0.55404,2.2754
102,-0.5512100000000001,2.2535
103,-0.5504,2.2495
104,-0.54878,2.2608
105,-0.54878,2.2608
106,-0.55323,2.2463
107,-0.55323,2.2471
108,-0.54473,2.2552
109,-0.54797,2.2382
110,-0.54918,2.2438
111,-0.54271,2.2495
112,-0.5504,2.2487
113,-0.53623,2.2365
114,-0.54109,2.2163
115,-0.53785,2.2123
116,-0.5423,2.2155
117,-0.53583,2.2114
118,-0.53178,2.2098
119,-0.5334,2.2293
120,-0.53583,2.2139
121,-0.53056,2.2082
122,-0.5350199999999999,2.2009
123,-0.5350199999999999,2.2009
124,-0.5249,2.2058
125,-0.5301600000000001,2.2033
126,-0.53218,2.2001
127,-0.52733,2.2042
128,-0.52449,2.1952
129,-0.53056,2.2001
130,-0.52368,2.1823
131,-0.52125,2.171
132,-0.51882,2.1791
133,-0.52287,2.175
134,-0.51963,2.1904
135,-0.52166,2.1807
136,-0.5168,2.1629
137,-0.51761,2.1661
138,-0.5131600000000001,2.175
139,-0.51882,2.1791
140,-0.5087,2.1442
141,-0.5083,2.1418
142,-0.50789,2.141
143,-0.51356,2.1669
144,-0.50789,2.1402
145,-0.5062800000000001,2.1426
146,-0.50385,2.1361
147,-0.50344,2.1345
148,-0.5002,2.1426
149,-0.50789,2.1426
150,-0.50789,2.1426
151,-0.50142,2.12
152,-0.50385,2.1224
153,-0.49494,2.1232
154,-0.49696999999999997,2.1216
155,-0.49858,2.1167
156,-0.5018199999999999,2.1264
157,-0.50263,2.1281
158,-0.49938999999999995,2.1167
159,-0.49777,2.1119
160,-0.49696999999999997,2.1175
161,-0.49049,2.0957
162,-0.49251000000000006,2.09
163,-0.49616000000000005,2.1038
164,-0.48886999999999997,2.0981
165,-0.48846000000000006,2.0981
166,-0.49008,2.0949
167,-0.48725,2.0835
168,-0.48725,2.0835
169,-0.49049,2.0916
170,-0.48482,2.0754
171,-0.48685,2.0738
172,-0.48765,2.0698
173,-0.48685,2.0673
174,-0.48968,2.0803
175,-0.47713,2.0657
176,-0.48199,2.0609
177,-0.48239,2.0609
178,-0.48158,2.0592
179,-0.47591999999999995,2.052
180,-0.47551000000000004,2.0552
181,-0.4747,2.0584
182,-0.48361000000000004,2.0568
183,-0.4828,2.0495
184,-0.47551000000000004,2.0422
185,-0.48036999999999996,2.0309
186,-0.48036999999999996,2.0309
187,-0.4747,2.0196
188,-0.47389,2.0439
189,-0.47631999999999997,2.0479
190,-0.4747,2.0212
191,-0.47065,2.0099
192,-0.47834,2.0325
193,-0.47389,2.0317
194,-0.47875,2.0341
195,-0.47631999999999997,2.0155
196,-0.47065,1.9977
197,-0.47065,2.0147
198,-0.47389,2.0058
199,-0.46984,2.0034
200,-0.47794,2.0074
201,-0.47551000000000004,1.9985
202,-0.4747,1.9969
203,-0.47389,1.9856
204,-0.47551000000000004,1.9864
205,-0.47753999999999996,1.9953
206,-0.46903,1.9848
207,-0.47713,1.9783
208,-0.47713,1.9709999999999999
209,-0.47226999999999997,1.9516
210,-0.4747,1.9588
