,hospital-er-wait-minutes-columbus_northside,hospital-er-wait-minutes-columbus_midtown,hospital-er-wait-minutes-columbus_midtown_peds
0,15.0,42.0,11.0
1,14.0,57.0,13.0
2,14.0,57.0,13.0
3,7.0,61.0,14.0
4,7.0,61.0,14.0
5,14.0,64.0,11.0
6,14.0,64.0,11.0
7,20.0,60.0,13.0
8,20.0,60.0,13.0
9,15.0,68.0,16.0
10,15.0,68.0,16.0
11,9.0,65.0,23.0
12,9.0,65.0,23.0
13,9.0,61.0,31.0
14,9.0,61.0,31.0
15,16.0,67.0,26.0
16,16.0,67.0,26.0
17,20.0,56.0,9.0
18,20.0,56.0,9.0
19,25.0,46.0,8.0
20,25.0,46.0,8.0
21,27.0,48.0,10.0
22,27.0,48.0,10.0
23,24.0,43.0,10.0
24,24.0,43.0,10.0
25,26.0,45.0,9.0
26,26.0,45.0,9.0
27,22.0,31.0,11.0
28,22.0,31.0,11.0
29,29.0,35.0,11.0
30,29.0,35.0,11.0
31,38.0,44.0,11.0
32,38.0,44.0,11.0
33,50.0,39.0,13.0
34,50.0,39.0,13.0
35,51.0,58.0,6.0
36,51.0,58.0,6.0
37,35.0,61.0,4.0
38,35.0,61.0,4.0
39,26.0,66.0,3.0
40,26.0,66.0,3.0
41,16.0,64.0,1.0
42,16.0,64.0,1.0
43,9.0,45.0,9.0
44,9.0,45.0,9.0
45,6.0,25.0,8.0
46,6.0,25.0,8.0
47,10.0,32.0,10.0
48,10.0,32.0,10.0
49,19.0,36.0,15.0
50,19.0,36.0,15.0
51,1.0,30.0,0.0
52,1.0,30.0,0.0
53,3.0,44.0,2.0
54,3.0,44.0,2.0
55,7.0,71.0,3.0
56,7.0,71.0,3.0
57,15.0,76.0,4.0
58,15.0,76.0,4.0
59,15.0,82.0,3.0
60,14.0,66.0,3.0
61,14.0,66.0,3.0
62,14.0,43.0,0.0
63,14.0,43.0,0.0
64,18.0,52.0,0.0
65,18.0,52.0,0.0
66,18.0,32.0,10.0
67,18.0,32.0,10.0
68,19.0,31.0,10.0
69,19.0,31.0,10.0
70,22.0,40.0,0.0
71,22.0,40.0,0.0
72,22.0,56.0,0.0
73,22.0,56.0,0.0
74,4.0,0.0,0.0
75,4.0,0.0,0.0
76,3.0,9.0,0.0
77,3.0,9.0,0.0
78,4.0,37.0,11.0
79,4.0,37.0,11.0
80,6.0,26.0,8.0
81,6.0,26.0,8.0
82,8.0,26.0,4.0
83,8.0,26.0,4.0
84,12.0,33.0,13.0
85,12.0,33.0,13.0
86,7.0,35.0,10.0
87,7.0,35.0,10.0
88,5.0,27.0,12.0
89,5.0,27.0,12.0
90,13.0,18.0,14.0
91,13.0,18.0,14.0
92,23.0,21.0,10.0
93,23.0,21.0,10.0
94,29.0,30.0,2.0
95,29.0,30.0,2.0
96,26.0,38.0,1.0
97,26.0,38.0,1.0
98,27.0,56.0,2.0
99,27.0,56.0,2.0
100,32.0,66.0,4.0
101,32.0,66.0,4.0
102,34.0,74.0,4.0
103,34.0,74.0,4.0
104,22.0,78.0,0.0
105,22.0,78.0,0.0
106,14.0,68.0,0.0
107,14.0,68.0,0.0
108,3.0,58.0,2.0
109,3.0,58.0,2.0
110,12.0,57.0,3.0
111,12.0,57.0,3.0
112,20.0,42.0,6.0
113,20.0,42.0,6.0
114,16.0,42.0,4.0
115,16.0,42.0,4.0
116,10.0,36.0,2.0
117,10.0,36.0,2.0
118,21.0,54.0,8.0
119,21.0,54.0,8.0
120,34.0,60.0,9.0
121,34.0,60.0,9.0
122,24.0,55.0,13.0
123,24.0,55.0,13.0
124,14.0,51.0,13.0
125,14.0,51.0,13.0
126,20.0,52.0,9.0
127,20.0,52.0,9.0
128,34.0,62.0,7.0
129,34.0,62.0,7.0
130,38.0,76.0,12.0
131,38.0,76.0,12.0
132,30.0,77.0,13.0
133,30.0,77.0,13.0
134,24.0,40.0,13.0
135,24.0,40.0,13.0
136,22.0,28.0,15.0
137,22.0,28.0,15.0
138,30.0,21.0,15.0
139,30.0,21.0,15.0
140,12.0,24.0,15.0
141,12.0,24.0,15.0
142,6.0,37.0,18.0
143,6.0,37.0,18.0
144,10.0,57.0,14.0
145,10.0,57.0,14.0
146,11.0,87.0,0.0
147,11.0,87.0,0.0
148,10.0,113.0,0.0
149,10.0,113.0,0.0
150,18.0,116.0,0.0
151,18.0,116.0,0.0
152,18.0,86.0,19.0
153,18.0,86.0,19.0
154,0.0,56.0,19.0
155,0.0,56.0,19.0
156,0.0,55.0,1.0
157,0.0,55.0,1.0
158,0.0,74.0,1.0
159,0.0,74.0,1.0
160,0.0,106.0,0.0
161,0.0,106.0,0.0
162,0.0,101.0,9.0
163,0.0,101.0,9.0
164,0.0,73.0,9.0
165,0.0,73.0,9.0
166,3.0,74.0,0.0
167,3.0,74.0,0.0
168,3.0,93.0,0.0
169,3.0,93.0,0.0
170,8.0,117.0,22.0
171,8.0,117.0,22.0
172,12.0,114.0,17.0
173,12.0,114.0,17.0
174,18.0,77.0,12.0
175,18.0,77.0,12.0
176,21.0,57.0,13.0
177,21.0,57.0,13.0
178,0.0,38.0,14.0
179,0.0,38.0,14.0
180,10.0,28.0,7.0
181,10.0,28.0,7.0
182,13.0,34.0,6.0
183,13.0,34.0,6.0
184,16.0,42.0,4.0
185,16.0,42.0,4.0
186,18.0,52.0,3.0
187,18.0,52.0,3.0
188,20.0,52.0,3.0
189,20.0,52.0,3.0
190,25.0,59.0,6.0
191,25.0,59.0,6.0
192,25.0,67.0,7.0
193,25.0,67.0,7.0
194,31.0,82.0,19.0
195,31.0,82.0,19.0
196,36.0,86.0,31.0
197,36.0,86.0,31.0
198,49.0,104.0,33.0
199,49.0,104.0,33.0
200,33.0,113.0,30.0
201,33.0,113.0,30.0
202,30.0,94.0,23.0
203,30.0,94.0,23.0
204,26.0,97.0,10.0
205,26.0,97.0,10.0
206,9.0,121.0,10.0
207,9.0,121.0,10.0
208,11.0,130.0,12.0
209,11.0,130.0,12.0
210,18.0,156.0,9.0
211,18.0,156.0,9.0
212,33.0,139.0,3.0
213,33.0,139.0,3.0
214,41.0,113.0,4.0
215,41.0,113.0,4.0
216,40.0,112.0,4.0
217,40.0,112.0,4.0
218,47.0,124.0,10.0
219,47.0,124.0,10.0
220,66.0,154.0,18.0
221,66.0,154.0,18.0
222,71.0,166.0,20.0
223,71.0,166.0,20.0
224,82.0,174.0,19.0
225,82.0,174.0,19.0
226,100.0,152.0,34.0
227,100.0,152.0,34.0
228,120.0,167.0,41.0
229,120.0,167.0,41.0
230,109.0,186.0,32.0
231,109.0,186.0,32.0
232,53.0,189.0,40.0
233,53.0,189.0,40.0
234,64.0,190.0,49.0
235,64.0,190.0,49.0
236,16.0,156.0,50.0
237,16.0,156.0,50.0
238,12.0,169.0,45.0
239,12.0,169.0,45.0
240,16.0,264.0,11.0
241,16.0,264.0,11.0
242,12.0,355.0,10.0
243,12.0,355.0,10.0
244,6.0,298.0,3.0
245,6.0,298.0,3.0
246,7.0,298.0,5.0
247,7.0,298.0,5.0
248,0.0,242.0,7.0
249,0.0,242.0,7.0
250,0.0,295.0,5.0
251,0.0,295.0,5.0
252,0.0,138.0,2.0
253,0.0,138.0,2.0
254,0.0,116.0,2.0
255,0.0,116.0,2.0
256,7.0,30.0,9.0
257,7.0,30.0,9.0
258,24.0,52.0,6.0
259,24.0,52.0,6.0
260,24.0,30.0,6.0
261,24.0,30.0,6.0
262,0.0,51.0,0.0
263,0.0,51.0,0.0
264,0.0,51.0,0.0
265,0.0,51.0,0.0
266,0.0,61.0,0.0
267,0.0,61.0,0.0
268,0.0,56.0,0.0
269,0.0,56.0,0.0
270,7.0,35.0,8.0
271,7.0,35.0,8.0
272,7.0,27.0,9.0
273,7.0,27.0,9.0
274,0.0,40.0,9.0
275,0.0,40.0,9.0
276,6.0,39.0,13.0
277,6.0,39.0,13.0
278,4.0,46.0,14.0
279,4.0,46.0,14.0
280,4.0,35.0,16.0
281,4.0,35.0,16.0
282,7.0,46.0,18.0
283,7.0,46.0,18.0
284,9.0,46.0,16.0
285,9.0,46.0,16.0
286,6.0,35.0,21.0
287,6.0,35.0,21.0
288,13.0,28.0,22.0
289,13.0,28.0,22.0
290,11.0,33.0,18.0
291,11.0,33.0,18.0
292,10.0,36.0,15.0
293,10.0,36.0,15.0
294,14.0,31.0,18.0
295,14.0,31.0,18.0
296,15.0,31.0,22.0
297,15.0,31.0,22.0
298,16.0,29.0,37.0
299,16.0,29.0,37.0
300,7.0,35.0,37.0
301,7.0,35.0,37.0
302,5.0,31.0,32.0
303,5.0,31.0,32.0
304,7.0,30.0,43.0
305,7.0,30.0,43.0
306,17.0,27.0,54.0
307,17.0,27.0,54.0
308,38.0,21.0,48.0
309,38.0,21.0,48.0
310,30.0,21.0,57.0
311,30.0,21.0,57.0
312,26.0,23.0,65.0
313,26.0,23.0,65.0
314,28.0,27.0,84.0
315,28.0,27.0,84.0
316,22.0,29.0,144.0
317,22.0,29.0,144.0
318,30.0,25.0,123.0
319,30.0,25.0,123.0
320,39.0,20.0,102.0
321,39.0,20.0,102.0
322,54.0,28.0,66.0
323,54.0,28.0,66.0
324,66.0,19.0,29.0
325,66.0,19.0,29.0
326,72.0,10.0,30.0
327,72.0,10.0,30.0
328,63.0,14.0,37.0
329,63.0,14.0,37.0
330,27.0,21.0,44.0
331,27.0,21.0,44.0
332,30.0,20.0,55.0
333,30.0,20.0,55.0
334,28.0,24.0,74.0
335,28.0,24.0,74.0
336,18.0,23.0,69.0
337,18.0,23.0,69.0
338,15.0,31.0,47.0
339,15.0,31.0,47.0
340,0.0,29.0,67.0
341,0.0,29.0,67.0
342,8.0,10.0,82.0
343,8.0,10.0,82.0
344,8.0,19.0,79.0
345,8.0,19.0,79.0
346,0.0,25.0,62.0
347,0.0,25.0,62.0
348,8.0,30.0,67.0
349,8.0,30.0,67.0
350,38.0,20.0,0.0
351,38.0,20.0,0.0
352,25.0,19.0,0.0
353,25.0,19.0,0.0
354,18.0,19.0,0.0
355,18.0,19.0,0.0
356,0.0,19.0,18.0
357,0.0,19.0,18.0
358,0.0,0.0,18.0
359,0.0,0.0,18.0
360,16.0,11.0,0.0
361,16.0,11.0,0.0
362,23.0,36.0,0.0
363,23.0,36.0,0.0
364,14.0,39.0,0.0
365,14.0,39.0,0.0
366,7.0,36.0,0.0
367,7.0,36.0,0.0
368,9.0,34.0,13.0
369,9.0,34.0,13.0
370,11.0,27.0,13.0
371,11.0,27.0,13.0
372,10.0,25.0,8.0
373,10.0,25.0,8.0
374,10.0,21.0,7.0
375,10.0,21.0,7.0
376,4.0,20.0,8.0
377,4.0,20.0,8.0
378,1.0,24.0,7.0
379,1.0,24.0,7.0
380,2.0,16.0,6.0
381,2.0,16.0,6.0
382,2.0,12.0,8.0
383,2.0,12.0,8.0
384,1.0,13.0,6.0
385,1.0,13.0,6.0
386,3.0,15.0,5.0
387,3.0,15.0,5.0
388,5.0,20.0,5.0
389,5.0,20.0,5.0
390,2.0,28.0,9.0
391,2.0,28.0,9.0
392,3.0,27.0,11.0
393,3.0,27.0,11.0
394,3.0,33.0,6.0
395,3.0,33.0,6.0
396,2.0,48.0,7.0
397,2.0,48.0,7.0
398,4.0,49.0,11.0
399,4.0,49.0,11.0
400,10.0,43.0,16.0
401,10.0,43.0,16.0
402,10.0,55.0,23.0
403,10.0,55.0,23.0
404,7.0,52.0,11.0
405,7.0,52.0,11.0
406,6.0,59.0,12.0
407,6.0,59.0,12.0
408,12.0,62.0,15.0
