,hospital-er-wait-minutes-columbus_midtown,hospital-er-wait-minutes-columbus_northside,hospital-er-wait-minutes-columbus_midtown_peds
0,15.0,6.0,0.0
1,22.0,6.0,0.0
2,22.0,2.0,0.0
3,22.0,2.0,0.0
4,22.0,2.0,0.0
5,22.0,2.0,0.0
6,22.0,2.0,3.0
7,20.0,2.0,3.0
8,20.0,0.0,3.0
9,20.0,0.0,3.0
10,20.0,0.0,3.0
11,20.0,0.0,3.0
12,20.0,0.0,3.0
13,29.0,0.0,3.0
14,29.0,0.0,3.0
15,29.0,0.0,3.0
16,29.0,0.0,3.0
17,29.0,0.0,3.0
18,45.0,0.0,0.0
19,45.0,0.0,0.0
20,45.0,1.0,0.0
21,45.0,1.0,0.0
22,45.0,1.0,0.0
23,45.0,1.0,0.0
24,48.0,1.0,5.0
25,48.0,1.0,5.0
26,48.0,6.0,5.0
27,48.0,6.0,5.0
28,48.0,6.0,5.0
29,48.0,6.0,5.0
30,50.0,6.0,5.0
31,50.0,6.0,5.0
32,50.0,8.0,5.0
33,50.0,8.0,5.0
34,50.0,8.0,5.0
35,50.0,8.0,7.0
36,74.0,8.0,7.0
37,74.0,7.0,7.0
38,74.0,7.0,7.0
39,74.0,7.0,7.0
40,74.0,7.0,7.0
41,74.0,7.0,9.0
42,100.0,7.0,9.0
43,100.0,1.0,9.0
44,100.0,1.0,9.0
45,100.0,1.0,9.0
46,100.0,1.0,9.0
47,100.0,1.0,14.0
48,115.0,1.0,14.0
49,115.0,3.0,14.0
50,115.0,3.0,14.0
51,115.0,3.0,14.0
52,115.0,3.0,14.0
53,115.0,3.0,22.0
54,119.0,3.0,22.0
55,119.0,6.0,22.0
56,119.0,6.0,22.0
57,119.0,6.0,22.0
58,119.0,6.0,22.0
59,119.0,6.0,0.0
60,137.0,6.0,0.0
61,137.0,7.0,0.0
62,137.0,7.0,0.0
63,137.0,7.0,0.0
64,137.0,7.0,0.0
65,137.0,7.0,2.0
66,118.0,7.0,2.0
67,118.0,5.0,2.0
68,118.0,5.0,2.0
69,118.0,5.0,2.0
70,118.0,5.0,2.0
71,118.0,5.0,4.0
72,109.0,5.0,4.0
73,109.0,5.0,4.0
74,109.0,5.0,4.0
75,109.0,5.0,4.0
76,109.0,5.0,4.0
77,109.0,5.0,8.0
78,130.0,5.0,8.0
79,130.0,3.0,8.0
80,130.0,3.0,8.0
81,130.0,3.0,8.0
82,130.0,3.0,8.0
83,130.0,3.0,16.0
84,112.0,3.0,16.0
85,112.0,3.0,16.0
86,112.0,3.0,16.0
87,112.0,3.0,16.0
88,112.0,3.0,16.0
89,112.0,3.0,14.0
90,136.0,3.0,14.0
91,136.0,2.0,14.0
92,136.0,2.0,14.0
93,136.0,2.0,14.0
94,136.0,2.0,14.0
95,136.0,2.0,8.0
96,151.0,2.0,8.0
97,151.0,2.0,8.0
98,151.0,2.0,8.0
99,151.0,2.0,8.0
100,151.0,2.0,8.0
101,151.0,2.0,5.0
102,142.0,2.0,5.0
103,142.0,4.0,5.0
104,142.0,4.0,5.0
105,142.0,4.0,5.0
106,142.0,4.0,5.0
107,142.0,4.0,10.0
108,149.0,4.0,10.0
109,149.0,8.0,10.0
110,149.0,8.0,10.0
111,149.0,8.0,10.0
112,149.0,8.0,10.0
113,149.0,8.0,26.0
114,142.0,8.0,26.0
115,142.0,11.0,26.0
116,142.0,11.0,26.0
