,hospital-er-wait-minutes-columbus_midtown_peds,hospital-er-wait-minutes-columbus_midtown,hospital-er-wait-minutes-columbus_northside
0,8.0,29.0,50.0
1,5.0,25.0,72.0
2,5.0,25.0,72.0
3,10.0,22.0,89.0
4,10.0,22.0,89.0
5,11.0,26.0,95.0
6,11.0,26.0,95.0
7,9.0,28.0,97.0
8,9.0,28.0,97.0
9,5.0,27.0,106.0
10,5.0,27.0,106.0
11,3.0,28.0,136.0
12,3.0,28.0,136.0
13,7.0,29.0,169.0
14,7.0,29.0,169.0
15,8.0,30.0,129.0
16,8.0,30.0,129.0
17,6.0,37.0,91.0
18,6.0,37.0,91.0
19,7.0,42.0,104.0
20,7.0,42.0,104.0
21,7.0,43.0,118.0
22,7.0,43.0,118.0
23,8.0,47.0,102.0
24,8.0,47.0,102.0
25,8.0,45.0,84.0
26,8.0,45.0,84.0
27,10.0,36.0,94.0
28,10.0,36.0,94.0
29,14.0,24.0,101.0
30,14.0,24.0,101.0
31,12.0,27.0,110.0
32,12.0,27.0,110.0
33,10.0,27.0,98.0
34,10.0,27.0,98.0
35,10.0,27.0,98.0
36,14.0,27.0,77.0
37,14.0,27.0,77.0
38,10.0,19.0,67.0
39,10.0,19.0,67.0
40,9.0,26.0,65.0
41,9.0,26.0,65.0
42,15.0,43.0,60.0
43,15.0,43.0,60.0
44,9.0,27.0,18.0
45,9.0,27.0,18.0
46,10.0,41.0,18.0
47,10.0,41.0,18.0
48,16.0,60.0,0.0
49,16.0,60.0,0.0
50,16.0,70.0,6.0
51,16.0,70.0,6.0
52,7.0,52.0,9.0
53,7.0,52.0,9.0
54,3.0,54.0,13.0
55,3.0,54.0,13.0
56,0.0,55.0,0.0
57,0.0,55.0,0.0
58,0.0,55.0,0.0
59,0.0,55.0,0.0
60,0.0,45.0,0.0
61,0.0,45.0,0.0
62,13.0,31.0,0.0
63,13.0,31.0,0.0
64,9.0,28.0,2.0
65,9.0,28.0,2.0
66,8.0,55.0,2.0
67,8.0,55.0,2.0
68,6.0,55.0,16.0
69,6.0,55.0,16.0
70,0.0,28.0,19.0
71,0.0,28.0,19.0
72,16.0,34.0,9.0
73,16.0,34.0,9.0
74,24.0,41.0,6.0
75,24.0,41.0,6.0
76,18.0,33.0,10.0
77,18.0,33.0,10.0
78,11.0,34.0,9.0
79,11.0,34.0,9.0
80,10.0,19.0,7.0
81,10.0,19.0,7.0
82,22.0,20.0,9.0
83,22.0,20.0,9.0
84,27.0,16.0,12.0
85,27.0,16.0,12.0
86,27.0,16.0,12.0
87,35.0,20.0,0.0
88,49.0,26.0,7.0
89,49.0,26.0,7.0
90,61.0,38.0,10.0
91,61.0,38.0,10.0
92,61.0,38.0,10.0
93,63.0,53.0,21.0
94,63.0,53.0,21.0
95,48.0,45.0,18.0
96,48.0,45.0,18.0
97,48.0,45.0,18.0
98,29.0,46.0,20.0
99,29.0,46.0,20.0
100,26.0,43.0,40.0
101,26.0,43.0,40.0
102,17.0,39.0,55.0
103,17.0,39.0,55.0
104,11.0,29.0,68.0
105,11.0,29.0,68.0
106,11.0,29.0,68.0
107,11.0,29.0,68.0
108,11.0,22.0,74.0
109,11.0,22.0,74.0
110,18.0,19.0,87.0
111,18.0,19.0,87.0
112,18.0,19.0,87.0
113,18.0,19.0,87.0
114,26.0,12.0,61.0
115,26.0,12.0,61.0
116,19.0,12.0,55.0
117,19.0,12.0,55.0
118,13.0,25.0,50.0
119,13.0,25.0,50.0
120,7.0,29.0,43.0
121,7.0,29.0,43.0
122,3.0,41.0,49.0
123,3.0,41.0,49.0
124,3.0,57.0,63.0
125,3.0,57.0,63.0
126,3.0,57.0,63.0
127,6.0,53.0,63.0
128,6.0,53.0,63.0
129,7.0,49.0,76.0
130,7.0,49.0,76.0
131,5.0,37.0,84.0
132,5.0,37.0,84.0
133,7.0,23.0,94.0
134,7.0,23.0,94.0
135,7.0,29.0,114.0
136,7.0,29.0,114.0
137,7.0,31.0,102.0
138,7.0,31.0,102.0
139,6.0,32.0,81.0
140,6.0,32.0,81.0
141,6.0,32.0,81.0
142,6.0,32.0,81.0
143,5.0,38.0,60.0
144,5.0,38.0,60.0
145,1.0,62.0,28.0
146,1.0,62.0,28.0
147,0.0,57.0,30.0
148,0.0,57.0,30.0
149,0.0,41.0,35.0
150,0.0,41.0,35.0
151,0.0,54.0,13.0
152,0.0,54.0,13.0
153,2.0,61.0,10.0
154,2.0,61.0,10.0
155,2.0,74.0,10.0
156,2.0,74.0,10.0
157,3.0,56.0,8.0
158,3.0,56.0,8.0
159,5.0,48.0,6.0
160,5.0,48.0,6.0
161,5.0,51.0,5.0
162,5.0,51.0,5.0
163,5.0,51.0,5.0
164,5.0,51.0,5.0
165,0.0,52.0,0.0
166,0.0,52.0,0.0
167,11.0,42.0,10.0
168,11.0,42.0,10.0
169,11.0,34.0,10.0
170,11.0,34.0,10.0
171,8.0,43.0,0.0
172,8.0,43.0,0.0
173,10.0,45.0,0.0
174,10.0,45.0,0.0
175,6.0,43.0,0.0
176,6.0,43.0,0.0
177,6.0,9.0,24.0
178,6.0,9.0,24.0
179,16.0,19.0,30.0
180,16.0,19.0,30.0
181,12.0,28.0,27.0
182,12.0,28.0,27.0
183,9.0,30.0,12.0
184,9.0,30.0,12.0
185,13.0,38.0,7.0
186,13.0,38.0,7.0
187,27.0,47.0,12.0
188,27.0,47.0,12.0
189,30.0,53.0,21.0
190,30.0,53.0,21.0
191,31.0,60.0,24.0
192,31.0,60.0,24.0
193,9.0,51.0,27.0
194,9.0,51.0,27.0
195,3.0,60.0,27.0
196,3.0,60.0,27.0
197,3.0,60.0,27.0
198,3.0,60.0,27.0
199,7.0,78.0,27.0
200,7.0,78.0,27.0
201,8.0,99.0,38.0
202,8.0,99.0,38.0
203,8.0,99.0,38.0
204,8.0,99.0,38.0
205,8.0,99.0,38.0
206,5.0,106.0,53.0
207,5.0,106.0,53.0
208,4.0,117.0,55.0
209,4.0,117.0,55.0
210,1.0,138.0,67.0
211,1.0,138.0,67.0
212,2.0,120.0,81.0
213,2.0,120.0,81.0
214,1.0,111.0,96.0
215,1.0,111.0,96.0
216,3.0,121.0,106.0
217,3.0,121.0,106.0
218,6.0,159.0,132.0
219,6.0,159.0,132.0
220,7.0,145.0,145.0
221,7.0,145.0,145.0
222,1.0,77.0,80.0
223,1.0,77.0,80.0
224,9.0,73.0,66.0
225,9.0,73.0,66.0
226,8.0,76.0,62.0
227,8.0,76.0,62.0
228,12.0,51.0,76.0
229,12.0,51.0,76.0
230,13.0,52.0,79.0
231,13.0,52.0,79.0
232,14.0,83.0,81.0
233,14.0,83.0,81.0
234,15.0,103.0,76.0
235,15.0,103.0,76.0
236,12.0,78.0,60.0
237,12.0,78.0,60.0
238,17.0,218.0,31.0
239,17.0,218.0,31.0
240,25.0,331.0,24.0
241,25.0,331.0,24.0
242,22.0,230.0,18.0
243,22.0,230.0,18.0
244,19.0,83.0,16.0
245,19.0,83.0,16.0
246,16.0,96.0,16.0
247,16.0,96.0,16.0
248,15.0,141.0,10.0
249,15.0,141.0,10.0
250,17.0,86.0,9.0
251,17.0,86.0,9.0
252,26.0,64.0,7.0
253,26.0,64.0,7.0
254,0.0,73.0,6.0
255,0.0,73.0,6.0
256,4.0,70.0,7.0
257,4.0,70.0,7.0
258,3.0,88.0,11.0
259,3.0,88.0,11.0
260,2.0,106.0,15.0
261,2.0,106.0,15.0
262,5.0,99.0,13.0
263,5.0,99.0,13.0
264,5.0,89.0,15.0
265,5.0,89.0,15.0
266,5.0,70.0,19.0
267,5.0,70.0,19.0
268,7.0,64.0,10.0
269,7.0,64.0,10.0
270,15.0,66.0,10.0
271,15.0,66.0,10.0
272,38.0,85.0,18.0
273,38.0,85.0,18.0
274,38.0,96.0,32.0
275,38.0,96.0,32.0
276,38.0,96.0,32.0
277,0.0,87.0,28.0
278,0.0,87.0,28.0
279,0.0,66.0,24.0
