,hospital-er-wait-minutes-piedmont_atlanta,hospital-er-wait-minutes-piedmont_fayette,hospital-er-wait-minutes-piedmont_henry,hospital-er-wait-minutes-piedmont_newton,hospital-er-wait-minutes-piedmont_athens,hospital-er-wait-minutes-piedmont_rockdale,hospital-er-wait-minutes-piedmont_newnan,hospital-er-wait-minutes-piedmont_walton,hospital-er-wait-minutes-piedmont_mountainside,hospital-er-wait-minutes-piedmont_mountside_ellijay
0,14.0,46.0,289.0,433.0,19.0,373.0,30.0,9.0,49.0,17.0
1,5.0,38.0,289.0,255.0,24.0,373.0,33.0,17.0,67.0,13.0
2,5.0,38.0,309.0,255.0,24.0,404.0,33.0,17.0,67.0,13.0
3,10.0,44.0,309.0,402.0,21.0,404.0,30.0,19.0,77.0,24.0
4,10.0,44.0,296.0,402.0,21.0,325.0,30.0,19.0,77.0,24.0
5,10.0,49.0,296.0,377.0,23.0,325.0,28.0,26.0,82.0,45.0
6,10.0,49.0,228.0,377.0,23.0,304.0,28.0,26.0,82.0,45.0
7,9.0,66.0,228.0,385.0,34.0,304.0,30.0,42.0,17.0,86.0
8,9.0,66.0,251.0,385.0,34.0,248.0,30.0,42.0,17.0,86.0
9,7.0,96.0,251.0,432.0,46.0,248.0,14.0,49.0,19.0,91.0
10,7.0,96.0,219.0,432.0,46.0,217.0,14.0,49.0,19.0,91.0
11,9.0,76.0,219.0,301.0,46.0,217.0,11.0,22.0,22.0,102.0
12,9.0,76.0,185.0,301.0,46.0,263.0,11.0,22.0,22.0,102.0
13,16.0,55.0,185.0,496.0,51.0,263.0,14.0,11.0,42.0,98.0
14,16.0,55.0,205.0,496.0,51.0,152.0,14.0,11.0,42.0,98.0
15,16.0,65.0,205.0,589.0,51.0,152.0,15.0,9.0,60.0,103.0
16,16.0,65.0,209.0,589.0,51.0,158.0,15.0,9.0,60.0,103.0
17,13.0,89.0,209.0,396.0,47.0,158.0,20.0,7.0,40.0,117.0
18,13.0,89.0,204.0,396.0,47.0,250.0,20.0,7.0,40.0,117.0
19,11.0,110.0,204.0,344.0,43.0,250.0,30.0,7.0,38.0,97.0
20,11.0,110.0,219.0,344.0,43.0,278.0,30.0,7.0,38.0,97.0
21,10.0,110.0,219.0,328.0,48.0,278.0,36.0,6.0,58.0,95.0
22,10.0,110.0,233.0,328.0,48.0,258.0,36.0,6.0,58.0,95.0
23,7.0,114.0,233.0,281.0,52.0,258.0,24.0,6.0,83.0,82.0
24,7.0,114.0,289.0,281.0,52.0,420.0,24.0,6.0,83.0,82.0
25,8.0,125.0,289.0,338.0,51.0,420.0,22.0,9.0,90.0,133.0
26,8.0,125.0,270.0,338.0,51.0,244.0,22.0,9.0,90.0,133.0
27,13.0,112.0,270.0,389.0,72.0,244.0,38.0,4.0,118.0,135.0
28,13.0,112.0,266.0,389.0,72.0,145.0,38.0,4.0,118.0,135.0
29,13.0,121.0,266.0,342.0,76.0,145.0,35.0,1.0,121.0,142.0
30,13.0,121.0,238.0,342.0,76.0,165.0,35.0,1.0,121.0,142.0
31,14.0,161.0,238.0,303.0,65.0,165.0,42.0,1.0,108.0,116.0
32,14.0,161.0,243.0,303.0,65.0,188.0,42.0,1.0,108.0,116.0
33,14.0,188.0,243.0,237.0,67.0,188.0,54.0,4.0,68.0,106.0
34,14.0,188.0,233.0,237.0,67.0,240.0,54.0,4.0,68.0,106.0
35,25.0,171.0,233.0,255.0,43.0,240.0,77.0,5.0,34.0,253.0
36,25.0,171.0,207.0,255.0,43.0,239.0,77.0,5.0,34.0,253.0
37,37.0,175.0,207.0,251.0,30.0,239.0,50.0,8.0,19.0,207.0
38,37.0,175.0,229.0,251.0,30.0,287.0,50.0,8.0,19.0,207.0
39,38.0,172.0,229.0,280.0,27.0,287.0,51.0,3.0,11.0,123.0
40,38.0,172.0,198.0,280.0,27.0,335.0,51.0,3.0,11.0,123.0
41,42.0,164.0,198.0,261.0,20.0,335.0,88.0,1.0,11.0,85.0
42,42.0,164.0,203.0,261.0,20.0,270.0,88.0,1.0,11.0,85.0
43,60.0,146.0,203.0,248.0,23.0,270.0,90.0,1.0,9.0,75.0
44,60.0,146.0,421.0,248.0,23.0,238.0,90.0,1.0,9.0,75.0
45,103.0,125.0,421.0,309.0,30.0,238.0,95.0,2.0,21.0,138.0
46,103.0,125.0,267.0,309.0,30.0,205.0,95.0,2.0,21.0,138.0
47,108.0,114.0,267.0,169.0,27.0,205.0,112.0,5.0,12.0,0.0
48,108.0,114.0,175.0,169.0,27.0,273.0,112.0,5.0,12.0,0.0
49,117.0,74.0,175.0,188.0,30.0,273.0,127.0,6.0,16.0,0.0
50,117.0,74.0,187.0,188.0,30.0,291.0,127.0,6.0,16.0,0.0
51,130.0,101.0,187.0,174.0,39.0,291.0,133.0,2.0,25.0,0.0
52,130.0,101.0,224.0,174.0,39.0,305.0,133.0,2.0,25.0,0.0
53,150.0,99.0,224.0,181.0,29.0,305.0,140.0,3.0,28.0,0.0
54,150.0,99.0,210.0,181.0,29.0,340.0,140.0,3.0,28.0,0.0
55,164.0,105.0,210.0,104.0,18.0,340.0,0.0,6.0,36.0,0.0
56,164.0,105.0,284.0,104.0,18.0,380.0,0.0,6.0,36.0,0.0
57,178.0,135.0,284.0,127.0,18.0,380.0,0.0,0.0,0.0,0.0
58,178.0,135.0,287.0,127.0,18.0,441.0,0.0,0.0,0.0,0.0
59,194.0,157.0,287.0,125.0,20.0,441.0,12.0,0.0,0.0,0.0
60,194.0,157.0,212.0,125.0,20.0,525.0,12.0,0.0,0.0,0.0
61,210.0,140.0,212.0,210.0,38.0,525.0,12.0,0.0,0.0,0.0
62,210.0,140.0,67.0,210.0,38.0,500.0,12.0,0.0,0.0,0.0
63,258.0,166.0,67.0,188.0,65.0,500.0,18.0,12.0,0.0,0.0
64,258.0,166.0,83.0,188.0,65.0,198.0,18.0,12.0,0.0,0.0
65,266.0,226.0,83.0,243.0,71.0,198.0,29.0,10.0,0.0,0.0
66,266.0,226.0,194.0,243.0,71.0,223.0,29.0,10.0,0.0,0.0
67,242.0,216.0,194.0,163.0,90.0,223.0,29.0,9.0,18.0,0.0
68,242.0,216.0,117.0,163.0,90.0,209.0,29.0,9.0,18.0,0.0
69,252.0,219.0,117.0,294.0,54.0,209.0,4.0,13.0,18.0,0.0
70,252.0,219.0,101.0,294.0,54.0,275.0,4.0,13.0,18.0,0.0
71,192.0,245.0,101.0,240.0,26.0,275.0,4.0,12.0,18.0,0.0
72,192.0,245.0,169.0,240.0,26.0,293.0,4.0,12.0,18.0,0.0
73,155.0,217.0,169.0,179.0,22.0,293.0,5.0,11.0,0.0,14.0
74,155.0,217.0,161.0,179.0,22.0,279.0,5.0,11.0,0.0,14.0
75,81.0,162.0,161.0,229.0,22.0,279.0,5.0,14.0,0.0,12.0
76,81.0,162.0,136.0,229.0,22.0,182.0,5.0,14.0,0.0,12.0
77,84.0,76.0,136.0,548.0,26.0,182.0,5.0,2.0,1.0,12.0
78,84.0,76.0,84.0,548.0,26.0,90.0,5.0,2.0,1.0,12.0
79,68.0,28.0,84.0,548.0,20.0,90.0,4.0,4.0,10.0,4.0
80,68.0,28.0,73.0,548.0,20.0,82.0,4.0,4.0,10.0,4.0
81,19.0,33.0,73.0,198.0,16.0,82.0,6.0,7.0,14.0,16.0
82,19.0,33.0,51.0,198.0,16.0,74.0,6.0,7.0,14.0,16.0
83,24.0,33.0,51.0,189.0,16.0,74.0,7.0,5.0,15.0,17.0
84,24.0,33.0,46.0,189.0,16.0,72.0,7.0,5.0,15.0,17.0
85,31.0,49.0,46.0,134.0,14.0,72.0,6.0,12.0,23.0,21.0
86,31.0,49.0,53.0,134.0,14.0,43.0,6.0,12.0,23.0,21.0
87,37.0,45.0,53.0,177.0,20.0,43.0,2.0,22.0,25.0,19.0
88,37.0,45.0,62.0,177.0,20.0,50.0,2.0,22.0,25.0,19.0
89,53.0,45.0,62.0,176.0,21.0,50.0,1.0,29.0,21.0,8.0
90,53.0,45.0,75.0,176.0,21.0,87.0,1.0,29.0,21.0,8.0
91,53.0,55.0,75.0,143.0,22.0,87.0,7.0,32.0,18.0,9.0
92,53.0,55.0,85.0,143.0,22.0,90.0,7.0,32.0,18.0,9.0
93,45.0,59.0,85.0,135.0,29.0,90.0,9.0,21.0,23.0,16.0
94,45.0,59.0,75.0,135.0,29.0,106.0,9.0,21.0,23.0,16.0
