,hospital-er-wait-minutes-piedmont_walton,hospital-er-wait-minutes-piedmont_mountainside,hospital-er-wait-minutes-piedmont_atlanta,hospital-er-wait-minutes-piedmont_newton,hospital-er-wait-minutes-piedmont_rockdale,hospital-er-wait-minutes-piedmont_fayette,hospital-er-wait-minutes-piedmont_henry,hospital-er-wait-minutes-piedmont_athens,hospital-er-wait-minutes-piedmont_newnan,hospital-er-wait-minutes-piedmont_mountside_ellijay
0,7.0,12.0,15.0,8.0,25.0,50.0,32.0,22.0,15.0,12.0
1,7.0,12.0,15.0,8.0,25.0,50.0,32.0,22.0,15.0,12.0
2,11.0,7.0,17.0,21.0,13.0,53.0,40.0,21.0,5.0,20.0
3,11.0,7.0,17.0,21.0,13.0,53.0,40.0,21.0,5.0,20.0
4,10.0,8.0,25.0,19.0,20.0,56.0,41.0,29.0,5.0,37.0
5,10.0,8.0,25.0,19.0,20.0,56.0,41.0,29.0,5.0,37.0
6,5.0,9.0,21.0,10.0,18.0,30.0,47.0,40.0,4.0,26.0
7,5.0,9.0,21.0,10.0,18.0,30.0,47.0,40.0,4.0,26.0
8,6.0,13.0,13.0,10.0,25.0,32.0,46.0,31.0,7.0,15.0
9,6.0,13.0,13.0,10.0,25.0,32.0,46.0,31.0,7.0,15.0
10,7.0,13.0,13.0,15.0,34.0,44.0,48.0,25.0,8.0,11.0
11,7.0,13.0,13.0,15.0,34.0,44.0,48.0,25.0,8.0,11.0
12,5.0,19.0,6.0,21.0,24.0,45.0,46.0,26.0,8.0,30.0
13,5.0,19.0,6.0,21.0,24.0,45.0,46.0,26.0,8.0,30.0
14,4.0,23.0,7.0,21.0,14.0,52.0,43.0,25.0,11.0,57.0
15,4.0,23.0,7.0,21.0,14.0,52.0,43.0,25.0,11.0,57.0
16,4.0,27.0,10.0,26.0,26.0,47.0,53.0,27.0,8.0,43.0
17,4.0,27.0,10.0,26.0,26.0,47.0,53.0,27.0,8.0,43.0
18,5.0,19.0,15.0,25.0,35.0,50.0,59.0,30.0,3.0,10.0
19,5.0,19.0,15.0,25.0,35.0,50.0,59.0,30.0,3.0,10.0
20,6.0,14.0,14.0,27.0,30.0,57.0,67.0,28.0,3.0,17.0
21,6.0,14.0,14.0,27.0,30.0,57.0,67.0,28.0,3.0,17.0
22,6.0,25.0,11.0,33.0,39.0,59.0,98.0,26.0,1.0,17.0
23,6.0,25.0,11.0,33.0,39.0,59.0,98.0,26.0,1.0,17.0
24,3.0,5.0,9.0,40.0,59.0,69.0,94.0,23.0,1.0,27.0
25,3.0,5.0,9.0,40.0,59.0,69.0,94.0,23.0,1.0,27.0
26,2.0,11.0,8.0,48.0,72.0,82.0,84.0,17.0,1.0,33.0
27,2.0,11.0,8.0,48.0,72.0,82.0,84.0,17.0,1.0,33.0
28,2.0,19.0,16.0,63.0,126.0,77.0,86.0,18.0,3.0,41.0
29,2.0,19.0,16.0,63.0,126.0,77.0,86.0,18.0,3.0,41.0
30,4.0,26.0,16.0,87.0,116.0,53.0,87.0,17.0,4.0,77.0
31,4.0,26.0,16.0,87.0,116.0,53.0,87.0,17.0,4.0,77.0
32,3.0,23.0,11.0,104.0,81.0,52.0,106.0,17.0,4.0,108.0
33,3.0,23.0,11.0,104.0,81.0,52.0,106.0,17.0,4.0,108.0
34,3.0,20.0,7.0,72.0,81.0,59.0,101.0,18.0,9.0,89.0
35,3.0,20.0,7.0,72.0,81.0,59.0,101.0,18.0,9.0,89.0
36,8.0,24.0,9.0,60.0,97.0,80.0,104.0,19.0,15.0,57.0
37,8.0,24.0,9.0,60.0,97.0,80.0,104.0,19.0,15.0,57.0
38,9.0,30.0,18.0,33.0,129.0,79.0,113.0,23.0,13.0,25.0
39,9.0,30.0,18.0,33.0,129.0,79.0,113.0,23.0,13.0,25.0
40,1.0,35.0,19.0,37.0,139.0,72.0,100.0,30.0,17.0,30.0
41,1.0,35.0,19.0,37.0,139.0,72.0,100.0,30.0,17.0,30.0
42,3.0,34.0,24.0,24.0,132.0,66.0,102.0,29.0,23.0,49.0
43,3.0,34.0,24.0,24.0,132.0,66.0,102.0,29.0,23.0,49.0
44,5.0,38.0,33.0,29.0,99.0,76.0,141.0,24.0,27.0,61.0
45,5.0,38.0,33.0,29.0,99.0,76.0,141.0,24.0,27.0,61.0
46,3.0,49.0,36.0,46.0,105.0,100.0,98.0,20.0,36.0,65.0
47,3.0,49.0,36.0,46.0,105.0,100.0,98.0,20.0,36.0,65.0
48,1.0,56.0,46.0,47.0,78.0,96.0,96.0,23.0,38.0,46.0
49,1.0,56.0,46.0,47.0,78.0,96.0,96.0,23.0,38.0,46.0
50,2.0,54.0,71.0,64.0,93.0,97.0,87.0,20.0,51.0,31.0
51,2.0,54.0,71.0,64.0,93.0,97.0,87.0,20.0,51.0,31.0
52,2.0,61.0,64.0,104.0,108.0,89.0,87.0,17.0,83.0,48.0
53,2.0,61.0,64.0,104.0,108.0,89.0,87.0,17.0,83.0,48.0
54,1.0,58.0,69.0,113.0,96.0,56.0,74.0,18.0,56.0,68.0
55,1.0,58.0,69.0,113.0,96.0,56.0,74.0,18.0,56.0,68.0
56,1.0,63.0,79.0,112.0,104.0,67.0,55.0,24.0,25.0,27.0
57,1.0,63.0,79.0,112.0,104.0,67.0,55.0,24.0,25.0,27.0
58,0.0,79.0,90.0,121.0,116.0,93.0,75.0,40.0,7.0,11.0
59,0.0,79.0,90.0,121.0,116.0,93.0,75.0,40.0,7.0,11.0
60,1.0,117.0,105.0,189.0,107.0,106.0,74.0,55.0,18.0,45.0
61,1.0,117.0,105.0,189.0,107.0,106.0,74.0,55.0,18.0,45.0
62,1.0,111.0,105.0,159.0,148.0,121.0,74.0,56.0,12.0,45.0
63,1.0,111.0,105.0,159.0,148.0,121.0,74.0,56.0,12.0,45.0
64,1.0,0.0,2.0,159.0,154.0,136.0,53.0,56.0,3.0,0.0
65,1.0,0.0,2.0,159.0,154.0,136.0,53.0,56.0,3.0,0.0
66,2.0,0.0,2.0,97.0,162.0,172.0,53.0,50.0,9.0,0.0
67,2.0,0.0,2.0,97.0,162.0,172.0,53.0,50.0,9.0,0.0
68,2.0,0.0,1.0,106.0,124.0,146.0,40.0,39.0,8.0,2.0
69,2.0,0.0,1.0,106.0,124.0,146.0,40.0,39.0,8.0,2.0
70,1.0,5.0,0.0,113.0,10.0,120.0,40.0,30.0,6.0,32.0
