,hospital-er-wait-minutes-piedmont_newton,hospital-er-wait-minutes-piedmont_fayette,hospital-er-wait-minutes-piedmont_henry,hospital-er-wait-minutes-piedmont_atlanta,hospital-er-wait-minutes-piedmont_mountside_ellijay,hospital-er-wait-minutes-piedmont_walton,hospital-er-wait-minutes-piedmont_rockdale,hospital-er-wait-minutes-piedmont_newnan,hospital-er-wait-minutes-piedmont_mountainside,hospital-er-wait-minutes-piedmont_athens
0,80.0,71.0,66.0,46.0,210.0,5.0,49.0,3.0,185.0,40.0
1,80.0,71.0,66.0,46.0,210.0,5.0,49.0,3.0,185.0,40.0
2,106.0,72.0,61.0,52.0,159.0,5.0,61.0,1.0,146.0,56.0
3,106.0,72.0,61.0,52.0,159.0,5.0,61.0,1.0,146.0,56.0
4,93.0,70.0,57.0,58.0,112.0,5.0,55.0,1.0,129.0,51.0
5,93.0,70.0,57.0,58.0,112.0,5.0,55.0,1.0,129.0,51.0
6,71.0,70.0,46.0,51.0,126.0,4.0,53.0,1.0,125.0,53.0
7,71.0,70.0,46.0,51.0,126.0,4.0,53.0,1.0,125.0,53.0
8,62.0,75.0,50.0,48.0,84.0,4.0,74.0,3.0,126.0,60.0
9,62.0,75.0,50.0,48.0,84.0,4.0,74.0,3.0,126.0,60.0
10,61.0,81.0,57.0,51.0,93.0,3.0,65.0,6.0,103.0,75.0
11,61.0,81.0,57.0,51.0,93.0,3.0,65.0,6.0,103.0,75.0
12,68.0,84.0,80.0,42.0,115.0,2.0,75.0,3.0,124.0,96.0
13,68.0,84.0,80.0,42.0,115.0,2.0,75.0,3.0,124.0,96.0
14,29.0,86.0,91.0,38.0,133.0,3.0,91.0,3.0,118.0,114.0
15,29.0,86.0,91.0,38.0,133.0,3.0,91.0,3.0,118.0,114.0
16,24.0,85.0,97.0,20.0,106.0,5.0,135.0,5.0,79.0,120.0
17,24.0,85.0,97.0,20.0,106.0,5.0,135.0,5.0,79.0,120.0
18,25.0,91.0,105.0,11.0,90.0,6.0,117.0,8.0,78.0,111.0
