,hospital-er-wait-minutes-piedmont_henry,hospital-er-wait-minutes-piedmont_athens,hospital-er-wait-minutes-piedmont_mountainside,hospital-er-wait-minutes-piedmont_newton,hospital-er-wait-minutes-piedmont_atlanta,hospital-er-wait-minutes-piedmont_fayette,hospital-er-wait-minutes-piedmont_mountside_ellijay,hospital-er-wait-minutes-piedmont_walton,hospital-er-wait-minutes-piedmont_rockdale,hospital-er-wait-minutes-piedmont_newnan
0,67.0,43.0,35.0,26.0,48.0,46.0,28.0,3.0,14.0,14.0
1,67.0,41.0,60.0,24.0,30.0,58.0,0.0,3.0,14.0,20.0
2,62.0,41.0,60.0,24.0,30.0,58.0,0.0,3.0,14.0,20.0
3,62.0,37.0,89.0,21.0,22.0,71.0,15.0,3.0,21.0,11.0
4,61.0,37.0,89.0,21.0,22.0,71.0,15.0,3.0,21.0,11.0
5,61.0,35.0,66.0,16.0,12.0,69.0,15.0,3.0,37.0,4.0
6,69.0,35.0,66.0,16.0,12.0,69.0,15.0,3.0,37.0,4.0
7,69.0,30.0,79.0,21.0,9.0,62.0,0.0,2.0,58.0,4.0
8,70.0,30.0,79.0,21.0,9.0,62.0,0.0,2.0,58.0,4.0
9,70.0,34.0,89.0,28.0,15.0,60.0,4.0,4.0,63.0,6.0
10,64.0,34.0,89.0,28.0,15.0,60.0,4.0,4.0,63.0,6.0
11,64.0,47.0,61.0,37.0,18.0,71.0,15.0,6.0,55.0,6.0
12,49.0,47.0,61.0,37.0,18.0,71.0,15.0,6.0,55.0,6.0
13,49.0,48.0,65.0,43.0,20.0,77.0,9.0,2.0,75.0,3.0
14,50.0,48.0,65.0,43.0,20.0,77.0,9.0,2.0,75.0,3.0
15,50.0,58.0,94.0,52.0,19.0,84.0,12.0,1.0,114.0,3.0
16,61.0,58.0,94.0,52.0,19.0,84.0,12.0,1.0,114.0,3.0
17,61.0,37.0,132.0,69.0,21.0,99.0,25.0,2.0,104.0,3.0
18,77.0,37.0,132.0,69.0,21.0,99.0,25.0,2.0,104.0,3.0
19,77.0,27.0,161.0,60.0,22.0,105.0,12.0,2.0,93.0,6.0
20,85.0,27.0,161.0,60.0,22.0,105.0,12.0,2.0,93.0,6.0
21,85.0,27.0,160.0,64.0,27.0,114.0,20.0,3.0,63.0,8.0
22,107.0,27.0,160.0,64.0,27.0,114.0,20.0,3.0,63.0,8.0
23,107.0,27.0,91.0,87.0,32.0,117.0,22.0,3.0,88.0,1.0
24,49.0,27.0,91.0,87.0,32.0,117.0,22.0,3.0,88.0,1.0
25,49.0,23.0,124.0,68.0,21.0,113.0,0.0,3.0,134.0,1.0
26,41.0,23.0,124.0,68.0,21.0,113.0,0.0,3.0,134.0,1.0
27,41.0,27.0,93.0,44.0,22.0,108.0,14.0,2.0,83.0,1.0
28,50.0,27.0,93.0,44.0,22.0,108.0,14.0,2.0,83.0,1.0
29,50.0,36.0,70.0,46.0,30.0,104.0,27.0,4.0,95.0,1.0
30,65.0,36.0,70.0,46.0,30.0,104.0,27.0,4.0,95.0,1.0
31,65.0,41.0,93.0,37.0,34.0,87.0,15.0,6.0,109.0,2.0
32,83.0,41.0,93.0,37.0,34.0,87.0,15.0,6.0,109.0,2.0
33,83.0,34.0,123.0,43.0,28.0,73.0,9.0,4.0,109.0,5.0
34,100.0,34.0,123.0,43.0,28.0,73.0,9.0,4.0,109.0,5.0
