,traffic-nj511-minutes-nj_turnpike_exit_14_to_nj_turnpike_exit_18w,traffic-nj511-minutes-ny_side_to_nj_turnpike_exit_14c,traffic-nj511-minutes-nj_turnpike_exit_18w_to_gw_bridge_via_local_lanes,traffic-nj511-minutes-nj_turnpike_exit_14_to_nj_turnpike_exit_8a,traffic-nj511-minutes-i-95_from_the_delaware_side_to_nj_turnpike_exit_1,traffic-nj511-minutes-nj_turnpike_exit_18w_to_nj_turnpike_exit_14,traffic-nj511-minutes-nj_turnpike_exit_18w_to_gw_bridge_via_express_lanes,traffic-nj511-minutes-nj_turnpike_exit_6_to_nj_turnpike_exit_1,traffic-nj511-minutes-nj_turnpike_exit_1_to_nj_turnpike_exit_6,traffic-nj511-minutes-nj_turnpike_from_exit_1_to_delaware,traffic-nj511-minutes-nj_turnpike_exit_8a_to_nj_turnpike_exit_14,traffic-nj511-minutes-gw_bridge_to_nj_turnpike_exit_18w_via_local_lanes,traffic-nj511-minutes-nj_turnpike_from_exit_14c_to_the_ny_side,traffic-nj511-minutes-gw_bridge_to_nj_turnpike_exit_18w_via_express_lanes
0,13.0,12.0,66.0,31.0,8.0,8.0,57.0,47.0,46.0,8.0,34.0,21.0,29.0,12.0
1,13.0,13.0,66.0,31.0,8.0,8.0,58.0,47.0,46.0,8.0,33.0,21.0,33.0,11.0
2,13.0,13.0,66.0,31.0,8.0,8.0,59.0,47.0,46.0,8.0,33.0,23.0,32.0,12.0
3,12.0,14.0,66.0,31.0,8.0,8.0,62.0,47.0,46.0,8.0,35.0,23.0,33.0,11.0
4,12.0,14.0,59.0,31.0,8.0,8.0,66.0,47.0,46.0,8.0,35.0,23.0,31.0,11.0
5,12.0,12.0,59.0,31.0,8.0,8.0,63.0,47.0,46.0,8.0,35.0,24.0,33.0,11.0
6,11.0,13.0,62.0,31.0,8.0,8.0,59.0,47.0,46.0,8.0,35.0,25.0,28.0,11.0
7,11.0,14.0,56.0,31.0,8.0,8.0,55.0,47.0,46.0,8.0,35.0,21.0,29.0,11.0
8,11.0,13.0,60.0,31.0,8.0,8.0,55.0,47.0,46.0,8.0,35.0,17.0,29.0,11.0
9,11.0,13.0,60.0,31.0,8.0,8.0,52.0,47.0,46.0,8.0,33.0,18.0,29.0,11.0
10,11.0,13.0,64.0,31.0,8.0,8.0,53.0,47.0,46.0,8.0,33.0,21.0,28.0,11.0
11,11.0,13.0,66.0,31.0,8.0,8.0,51.0,47.0,46.0,8.0,31.0,21.0,23.0,11.0
12,11.0,13.0,65.0,31.0,8.0,8.0,51.0,47.0,46.0,8.0,31.0,16.0,23.0,11.0
13,11.0,12.0,65.0,31.0,8.0,8.0,52.0,47.0,46.0,9.0,32.0,17.0,28.0,10.0
14,11.0,12.0,59.0,31.0,8.0,8.0,55.0,47.0,46.0,10.0,33.0,19.0,27.0,10.0
15,11.0,12.0,59.0,31.0,8.0,8.0,55.0,47.0,46.0,10.0,32.0,19.0,31.0,10.0
16,11.0,13.0,59.0,31.0,8.0,8.0,54.0,47.0,46.0,10.0,32.0,18.0,27.0,10.0
17,11.0,13.0,57.0,31.0,8.0,8.0,55.0,47.0,46.0,10.0,33.0,20.0,28.0,10.0
18,11.0,14.0,57.0,31.0,8.0,8.0,53.0,47.0,46.0,9.0,33.0,20.0,29.0,10.0
19,11.0,14.0,56.0,31.0,8.0,8.0,56.0,47.0,46.0,9.0,32.0,19.0,26.0,10.0
