,traffic-nj511-minutes-harlem_river_drive_from_the_triborough_bridge_to_i-80_via_the_lower_level,traffic-nj511-minutes-harlem_river_drive_from_the_triborough_bridge_to_i-80_via_the_upper_level,traffic-nj511-minutes-i-87_from_the_triborough_bridge_to_i-80_via_the_upper_level,traffic-nj511-minutes-i-87_from_the_triborough_bridge_to_i-80_via_the_lower_level
0,44.0,44.0,37.0,36.0
1,38.0,39.0,41.0,39.0
2,39.0,38.0,41.0,40.0
3,36.0,36.0,41.0,39.0
4,35.0,35.0,45.0,44.0
5,33.0,33.0,45.0,44.0
6,34.0,34.0,44.0,43.0
7,31.0,31.0,44.0,44.0
8,32.0,32.0,47.0,46.0
9,31.0,32.0,44.0,43.0
10,30.0,32.0,44.0,42.0
11,28.0,29.0,43.0,43.0
12,25.0,27.0,40.0,38.0
13,27.0,31.0,39.0,38.0
14,26.0,30.0,39.0,38.0
15,27.0,31.0,36.0,35.0
16,30.0,33.0,38.0,38.0
17,26.0,31.0,41.0,40.0
18,23.0,27.0,38.0,37.0
19,23.0,27.0,38.0,36.0
20,25.0,28.0,35.0,33.0
21,26.0,30.0,36.0,32.0
22,20.0,24.0,37.0,32.0
23,19.0,23.0,34.0,29.0
24,20.0,24.0,32.0,28.0
25,20.0,24.0,29.0,25.0
26,20.0,25.0,32.0,26.0
27,18.0,22.0,31.0,25.0
28,21.0,24.0,28.0,24.0
29,19.0,22.0,29.0,25.0
30,17.0,20.0,30.0,25.0
31,19.0,23.0,27.0,22.0
32,22.0,25.0,27.0,23.0
33,21.0,25.0,32.0,27.0
34,22.0,24.0,31.0,25.0
35,25.0,28.0,31.0,25.0
36,27.0,29.0,30.0,25.0
37,27.0,29.0,30.0,26.0
38,29.0,32.0,29.0,26.0
39,28.0,31.0,28.0,24.0
40,27.0,31.0,27.0,24.0
41,28.0,31.0,25.0,21.0
42,24.0,27.0,23.0,19.0
43,19.0,23.0,21.0,18.0
44,18.0,22.0,21.0,18.0
45,15.0,17.0,22.0,18.0
46,16.0,18.0,22.0,18.0
47,16.0,18.0,20.0,18.0
48,17.0,18.0,21.0,17.0
49,16.0,17.0,22.0,18.0
50,15.0,16.0,21.0,18.0
51,16.0,17.0,22.0,18.0
52,16.0,17.0,22.0,18.0
53,16.0,17.0,25.0,21.0
54,14.0,15.0,26.0,23.0
55,12.0,14.0,27.0,24.0
56,12.0,13.0,25.0,23.0
57,11.0,12.0,25.0,23.0
58,11.0,12.0,23.0,22.0
59,11.0,13.0,21.0,20.0
60,12.0,13.0,20.0,18.0
61,12.0,13.0,18.0,16.0
62,13.0,14.0,15.0,14.0
63,14.0,15.0,14.0,13.0
64,14.0,15.0,15.0,13.0
65,14.0,15.0,15.0,14.0
66,15.0,16.0,14.0,13.0
67,16.0,15.0,13.0,12.0
68,16.0,17.0,14.0,12.0
69,21.0,20.0,14.0,12.0
70,22.0,22.0,13.0,12.0
71,22.0,23.0,14.0,13.0
72,22.0,22.0,14.0,14.0
73,18.0,18.0,14.0,14.0
74,18.0,19.0,14.0,14.0
75,18.0,19.0,15.0,14.0
76,18.0,19.0,16.0,15.0
77,17.0,18.0,17.0,16.0
78,16.0,18.0,16.0,16.0
79,17.0,18.0,21.0,19.0
80,16.0,18.0,23.0,22.0
81,16.0,18.0,23.0,22.0
82,13.0,15.0,29.0,26.0
83,14.0,16.0,30.0,27.0
84,15.0,16.0,31.0,29.0
85,13.0,14.0,30.0,28.0
86,14.0,16.0,31.0,29.0
87,14.0,15.0,29.0,27.0
88,13.0,14.0,27.0,25.0
89,14.0,15.0,25.0,22.0
90,13.0,14.0,25.0,22.0
91,13.0,15.0,24.0,23.0
92,13.0,15.0,22.0,21.0
93,13.0,14.0,22.0,20.0
94,13.0,14.0,24.0,22.0
95,13.0,14.0,24.0,22.0
