,traffic-nj511-minutes-harlem_river_drive_from_the_triborough_bridge_to_i-80_via_the_upper_level,traffic-nj511-minutes-i-87_from_the_triborough_bridge_to_i-80_via_the_lower_level,traffic-nj511-minutes-i-87_from_the_triborough_bridge_to_i-80_via_the_upper_level,traffic-nj511-minutes-harlem_river_drive_from_the_triborough_bridge_to_i-80_via_the_lower_level
0,12.0,28.0,13.0,15.0
1,12.0,30.0,13.0,16.0
2,12.0,29.0,14.0,16.0
3,12.0,28.0,14.0,16.0
4,12.0,28.0,13.0,15.0
5,11.0,26.0,13.0,15.0
6,11.0,28.0,13.0,15.0
7,11.0,26.0,13.0,14.0
8,12.0,26.0,14.0,15.0
9,12.0,26.0,14.0,15.0
10,12.0,30.0,16.0,15.0
11,12.0,28.0,15.0,13.0
12,12.0,30.0,15.0,13.0
13,12.0,32.0,13.0,13.0
14,12.0,31.0,13.0,14.0
15,11.0,29.0,13.0,14.0
16,11.0,29.0,12.0,14.0
17,11.0,32.0,12.0,14.0
18,11.0,35.0,13.0,13.0
19,12.0,33.0,13.0,13.0
20,12.0,32.0,14.0,14.0
21,12.0,35.0,14.0,13.0
22,12.0,33.0,14.0,14.0
23,12.0,43.0,14.0,15.0
24,12.0,41.0,14.0,15.0
25,12.0,40.0,14.0,16.0
26,13.0,36.0,14.0,16.0
27,12.0,34.0,14.0,15.0
28,12.0,36.0,14.0,15.0
29,13.0,33.0,14.0,16.0
30,13.0,32.0,15.0,17.0
31,13.0,36.0,15.0,17.0
32,13.0,38.0,15.0,18.0
33,12.0,36.0,14.0,18.0
34,12.0,36.0,14.0,19.0
35,12.0,38.0,13.0,19.0
36,12.0,38.0,13.0,21.0
37,12.0,44.0,12.0,21.0
38,12.0,45.0,13.0,19.0
39,12.0,45.0,13.0,19.0
40,12.0,43.0,13.0,19.0
41,12.0,44.0,13.0,18.0
42,12.0,48.0,13.0,20.0
43,11.0,45.0,13.0,20.0
44,12.0,42.0,13.0,21.0
45,11.0,38.0,12.0,21.0
46,11.0,40.0,12.0,21.0
47,11.0,39.0,12.0,18.0
48,11.0,41.0,12.0,18.0
49,11.0,42.0,12.0,20.0
50,11.0,40.0,12.0,19.0
51,11.0,47.0,12.0,19.0
52,11.0,45.0,12.0,20.0
53,11.0,44.0,12.0,19.0
54,11.0,46.0,12.0,19.0
