,traffic-nj511-minutes-i-87_from_the_triborough_bridge_to_i-80_via_the_lower_level,traffic-nj511-minutes-i-87_from_west_230th_street_to_i-80_via_the_upper_level,traffic-nj511-minutes-i-87_from_west_230th_street_to_i-80_via_the_lower_level,traffic-nj511-minutes-harlem_river_drive_from_the_triborough_bridge_to_i-80_via_the_upper_level,traffic-nj511-minutes-harlem_river_drive_from_the_triborough_bridge_to_i-80_via_the_lower_level,traffic-nj511-minutes-i-87_from_the_triborough_bridge_to_i-80_via_the_upper_level
0,22.0,21.0,20.0,22.0,21.0,23.0
1,19.0,21.0,20.0,22.0,21.0,20.0
2,20.0,21.0,20.0,22.0,20.0,21.0
3,20.0,20.0,18.0,22.0,20.0,22.0
4,19.0,19.0,17.0,22.0,20.0,21.0
5,19.0,17.0,16.0,21.0,20.0,21.0
6,19.0,15.0,15.0,19.0,18.0,20.0
7,19.0,14.0,13.0,17.0,17.0,19.0
8,18.0,13.0,13.0,15.0,15.0,18.0
9,18.0,13.0,12.0,14.0,14.0,19.0
10,18.0,12.0,12.0,13.0,13.0,18.0
11,18.0,12.0,12.0,13.0,12.0,18.0
12,17.0,12.0,11.0,12.0,12.0,17.0
13,16.0,12.0,12.0,12.0,12.0,16.0
14,16.0,12.0,11.0,12.0,12.0,16.0
15,15.0,12.0,11.0,12.0,12.0,15.0
16,15.0,12.0,12.0,12.0,12.0,15.0
17,15.0,12.0,12.0,13.0,13.0,14.0
18,14.0,12.0,12.0,13.0,13.0,14.0
19,14.0,13.0,12.0,13.0,13.0,14.0
20,14.0,13.0,12.0,14.0,14.0,14.0
21,14.0,13.0,12.0,16.0,15.0,15.0
22,16.0,13.0,13.0,16.0,15.0,17.0
23,14.0,13.0,12.0,16.0,15.0,15.0
24,14.0,13.0,12.0,16.0,15.0,15.0
25,15.0,13.0,12.0,15.0,15.0,15.0
26,16.0,12.0,12.0,15.0,15.0,15.0
27,16.0,12.0,12.0,15.0,15.0,16.0
28,16.0,13.0,13.0,15.0,14.0,16.0
29,16.0,13.0,13.0,15.0,14.0,17.0
30,16.0,13.0,13.0,13.0,13.0,17.0
31,16.0,14.0,13.0,13.0,12.0,17.0
32,16.0,14.0,13.0,13.0,12.0,17.0
33,16.0,14.0,13.0,13.0,12.0,16.0
34,15.0,14.0,14.0,13.0,12.0,15.0
35,15.0,14.0,14.0,13.0,12.0,15.0
36,14.0,14.0,14.0,11.0,11.0,14.0
37,14.0,14.0,14.0,11.0,11.0,14.0
38,14.0,14.0,14.0,11.0,11.0,14.0
39,14.0,14.0,14.0,11.0,11.0,13.0
40,13.0,13.0,13.0,12.0,12.0,13.0
41,13.0,12.0,13.0,11.0,12.0,13.0
42,13.0,12.0,12.0,12.0,12.0,13.0
43,13.0,12.0,12.0,12.0,11.0,13.0
44,13.0,12.0,12.0,12.0,12.0,13.0
45,13.0,12.0,12.0,12.0,11.0,13.0
46,13.0,12.0,12.0,12.0,11.0,13.0
47,13.0,12.0,12.0,12.0,12.0,13.0
48,13.0,12.0,12.0,11.0,11.0,13.0
49,13.0,12.0,12.0,11.0,11.0,13.0
50,13.0,12.0,12.0,11.0,11.0,13.0
51,13.0,11.0,12.0,11.0,11.0,13.0
52,13.0,12.0,12.0,11.0,11.0,13.0
53,13.0,12.0,12.0,11.0,11.0,13.0
54,13.0,12.0,12.0,11.0,11.0,12.0
55,13.0,12.0,12.0,11.0,12.0,12.0
56,12.0,11.0,11.0,12.0,12.0,12.0
57,12.0,11.0,11.0,11.0,11.0,12.0
58,12.0,11.0,11.0,11.0,11.0,12.0
59,12.0,11.0,11.0,11.0,11.0,12.0
60,13.0,12.0,12.0,11.0,11.0,14.0
61,16.0,12.0,12.0,11.0,11.0,16.0
62,23.0,12.0,12.0,11.0,11.0,23.0
63,22.0,11.0,12.0,11.0,11.0,22.0
64,21.0,11.0,11.0,12.0,12.0,21.0
65,22.0,11.0,11.0,12.0,12.0,22.0
66,19.0,11.0,11.0,12.0,11.0,20.0
67,17.0,11.0,11.0,12.0,12.0,17.0
68,13.0,11.0,11.0,12.0,11.0,13.0
69,13.0,11.0,11.0,12.0,11.0,13.0
70,12.0,11.0,11.0,11.0,11.0,12.0
71,11.0,11.0,11.0,11.0,11.0,12.0
72,11.0,11.0,11.0,11.0,11.0,12.0
73,12.0,11.0,11.0,11.0,11.0,12.0
74,12.0,11.0,11.0,11.0,11.0,12.0
75,12.0,11.0,11.0,11.0,11.0,12.0
76,11.0,11.0,11.0,11.0,11.0,12.0
77,11.0,11.0,11.0,11.0,11.0,12.0
78,11.0,11.0,11.0,11.0,11.0,12.0
79,11.0,11.0,11.0,11.0,11.0,12.0
80,11.0,11.0,11.0,11.0,11.0,12.0
81,11.0,11.0,11.0,11.0,11.0,12.0
