,traffic-nj511-minutes-ny_side_to_nj_turnpike_exit_14c,traffic-nj511-minutes-nj_turnpike_exit_18w_to_gw_bridge_via_local_lanes,traffic-nj511-minutes-nj_turnpike_exit_18w_to_nj_turnpike_exit_14,traffic-nj511-minutes-nj_turnpike_from_exit_14c_to_the_ny_side,traffic-nj511-minutes-nj_turnpike_exit_14_to_nj_turnpike_exit_18w,traffic-nj511-minutes-i-95_from_the_delaware_side_to_nj_turnpike_exit_1,traffic-nj511-minutes-gw_bridge_to_nj_turnpike_exit_18w_via_express_lanes,traffic-nj511-minutes-nj_turnpike_from_exit_1_to_delaware,traffic-nj511-minutes-nj_turnpike_exit_1_to_nj_turnpike_exit_6,traffic-nj511-minutes-gw_bridge_to_nj_turnpike_exit_18w_via_local_lanes,traffic-nj511-minutes-nj_turnpike_exit_18w_to_gw_bridge_via_express_lanes
0,8.0,11.0,9.0,8.0,11.0,25.0,10.0,8.0,46.0,10.0,10.0
1,9.0,11.0,10.0,8.0,11.0,19.0,10.0,8.0,46.0,10.0,10.0
2,9.0,11.0,8.0,9.0,11.0,27.0,10.0,8.0,46.0,10.0,10.0
3,9.0,11.0,8.0,8.0,11.0,25.0,10.0,8.0,46.0,10.0,11.0
4,10.0,11.0,8.0,8.0,11.0,21.0,10.0,8.0,46.0,10.0,11.0
5,11.0,11.0,8.0,8.0,11.0,24.0,10.0,8.0,46.0,10.0,11.0
6,11.0,12.0,8.0,8.0,11.0,21.0,10.0,8.0,46.0,10.0,10.0
7,11.0,12.0,8.0,8.0,11.0,22.0,10.0,8.0,46.0,10.0,10.0
8,11.0,11.0,8.0,8.0,11.0,26.0,10.0,8.0,46.0,10.0,10.0
9,12.0,11.0,8.0,8.0,11.0,18.0,10.0,8.0,46.0,10.0,10.0
10,11.0,11.0,8.0,8.0,11.0,17.0,10.0,8.0,46.0,10.0,10.0
11,11.0,11.0,8.0,9.0,11.0,18.0,10.0,8.0,46.0,10.0,11.0
12,13.0,11.0,8.0,8.0,11.0,16.0,11.0,8.0,46.0,11.0,11.0
13,14.0,11.0,8.0,9.0,11.0,14.0,11.0,8.0,46.0,11.0,10.0
14,15.0,11.0,8.0,9.0,11.0,15.0,12.0,8.0,46.0,11.0,10.0
15,14.0,11.0,8.0,9.0,11.0,16.0,12.0,8.0,46.0,12.0,10.0
16,11.0,11.0,9.0,8.0,11.0,15.0,11.0,8.0,46.0,11.0,10.0
17,11.0,11.0,10.0,8.0,12.0,14.0,11.0,8.0,46.0,11.0,10.0
18,11.0,11.0,11.0,8.0,12.0,16.0,11.0,8.0,46.0,11.0,10.0
19,11.0,11.0,12.0,8.0,12.0,15.0,11.0,8.0,46.0,11.0,10.0
20,11.0,11.0,12.0,9.0,13.0,14.0,11.0,8.0,46.0,10.0,10.0
21,12.0,11.0,12.0,8.0,12.0,15.0,11.0,8.0,46.0,11.0,10.0
22,12.0,11.0,13.0,8.0,12.0,14.0,11.0,8.0,46.0,10.0,10.0
23,13.0,11.0,12.0,8.0,12.0,15.0,10.0,8.0,46.0,10.0,10.0
24,13.0,11.0,13.0,8.0,12.0,13.0,10.0,8.0,46.0,10.0,10.0
25,13.0,11.0,13.0,9.0,12.0,12.0,10.0,8.0,46.0,10.0,10.0
26,13.0,11.0,12.0,8.0,13.0,10.0,10.0,8.0,46.0,10.0,10.0
27,12.0,11.0,12.0,9.0,13.0,10.0,10.0,8.0,46.0,10.0,10.0
28,13.0,11.0,14.0,9.0,12.0,10.0,10.0,8.0,46.0,10.0,10.0
29,13.0,11.0,14.0,9.0,13.0,10.0,11.0,8.0,46.0,10.0,10.0
30,13.0,11.0,15.0,9.0,14.0,8.0,11.0,8.0,46.0,11.0,10.0
31,13.0,11.0,15.0,9.0,15.0,9.0,10.0,8.0,46.0,11.0,10.0
32,12.0,11.0,16.0,9.0,16.0,8.0,11.0,8.0,46.0,11.0,10.0
33,13.0,11.0,15.0,9.0,15.0,8.0,10.0,8.0,46.0,11.0,11.0
34,13.0,11.0,14.0,9.0,15.0,8.0,11.0,8.0,46.0,11.0,10.0
35,13.0,10.0,13.0,8.0,15.0,8.0,10.0,8.0,46.0,10.0,11.0
36,13.0,11.0,13.0,9.0,14.0,8.0,11.0,8.0,47.0,11.0,11.0
37,13.0,11.0,13.0,9.0,14.0,8.0,11.0,8.0,50.0,11.0,11.0
38,12.0,11.0,13.0,9.0,15.0,8.0,11.0,8.0,55.0,11.0,10.0
39,13.0,11.0,14.0,9.0,16.0,8.0,11.0,8.0,59.0,11.0,10.0
40,12.0,11.0,14.0,9.0,16.0,8.0,11.0,8.0,59.0,11.0,11.0
41,12.0,11.0,14.0,12.0,17.0,8.0,11.0,10.0,65.0,11.0,11.0
42,12.0,11.0,16.0,11.0,18.0,8.0,11.0,11.0,68.0,11.0,11.0
43,12.0,11.0,15.0,10.0,20.0,8.0,11.0,11.0,70.0,11.0,11.0
44,12.0,11.0,15.0,10.0,20.0,8.0,11.0,11.0,70.0,11.0,11.0
45,12.0,11.0,15.0,10.0,20.0,8.0,11.0,11.0,70.0,11.0,11.0
46,12.0,11.0,15.0,9.0,20.0,8.0,13.0,8.0,74.0,13.0,11.0
47,12.0,12.0,16.0,9.0,21.0,8.0,14.0,8.0,72.0,14.0,11.0
48,12.0,12.0,17.0,9.0,20.0,8.0,13.0,8.0,77.0,13.0,12.0
49,12.0,12.0,16.0,9.0,17.0,8.0,13.0,8.0,72.0,13.0,12.0
50,13.0,12.0,17.0,9.0,19.0,8.0,13.0,8.0,72.0,13.0,13.0
51,12.0,12.0,18.0,9.0,20.0,8.0,13.0,8.0,72.0,13.0,13.0
52,13.0,12.0,19.0,8.0,21.0,8.0,14.0,8.0,67.0,15.0,13.0
53,13.0,12.0,18.0,9.0,23.0,8.0,12.0,8.0,67.0,12.0,13.0
54,13.0,13.0,17.0,10.0,23.0,8.0,12.0,8.0,60.0,12.0,14.0
55,13.0,13.0,20.0,10.0,22.0,8.0,11.0,8.0,60.0,11.0,14.0
56,13.0,13.0,19.0,10.0,26.0,8.0,12.0,8.0,54.0,12.0,15.0
