,traffic-nj511-minutes-route_4_from_fort_lee_to_the_alexander_hamilton_bridge_via_the_lower_level,traffic-nj511-minutes-i-95_from_i-80_to_the_alexander_hamilton_bridge_via_lower_level,traffic-nj511-minutes-route_46_from_fort_lee_to_the_alexander_hamilton_bridge_via_the_lower_level,traffic-nj511-minutes-route_4_from_fort_lee_to_the_alexander_hamilton_bridge_via_the_upper_level,traffic-nj511-minutes-i-95_from_i-80_to_the_alexander_hamilton_bridge_via_upper_level
0,35.0,49.0,30.0,37.0,51.0
1,34.0,49.0,27.0,36.0,54.0
2,35.0,49.0,27.0,37.0,54.0
3,34.0,50.0,27.0,38.0,53.0
4,33.0,49.0,27.0,38.0,53.0
5,32.0,48.0,27.0,35.0,52.0
6,33.0,52.0,27.0,34.0,55.0
7,33.0,51.0,30.0,36.0,53.0
8,32.0,51.0,29.0,35.0,52.0
9,30.0,46.0,28.0,35.0,52.0
10,29.0,44.0,28.0,35.0,50.0
11,31.0,44.0,26.0,33.0,47.0
12,31.0,43.0,28.0,31.0,47.0
13,31.0,43.0,29.0,31.0,47.0
14,30.0,43.0,28.0,31.0,48.0
15,31.0,44.0,27.0,32.0,48.0
16,29.0,43.0,27.0,32.0,45.0
17,29.0,43.0,26.0,32.0,44.0
18,28.0,42.0,25.0,32.0,43.0
19,28.0,42.0,24.0,31.0,42.0
20,28.0,42.0,24.0,30.0,41.0
21,28.0,42.0,25.0,30.0,41.0
22,27.0,40.0,25.0,29.0,40.0
23,27.0,40.0,24.0,30.0,40.0
24,27.0,41.0,25.0,30.0,35.0
25,27.0,41.0,26.0,26.0,35.0
26,27.0,43.0,27.0,26.0,35.0
27,28.0,43.0,37.0,26.0,34.0
28,31.0,47.0,37.0,26.0,34.0
29,31.0,47.0,39.0,25.0,35.0
30,32.0,47.0,35.0,26.0,36.0
31,32.0,46.0,36.0,27.0,36.0
32,30.0,43.0,36.0,28.0,36.0
33,30.0,42.0,38.0,28.0,36.0
34,30.0,44.0,37.0,29.0,36.0
35,30.0,44.0,37.0,28.0,36.0
36,33.0,46.0,37.0,28.0,35.0
37,33.0,46.0,39.0,28.0,33.0
38,33.0,49.0,39.0,27.0,31.0
39,33.0,49.0,41.0,25.0,33.0
40,33.0,49.0,41.0,26.0,32.0
41,33.0,49.0,40.0,26.0,33.0
42,34.0,49.0,41.0,26.0,32.0
43,34.0,50.0,41.0,25.0,32.0
44,35.0,53.0,45.0,25.0,36.0
45,34.0,52.0,45.0,27.0,35.0
46,34.0,52.0,45.0,26.0,35.0
47,34.0,52.0,45.0,26.0,35.0
48,33.0,51.0,46.0,26.0,31.0
49,33.0,52.0,45.0,24.0,27.0
50,32.0,48.0,45.0,22.0,23.0
51,32.0,49.0,43.0,18.0,20.0
52,32.0,46.0,43.0,16.0,17.0
53,32.0,47.0,43.0,13.0,16.0
54,33.0,52.0,44.0,13.0,14.0
55,34.0,52.0,45.0,10.0,13.0
56,30.0,47.0,45.0,10.0,12.0
57,30.0,47.0,43.0,9.0,11.0
58,31.0,47.0,43.0,9.0,11.0
59,30.0,45.0,43.0,9.0,10.0
60,29.0,45.0,43.0,8.0,8.0
61,29.0,44.0,42.0,6.0,8.0
62,28.0,45.0,41.0,5.0,7.0
63,28.0,44.0,43.0,5.0,7.0
64,28.0,43.0,42.0,5.0,7.0
65,28.0,44.0,42.0,5.0,7.0
66,26.0,41.0,42.0,5.0,7.0
67,26.0,42.0,40.0,5.0,7.0
68,27.0,44.0,40.0,5.0,7.0
69,27.0,45.0,41.0,5.0,7.0
70,27.0,45.0,41.0,5.0,7.0
71,30.0,48.0,41.0,5.0,7.0
72,30.0,49.0,39.0,5.0,7.0
73,30.0,49.0,43.0,5.0,7.0
74,32.0,54.0,43.0,5.0,7.0
75,29.0,49.0,44.0,5.0,7.0
76,29.0,50.0,42.0,5.0,7.0
77,29.0,50.0,43.0,5.0,7.0
78,33.0,58.0,43.0,5.0,7.0
79,33.0,58.0,44.0,5.0,7.0
80,34.0,60.0,44.0,5.0,7.0
81,33.0,60.0,44.0,5.0,7.0
82,34.0,63.0,45.0,5.0,7.0
83,34.0,62.0,45.0,5.0,7.0
84,34.0,63.0,44.0,5.0,7.0
85,34.0,63.0,45.0,5.0,7.0
86,33.0,57.0,46.0,5.0,7.0
87,34.0,57.0,45.0,5.0,7.0
88,36.0,57.0,45.0,5.0,7.0
89,34.0,56.0,48.0,5.0,7.0
90,36.0,60.0,45.0,5.0,8.0
91,36.0,60.0,46.0,5.0,8.0
92,34.0,60.0,46.0,6.0,8.0
93,37.0,62.0,45.0,6.0,8.0
94,36.0,61.0,47.0,5.0,7.0
95,37.0,62.0,48.0,5.0,7.0
96,36.0,57.0,49.0,5.0,7.0
97,35.0,57.0,47.0,5.0,7.0
98,35.0,58.0,47.0,5.0,7.0
99,37.0,58.0,45.0,5.0,7.0
100,38.0,58.0,46.0,5.0,7.0
101,38.0,58.0,47.0,5.0,7.0
102,37.0,58.0,49.0,5.0,7.0
103,37.0,57.0,50.0,5.0,7.0
104,38.0,57.0,50.0,5.0,7.0
105,37.0,56.0,50.0,5.0,7.0
106,36.0,55.0,50.0,5.0,7.0
107,36.0,54.0,48.0,5.0,7.0
108,33.0,52.0,48.0,5.0,7.0
109,34.0,57.0,45.0,5.0,7.0
110,34.0,56.0,45.0,5.0,7.0
111,31.0,53.0,44.0,5.0,7.0
112,31.0,51.0,42.0,5.0,7.0
113,31.0,51.0,43.0,5.0,7.0
114,31.0,52.0,43.0,5.0,7.0
115,30.0,50.0,44.0,5.0,7.0
116,31.0,53.0,45.0,5.0,7.0
117,31.0,53.0,47.0,5.0,7.0
118,32.0,51.0,50.0,5.0,7.0
119,31.0,49.0,48.0,5.0,7.0
120,30.0,46.0,46.0,5.0,7.0
121,29.0,47.0,44.0,5.0,7.0
122,29.0,46.0,43.0,5.0,7.0
123,29.0,44.0,43.0,5.0,7.0
124,29.0,43.0,42.0,5.0,7.0
125,28.0,42.0,42.0,5.0,7.0
126,27.0,41.0,38.0,5.0,7.0
127,25.0,38.0,37.0,5.0,7.0
128,25.0,37.0,35.0,5.0,8.0
129,24.0,36.0,35.0,5.0,8.0
130,25.0,37.0,36.0,5.0,8.0
131,25.0,38.0,36.0,5.0,8.0
132,25.0,38.0,37.0,5.0,8.0
133,27.0,41.0,40.0,5.0,8.0
134,27.0,41.0,41.0,5.0,7.0
135,27.0,42.0,41.0,5.0,7.0
136,30.0,46.0,40.0,5.0,7.0
137,30.0,45.0,42.0,5.0,7.0
138,30.0,44.0,42.0,5.0,7.0
139,28.0,41.0,43.0,5.0,7.0
140,28.0,38.0,42.0,5.0,8.0
141,28.0,41.0,41.0,5.0,8.0
142,28.0,35.0,41.0,5.0,7.0
143,28.0,34.0,38.0,5.0,7.0
144,26.0,30.0,41.0,5.0,7.0
145,26.0,30.0,40.0,5.0,7.0
146,28.0,33.0,40.0,5.0,7.0
147,29.0,37.0,41.0,5.0,8.0
148,26.0,36.0,38.0,6.0,8.0
149,24.0,34.0,35.0,7.0,8.0
150,23.0,31.0,34.0,5.0,8.0
151,22.0,31.0,31.0,5.0,8.0
152,20.0,29.0,30.0,5.0,8.0
153,19.0,27.0,27.0,5.0,8.0
154,17.0,24.0,25.0,5.0,8.0
155,17.0,23.0,23.0,5.0,8.0
156,13.0,18.0,22.0,5.0,8.0
157,12.0,16.0,17.0,5.0,8.0
158,11.0,14.0,15.0,5.0,8.0
159,10.0,13.0,12.0,5.0,8.0
160,7.0,10.0,11.0,5.0,8.0
161,6.0,9.0,9.0,6.0,8.0
162,5.0,8.0,7.0,6.0,8.0
163,5.0,7.0,5.0,5.0,8.0
164,5.0,7.0,5.0,5.0,8.0
165,5.0,7.0,5.0,5.0,8.0
166,5.0,7.0,5.0,5.0,8.0
167,5.0,7.0,5.0,5.0,8.0
168,5.0,7.0,5.0,5.0,8.0
169,5.0,7.0,5.0,6.0,8.0
170,5.0,7.0,5.0,6.0,8.0
171,5.0,7.0,5.0,6.0,8.0
172,5.0,7.0,5.0,6.0,8.0
173,5.0,7.0,5.0,5.0,8.0
174,5.0,7.0,5.0,5.0,8.0
175,5.0,7.0,5.0,5.0,8.0
176,5.0,7.0,5.0,5.0,8.0
177,5.0,7.0,5.0,6.0,8.0
178,5.0,7.0,5.0,6.0,8.0
179,5.0,7.0,5.0,6.0,8.0
180,5.0,7.0,5.0,6.0,8.0
181,5.0,7.0,6.0,6.0,8.0
182,5.0,7.0,5.0,6.0,8.0
183,5.0,7.0,5.0,6.0,8.0
184,5.0,7.0,5.0,6.0,8.0
185,5.0,7.0,6.0,6.0,9.0
186,5.0,7.0,6.0,6.0,9.0
187,5.0,7.0,6.0,6.0,9.0
188,5.0,7.0,6.0,6.0,9.0
189,5.0,7.0,5.0,6.0,9.0
190,5.0,7.0,5.0,6.0,9.0
191,5.0,7.0,5.0,6.0,9.0
192,5.0,7.0,5.0,6.0,9.0
193,5.0,7.0,5.0,6.0,9.0
194,5.0,7.0,5.0,7.0,9.0
195,5.0,7.0,5.0,7.0,10.0
196,5.0,7.0,5.0,7.0,10.0
197,5.0,7.0,5.0,8.0,10.0
198,5.0,7.0,5.0,8.0,11.0
199,5.0,7.0,5.0,8.0,11.0
200,5.0,7.0,5.0,8.0,11.0
201,5.0,7.0,5.0,8.0,11.0
202,5.0,7.0,5.0,9.0,12.0
203,5.0,7.0,5.0,10.0,13.0
204,5.0,7.0,5.0,10.0,15.0
205,5.0,7.0,6.0,12.0,15.0
206,5.0,7.0,5.0,13.0,17.0
207,5.0,7.0,5.0,14.0,17.0
208,5.0,7.0,5.0,15.0,19.0
209,5.0,7.0,5.0,17.0,19.0
210,5.0,7.0,5.0,17.0,21.0
211,5.0,7.0,7.0,19.0,22.0
212,5.0,7.0,5.0,19.0,22.0
213,5.0,7.0,5.0,19.0,22.0
214,5.0,7.0,5.0,19.0,22.0
215,5.0,7.0,5.0,19.0,24.0
216,5.0,7.0,5.0,21.0,26.0
217,5.0,7.0,6.0,21.0,26.0
218,5.0,7.0,6.0,21.0,29.0
219,5.0,7.0,5.0,23.0,29.0
220,5.0,7.0,6.0,23.0,29.0
221,5.0,7.0,6.0,23.0,30.0
222,5.0,7.0,11.0,23.0,32.0
223,5.0,7.0,8.0,24.0,33.0
224,5.0,7.0,8.0,24.0,33.0
225,5.0,7.0,5.0,24.0,34.0
226,5.0,7.0,5.0,24.0,32.0
227,5.0,7.0,5.0,23.0,31.0
228,5.0,7.0,5.0,24.0,31.0
229,5.0,7.0,5.0,23.0,31.0
230,5.0,7.0,5.0,22.0,32.0
231,5.0,7.0,5.0,23.0,32.0
232,5.0,7.0,5.0,23.0,36.0
233,5.0,7.0,5.0,25.0,37.0
234,5.0,7.0,5.0,25.0,38.0
