,traffic-nj511-minutes-route_4_from_fort_lee_to_the_alexander_hamilton_bridge_via_the_lower_level,traffic-nj511-minutes-i-95_from_i-80_to_the_alexander_hamilton_bridge_via_lower_level,traffic-nj511-minutes-route_4_from_fort_lee_to_the_alexander_hamilton_bridge_via_the_upper_level,traffic-nj511-minutes-i-95_from_i-80_to_the_alexander_hamilton_bridge_via_upper_level,traffic-nj511-minutes-route_46_from_fort_lee_to_the_alexander_hamilton_bridge_via_the_lower_level
0,16.0,21.0,9.0,10.0,20.0
1,16.0,21.0,10.0,10.0,19.0
2,16.0,21.0,10.0,10.0,19.0
3,16.0,21.0,10.0,10.0,19.0
4,14.0,20.0,10.0,11.0,16.0
5,13.0,19.0,10.0,11.0,15.0
6,12.0,19.0,10.0,10.0,13.0
7,12.0,19.0,10.0,10.0,13.0
8,14.0,20.0,9.0,10.0,14.0
9,15.0,22.0,8.0,9.0,15.0
10,17.0,22.0,8.0,9.0,17.0
11,18.0,23.0,7.0,9.0,18.0
12,18.0,24.0,7.0,10.0,20.0
13,15.0,24.0,7.0,10.0,19.0
14,14.0,19.0,7.0,10.0,18.0
15,12.0,17.0,7.0,11.0,17.0
16,10.0,15.0,7.0,15.0,15.0
17,10.0,15.0,6.0,14.0,13.0
18,9.0,14.0,7.0,14.0,12.0
19,9.0,14.0,7.0,12.0,11.0
20,9.0,15.0,8.0,11.0,10.0
21,9.0,14.0,7.0,10.0,9.0
22,9.0,14.0,7.0,9.0,9.0
23,9.0,14.0,7.0,9.0,9.0
24,9.0,13.0,6.0,9.0,9.0
25,9.0,13.0,6.0,9.0,10.0
26,11.0,15.0,6.0,9.0,11.0
27,13.0,17.0,6.0,8.0,13.0
28,15.0,20.0,6.0,9.0,16.0
29,17.0,21.0,6.0,9.0,17.0
30,18.0,23.0,6.0,9.0,19.0
31,19.0,23.0,8.0,9.0,20.0
32,19.0,23.0,11.0,9.0,21.0
33,19.0,23.0,10.0,9.0,21.0
34,17.0,21.0,10.0,8.0,19.0
35,17.0,21.0,8.0,8.0,19.0
36,16.0,20.0,7.0,8.0,16.0
37,16.0,20.0,6.0,8.0,16.0
38,17.0,21.0,6.0,8.0,16.0
39,17.0,20.0,5.0,8.0,16.0
40,17.0,21.0,5.0,8.0,16.0
41,16.0,20.0,5.0,8.0,16.0
42,16.0,20.0,5.0,8.0,15.0
43,14.0,19.0,5.0,8.0,14.0
44,13.0,16.0,6.0,8.0,13.0
45,12.0,15.0,6.0,8.0,13.0
46,11.0,14.0,6.0,8.0,11.0
47,11.0,14.0,6.0,8.0,11.0
48,10.0,13.0,6.0,8.0,10.0
49,10.0,13.0,6.0,8.0,10.0
50,10.0,13.0,6.0,8.0,10.0
51,10.0,13.0,6.0,9.0,10.0
52,11.0,16.0,6.0,10.0,10.0
53,12.0,16.0,6.0,11.0,11.0
54,13.0,17.0,6.0,15.0,12.0
55,13.0,17.0,5.0,15.0,12.0
56,14.0,18.0,5.0,14.0,13.0
57,14.0,18.0,6.0,13.0,14.0
58,15.0,19.0,6.0,13.0,15.0
59,16.0,20.0,6.0,13.0,15.0
60,16.0,20.0,6.0,13.0,15.0
61,16.0,20.0,6.0,12.0,15.0
62,15.0,19.0,6.0,12.0,15.0
63,15.0,19.0,6.0,11.0,15.0
64,14.0,17.0,6.0,11.0,13.0
65,13.0,17.0,6.0,10.0,13.0
66,12.0,15.0,6.0,10.0,12.0
67,11.0,15.0,7.0,9.0,11.0
68,10.0,14.0,8.0,9.0,10.0
69,10.0,14.0,9.0,8.0,10.0
70,10.0,13.0,12.0,8.0,9.0
71,9.0,13.0,12.0,9.0,9.0
72,9.0,13.0,12.0,9.0,9.0
73,9.0,13.0,11.0,9.0,9.0
74,10.0,14.0,11.0,9.0,9.0
75,10.0,14.0,11.0,8.0,9.0
76,10.0,14.0,10.0,8.0,10.0
77,11.0,14.0,9.0,8.0,10.0
78,11.0,14.0,9.0,8.0,11.0
79,12.0,15.0,8.0,8.0,11.0
80,12.0,14.0,8.0,8.0,11.0
81,12.0,15.0,8.0,8.0,11.0
82,12.0,15.0,7.0,8.0,12.0
83,12.0,14.0,7.0,8.0,12.0
84,9.0,12.0,6.0,8.0,10.0
85,9.0,11.0,6.0,8.0,9.0
86,7.0,10.0,6.0,8.0,8.0
87,6.0,9.0,6.0,7.0,6.0
88,6.0,9.0,6.0,8.0,6.0
89,6.0,9.0,6.0,8.0,6.0
90,6.0,9.0,6.0,8.0,6.0
91,6.0,9.0,6.0,8.0,6.0
92,6.0,9.0,6.0,7.0,7.0
93,6.0,10.0,6.0,7.0,7.0
94,8.0,11.0,5.0,7.0,7.0
95,6.0,9.0,5.0,7.0,7.0
96,6.0,9.0,5.0,8.0,7.0
97,7.0,10.0,5.0,7.0,7.0
98,6.0,9.0,5.0,7.0,6.0
99,7.0,9.0,5.0,7.0,7.0
100,7.0,9.0,5.0,7.0,6.0
101,6.0,9.0,5.0,7.0,6.0
102,5.0,9.0,5.0,7.0,6.0
103,5.0,9.0,5.0,7.0,6.0
104,5.0,9.0,5.0,7.0,6.0
105,5.0,9.0,5.0,7.0,6.0
106,5.0,9.0,5.0,7.0,5.0
107,5.0,9.0,5.0,7.0,6.0
108,5.0,9.0,5.0,7.0,6.0
109,5.0,9.0,5.0,7.0,6.0
110,5.0,9.0,5.0,7.0,6.0
111,5.0,10.0,5.0,7.0,6.0
112,5.0,10.0,5.0,8.0,6.0
113,5.0,11.0,5.0,8.0,6.0
